id,postal_code,area,city,province,aliases
f60b7fe9-b46c-4c3b-9fbb-741383e83020,5605,AMATOLE BASIN,BHISHO,Eastern Cape,
5db09d4c-4d9e-42f0-b133-c84a7f69ccc7,5605,BELL,BHISHO,Eastern Cape,
88395d50-9053-426f-aefd-2902f8119b30,5605,BHISHO,BHISHO,Eastern Cape,BHISHO TOWN
eb141956-683b-4244-9ba6-724066b6ccfc,5605,BHISHO EXT 2,BHISHO,Eastern Cape,BHISHO UIT 2
eb7296a2-b676-405c-bff4-58b78cae5216,5671,DIMBAZA,BHISHO,Eastern Cape,KWA-DIMBAZA
6c882840-9e1b-4631-a1f5-13fc7884e3e1,5605,FORT JACKSON,BHISHO,Eastern Cape,
941633f1-1291-4036-946f-1dc96497f336,5605,GEJU,BHISHO,Eastern Cape,
0e634194-2d52-4739-890c-3a69aa9e70a1,5606,ILITHA,BHISHO,Eastern Cape,
b1599fff-406d-4db8-bc03-c189a99ee0a4,5605,KWA-PITA,BHISHO,Eastern Cape,
622d7a2d-8cd6-4271-a165-be48767c0847,5605,PEELTON,BHISHO,Eastern Cape,
ed2f3c60-c2e6-47cf-b1ec-a19d03a32df6,5620,PHAKAMISA,BHISHO,Eastern Cape,
0f870306-dd25-4e14-a9e1-93ebbc875020,5605,PIRIE,BHISHO,Eastern Cape,
8f2d9b59-c4fd-4f5f-beba-4d88ff8e6e78,5605,PRUDHOE,BHISHO,Eastern Cape,
0a49124c-7e0b-4653-a1b9-90264ef81e84,5605,RABULA,BHISHO,Eastern Cape,
5c1669ef-0e54-4e1b-bad4-43678404db6d,5605,ST LUKES,BHISHO,Eastern Cape,
8eaffad6-7378-4ace-af25-bb29a8e6af25,5608,ZWELITSHA,BHISHO,Eastern Cape,
802bf451-f169-4bf8-9031-dbc55990ad85,5608,ZWELITSHA ZONE 1,BHISHO,Eastern Cape,ZWELITSHA SONE 1
afc3e3fb-f4be-4264-9707-8011e1ba8d89,5608,ZWELITSHA ZONE 10,BHISHO,Eastern Cape,ZWELITSHA SONE 10
c0be5323-8109-41a7-bd64-379f1f762944,5608,ZWELITSHA ZONE 2,BHISHO,Eastern Cape,ZWELITSHA SONE 2
3265f3b2-2b56-466a-8404-785494b80916,5608,ZWELITSHA ZONE 3,BHISHO,Eastern Cape,ZWELITSHA SONE 3
5dac358f-73a3-4d48-a1df-91c5ea5c291e,5608,ZWELITSHA ZONE 4,BHISHO,Eastern Cape,ZWELITSHA SONE 4
87090d80-ce30-4ee2-aac0-1db80b99f183,5608,ZWELITSHA ZONE 5,BHISHO,Eastern Cape,ZWELITSHA SONE 5
845c553d-9d68-4dd7-9995-ab63f6e7bf58,5608,ZWELITSHA ZONE 6,BHISHO,Eastern Cape,ZWELITSHA SONE 6
b9ac73df-f45b-44c9-a2dd-2b12969b5566,5608,ZWELITSHA ZONE 7,BHISHO,Eastern Cape,ZWELITSHA SONE 7
fbb11f33-4668-4a9b-a0fd-1e9fa5b4a867,5608,ZWELITSHA ZONE 8,BHISHO,Eastern Cape,ZWELITSHA SONE 8
3da97b91-eab3-4c08-abb2-088a4a520ddb,5608,ZWELITSHA ZONE 9,BHISHO,Eastern Cape,ZWELITSHA SONE 9
