id,postal_code,area,city,province,aliases
00f6a866-5253-4cf3-a6f9-b37f7c04f1c4,5435,AGNES REST,DORDRECHT,Eastern Cape,
1b381020-b736-4f3e-b004-f68758c0a327,5420,BUFFELSDORING,DORDRECHT,Eastern Cape,
5dcd9efd-4ba9-45eb-b195-1ccf84b3fc5a,5436,CLANVILLE,DORDRECHT,Eastern Cape,
b5ce3c4d-081a-4172-81aa-9e2fd93e1484,5435,DORDRECHT,DORDRECHT,Eastern Cape,
95515b46-80a1-43ef-8e18-bbfab259c527,5435,EQWABE,DORDRECHT,Eastern Cape,
ec7f8743-bc04-4260-a836-5482aac89a8c,5435,LAVINIA,DORDRECHT,Eastern Cape,
88ba4fd9-0e59-46a0-aabf-1e715fc03d76,5435,MUNNIKVILLE,DORDRECHT,Eastern Cape,
4c0236fc-f461-4b95-b248-a243156f02b0,5435,ROBINVILLE,DORDRECHT,Eastern Cape,
46093215-bbbc-4339-b348-49a1a8c2953f,5435,SINAKHO,DORDRECHT,Eastern Cape,SINAKO
e4469d7c-e96e-4a0a-8178-fcd29302d0a0,5435,SWEMPOORT,DORDRECHT,Eastern Cape,
8dc80995-c059-46af-98aa-61a405204f69,5435,UPPER AGNES,DORDRECHT,Eastern Cape,
