id,postal_code,area,city,province,aliases
3d4f5a23-f78a-4859-9232-532ef4d9edbf,5241,ABBOTSFORD,EAST LONDON,Eastern Cape,OOS-LONDEN
dc14fabd-b09e-4b6b-9e8f-3a4c893b97c4,5209,ALPHENDALE,EAST LONDON,Eastern Cape,OOS-LONDEN
8cc28d08-b028-48d8-9ef0-b60c9a8d86db,5247,AMALINDA,EAST LONDON,Eastern Cape,OOS-LONDEN
699ed57f-b16d-4cff-800a-acbee746890b,5201,ARCADIA,EAST LONDON,Eastern Cape,OOS-LONDEN
70d6a68a-9703-401c-9944-850bf279af75,5247,ARNOLDTON,EAST LONDON,Eastern Cape,OOS-LONDEN
b939fddd-a861-42e1-81c9-8346228bece3,5241,BAYSVILLE,EAST LONDON,Eastern Cape,OOS-LONDEN
debed3c1-e3cd-4f53-b0d3-b9194285a9f6,5241,BEACON BAY,EAST LONDON,Eastern Cape,BEACONBAAI|OOS-LONDEN
9a330868-568f-4caf-830a-899fef727193,5201,BELGRAVIA,EAST LONDON,Eastern Cape,OOS-LONDEN
4d87abe9-ad56-4ec0-9a78-fc5a27a1fd82,5241,BEREA,EAST LONDON,Eastern Cape,OOS-LONDEN
3c3a24e3-326b-48a6-a352-3247ae34d78f,5241,BLUE BEND,EAST LONDON,Eastern Cape,OOS-LONDEN
d8bab331-ed5d-440d-b1c0-344974b60298,5241,BONNIE DOONE,EAST LONDON,Eastern Cape,OOS-LONDEN
2a8610aa-be4b-418a-b602-1b3aaff040bb,5241,BONZA BAY,EAST LONDON,Eastern Cape,BONZABAAI|OOS-LONDEN
ec8d6396-ccfd-4caf-8db4-4c86e2e8da71,5201,BRAELYN,EAST LONDON,Eastern Cape,OOS-LONDEN
f126b7c4-f4cb-4c02-b847-bdd4f9b1da3a,5209,BRAELYN EXT,EAST LONDON,Eastern Cape,BRAELYN UIT|OOS-LONDEN
e088e1f9-88ea-4a4c-abdd-fa3c7828b76d,5209,BRAELYN EXT 10,EAST LONDON,Eastern Cape,BRAELYN UIT 10|OOS-LONDON
462c34eb-ffb7-41c5-b690-7a96ca243ca6,5201,BRAELYN EXT 4,EAST LONDON,Eastern Cape,BRAELYN UIT 4|OOS-LONDEN
9e50a125-2fd9-4fb9-a78f-6c497cb2a094,5201,BRAELYN EXT 6,EAST LONDON,Eastern Cape,BRAELYN UIT 6|OOS-LONDEN
65a88210-faca-476f-9739-efc71bc16ac4,5209,BRAELYN HEIGHTS,EAST LONDON,Eastern Cape,BRAELYN HOOGTES|OOS-LONDEN
8dd31f17-ab18-4d72-a631-7d50dd13ed8d,5247,BROOKMEAD,EAST LONDON,Eastern Cape,OOS-LONDEN
2f2f469f-1689-445b-b0af-ed0ad2b2faf3,5201,BROOKVILLE,EAST LONDON,Eastern Cape,OOS-LONDEN
32113f56-1dd5-425f-a7fc-284bf8b8312e,5201,BUFFALO,EAST LONDON,Eastern Cape,OOS-LONDEN
5529951d-4b85-4869-86ee-cda4704dc808,5209,BUFFALO FLATS,EAST LONDON,Eastern Cape,OOS-LONDEN
4d09e83d-f801-4e5b-a3f6-fbaef6800b6f,5209,BUFFALO FLATS EXT,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT|OOS-LONDEN
87865a5b-b902-42c4-a702-bcf28d4e7a38,5209,BUFFALO FLATS EXT 1,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 1|OOS-LONDEN
9188b133-d3e8-498b-8239-16ad9062cfd7,5209,BUFFALO FLATS EXT 2,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 2|OOS-LONDEN
a2b0d95f-76b9-409d-91b8-ee5fd73fa956,5209,BUFFALO FLATS EXT 2-7,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 2-7|OOS-LONDEN
7e04f18c-daa1-42f9-ae93-3926a4a8ef48,5209,BUFFALO FLATS EXT 4,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 4|OOS-LONDEN
62dd6850-9948-4029-9f1f-90257d28925e,5209,BUFFALO FLATS EXT 5,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 5|OOS-LONDEN
2519b0b3-f30c-4dd0-b944-8b56b48ce9ec,5209,BUFFALO FLATS EXT 6,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 6|OOS-LONDEN
6b81196b-374f-4b65-a0b2-2770c7946ee4,5209,BUFFALO FLATS EXT 7,EAST LONDON,Eastern Cape,BUFFALO FLATS UIT 7|OOS-LONDEN
4145191f-abda-45dd-a69a-d7981099ff1f,5247,BUFFALO PASS HEIGHTS,EAST LONDON,Eastern Cape,OOS-LONDEN
34ebbfaa-a0ca-41ac-824d-4bfb792f0a46,5201,BUFFALO TSP,EAST LONDON,Eastern Cape,BUFFALO DGD|OOS-LONDEN
63a10c87-9ec7-4b08-9a0b-fb6c7fef1a4f,5241,BUNKERS HILL,EAST LONDON,Eastern Cape,OOS-LONDEN
eb8ad34d-2750-403d-aa6d-e21f6713b056,5688,BURNSHILL,EAST LONDON,Eastern Cape,OOS-LONDEN
8e790a13-d984-456c-bfbc-d7992c3338b4,5247,CAMBRIDGE,EAST LONDON,Eastern Cape,OOS-LONDEN|CAMBRIDGE LOC|CAMBRIDGE LOK
316de819-a74b-4d2a-a4af-e528204fb2d3,5247,CAMBRIDGE WEST,EAST LONDON,Eastern Cape,CAMBRIDGE-WES|OOS-LONDEN
a711a11b-3d8d-4eda-8f07-985b7607785a,5201,CENTRAL,EAST LONDON,Eastern Cape,SENTRAAL|OOS-LONDEN
124b5fcc-35aa-45ce-93d7-4b57166f2abc,5209,CHARLES LLOYD TSP,EAST LONDON,Eastern Cape,CHARLES LLOYD DGD|OOS-LONDEN
7b7916d3-e014-409c-a22d-4ea994ec53dd,5247,CHISELHURST,EAST LONDON,Eastern Cape,OOS-LONDEN
5d08923e-722e-43de-9c6f-e3e4f98ec8fd,5247,CHISELHURST EXT,EAST LONDON,Eastern Cape,CHISELHURST UIT|OOS-LONDEN
07ce6db6-1a7d-437c-b086-a1b5b116484e,5247,CHISELHURST EXT 2,EAST LONDON,Eastern Cape,CHISELHURST UIT 2|OOS-LONDEN
