id,postal_code,area,city,province,aliases
fe3e5c0a-3cd3-4d3e-bd0d-4e48637d20e0,6281,ASHERVILLE,GRAAFF-REINET,Eastern Cape,
43c47067-1272-4507-ad5b-ab2c977be920,6280,BERG EN DAL,GRAAFF-REINET,Eastern Cape,
8cf9d294-df90-4597-9d3d-08031a5bf238,6280,GRAAFF-REINET,GRAAFF-REINET,Eastern Cape,
5440d5b7-471d-4ee7-b494-2726d89f682b,6280,HILLSIDE,GRAAFF-REINET,Eastern Cape,
362f6633-edb4-4694-8272-ad1666e63ded,6280,INDUSTRIAL AREA,GRAAFF-REINET,Eastern Cape,INDUSTRIELE GEBIED
db37cd64-c5e6-428a-8d16-ffb5d235aa0e,6280,KHAYELITSHA,GRAAFF-REINET,Eastern Cape,
70d7dad8-c6f2-46d1-8e62-94d77b3e3042,6280,KOEBERGVILLE,GRAAFF-REINET,Eastern Cape,
ddc6a1dd-a114-447d-a8d6-8a5723293f36,6280,KROONVALE,GRAAFF-REINET,Eastern Cape,
9cf7bf02-c411-40cf-9ca5-5e7f54f06d5c,6280,KROONVALE SOUTH,GRAAFF-REINET,Eastern Cape,KROONVALE-SUID
3b1eb67f-8a85-46f3-a1d5-33b01d6e0108,6280,LOWER TSP,GRAAFF-REINET,Eastern Cape,LOWER DGD
320ec4e2-3484-42b1-9183-06d7bc3044a9,6280,NEW LOCATION,GRAAFF-REINET,Eastern Cape,NUWE LOKASIE
2e6c30b4-6856-4d08-aca7-b21b85713b6c,6286,NIEU-BETHESDA,GRAAFF-REINET,Eastern Cape,
d2548076-b9d5-412b-b36c-32b501365581,6280,ROYAL BLOCK,GRAAFF-REINET,Eastern Cape,ROYAL BLOK
06f48471-8189-428b-a908-229f3a3d00d4,6280,SANTAVILLE,GRAAFF-REINET,Eastern Cape,
1c22bd0e-0d7f-4842-9844-c166a323cf45,6281,SELFBOU,GRAAFF-REINET,Eastern Cape,
51187afe-fe34-49de-ad11-280da0525935,6280,SPANDAUVILLE,GRAAFF-REINET,Eastern Cape,
aa9e1b66-9ccf-4511-9a61-5a214051edc3,6280,SUNNYSIDE,GRAAFF-REINET,Eastern Cape,
d868fbc1-b4fa-40b7-9294-efe169188704,6280,UMASIZAKHE,GRAAFF-REINET,Eastern Cape,MASIZEKHE
