id,postal_code,area,city,province,aliases
c025042a-0db7-46cc-8cc8-989e2dec91fa,4931,AMABELE,KING WILLIAM'S TOWN,Eastern Cape,
06cf0c49-a468-4be5-8743-23fe18c09611,5601,BALLASSI VALLEY,KING WILLIAMS TOWN,Eastern Cape,
9b1c2ea6-29de-45eb-b155-c1102316d13d,5601,BREIDBACH,KING WILLIAM'S TOWN,Eastern Cape,
a73a6294-8ef9-4efa-abee-7e14e7fe2e6a,5601,BREIDBACH EXT 5,KING WILLIAM'S TOWN,Eastern Cape,BREIDBACH UIT 5
7f2a5227-e586-412f-8c2e-c301d89cb1ec,5601,CLUB VIEW,KING WILLIAM'S TOWN,Eastern Cape,CLUBVIEW
a3a981a2-c3d4-4ee2-9800-4f65bd35747a,5601,DALEVIEW,KING WILLIAM'S TOWN,Eastern Cape,
becb3799-4270-49ec-9ebd-10384d3080fc,5601,EDONQABA,KING WILLIAM'S TOWN,Eastern Cape,
1c6f13a9-7ddd-42bc-9d76-096a479d1ff9,5601,GINSBURG,KING WILLIAM'S TOWN,Eastern Cape,
d8289e82-943d-45ca-ae22-299e20c7bad0,5601,HEADLANDS,KING WILLIAMS TOWN,Eastern Cape,
a451e0c3-87dc-493b-aeda-05b212a07bad,5601,KAFFRARIAN HEIGHTS,KING WILLIAMS TOWN,Eastern Cape,
93129f07-1fbe-46ef-b41e-8b68bc54dfb8,5601,KING WILLIAM'S TOWN,KING WILLIAM'S TOWN,Eastern Cape,KING WILLIAMS TOWN
b0113ddc-1d38-44da-bf55-0bd19eff79f8,5607,KWA GUBEVU,KING WILLIAM'S TOWN,Eastern Cape,
8a0dc5a7-3ef0-4ce8-a30b-9bcf01c8b927,5601,MARKET SQUARE,KING WILLIAM'S TOWN,Eastern Cape,MARKPLEIN
4336e693-c25e-493f-9083-cca24fde3980,5609,NGXAKAZA,KING WILLIAM'S TOWN,Eastern Cape,
61bd04a8-aa01-4124-ba4c-a06afa0e5c7e,5611,RAMNYIBA,KING WILLIAM'S TOWN,Eastern Cape,
4ba6d0a0-7514-44d5-9fda-6a8de01ce97b,5601,ROADSIDE,KING WILLIAM'S TOWN,Eastern Cape,
88a50fc0-f49b-480f-ad41-36e08fc26572,5601,SCHORNVILLE,KING WILLIAM'S TOWN,Eastern Cape,
326c81a0-47ec-44e6-8c13-0bb316f26da9,5610,SITTINGBOURNE,KING WILLIAM'S TOWN,Eastern Cape,
978073c1-8aa6-4900-b7e7-11d282944565,5600,SIYALU,KING WILLIAM'S TOWN,Eastern Cape,
7ffdcb24-121b-4dd4-82b9-91881a1b9e94,5601,SWEETWATER,KING WILLIAMS TOWN,Eastern Cape,
50c37787-413b-497a-a512-c604607a5149,5614,TAMARA,KING WILLIAM'S TOWN,Eastern Cape,
7389e3b8-fc3d-47c8-afb8-0a932ac06471,5601,WEST BANK,KING WILLIAM'S TOWN,Eastern Cape,WESBANK
