id,postal_code,area,city,province,aliases
4cd1f334-506b-4517-bd87-4161d1ac82f0,5341,BANKIES,LADY FRERE,Eastern Cape,
94477ecc-cd57-44bf-8684-b106d1d0786e,5411,BENGU,LADY FRERE,Eastern Cape,
5a3bcd1b-ff0f-4f8a-99c8-b03a878e7525,5414,BLACKSTREAM,LADY FRERE,Eastern Cape,BLACKSTREAMS
5d92490b-ed33-4161-af93-389dac59e350,5410,BONNY GLEN,LADY FRERE,Eastern Cape,
9f091f54-292d-4b8c-9e1c-9c5b6ef99a4b,5418,BRAUNVILLE,LADY FRERE,Eastern Cape,
c9333cfc-894c-420f-b964-b27670a4de3a,5410,CHACHA,LADY FRERE,Eastern Cape,
1352585c-f8b0-498d-8085-aad0e353f6d4,5417,DRIVER'S DRIFT,LADY FRERE,Eastern Cape,
4bd00f63-61e9-4db6-a8f0-630276fa5013,5410,KAVALA,LADY FRERE,Eastern Cape,
88c7f8dc-1308-4a34-9ccb-f35709b1c62f,5410,KEMPDALE,LADY FRERE,Eastern Cape,
33ddddc3-6d94-40de-b4b3-d2be4e28dd42,5410,KUNDULU,LADY FRERE,Eastern Cape,
5bd1b593-25bb-49f3-b899-6f6210da3b09,5410,LADY FRERE,LADY FRERE,Eastern Cape,CACADU
76b43361-4a2b-46a6-b615-a19a846a0c99,5410,LUMKU,LADY FRERE,Eastern Cape,
a5afb73e-5b7e-4b24-af9b-52209582e847,5412,MACUBENI,LADY FRERE,Eastern Cape,
a6edd8c1-8646-4c3c-b150-6620e18d86a1,5415,NGONYAMA,LADY FRERE,Eastern Cape,
56aa8e40-a362-4cd5-b431-4cad28366682,5410,RODANA,LADY FRERE,Eastern Cape,
dcf6f3ea-2cda-4d86-9b50-a9d3d6ccaa42,5410,RWANTSANA,LADY FRERE,Eastern Cape,
4d556577-4d09-4eca-9363-f7290594512f,5410,THREE CROWNS,LADY FRERE,Eastern Cape,
4155ee67-ad5d-4dff-a268-63fe6d813be1,5416,TSEMBEYI,LADY FRERE,Eastern Cape,
5b8954fc-4523-4f9a-9077-d6dba442d918,5419,VALELO'S REST,LADY FRERE,Eastern Cape,
