id,postal_code,area,city,province,aliases
60b12549-1ec4-4724-8476-a55405baea3f,6001,ADCOCKVALE,PORT ELIZABETH,Eastern Cape,ADCOCKVALE
4d533109-9680-46b6-9fcc-59188f736c53,6001,ALGOA PARK,PORT ELIZABETH,Eastern Cape,ALGOAPARK
2006de06-0da6-4406-96c9-d73143f36a87,6059,ARCADIA,PORT ELIZABETH,Eastern Cape,
52df2582-e1c6-461a-89e5-0ff13c5f1478,6059,ASPEN HEIGHTS,PORT ELIZABETH,Eastern Cape,ASPEN HOOGTE
eb8cfed0-5626-4c34-830a-00a6e68f359a,6059,ASPEN HEIGHTS EXT 26,PORT ELIZABETH,Eastern Cape,ASPEN HEIGHTS UIT 26
2350bf43-3292-4b61-b82e-9f365f8b71e7,6001,BAAKENS VALLEY,PORT ELIZABETH,Eastern Cape,BAAKENS VALLEI
98a41413-ec6c-4c49-b1ed-3d1d56db46b8,6025,BAY WEST,PORT ELIZABETH,Eastern Cape,BAY-WES
39b7fc7b-dc49-44b6-a429-029c6e72d9a8,6025,BEN KAMMA,PORT ELIZABETH,Eastern Cape,
45240713-244e-40e5-be7f-19c84bb53ff1,6059,BETHELSDORP,PORT ELIZABETH,Eastern Cape,
8801a2b0-40d1-4ae8-89ee-9ec5b6904781,6059,BETHELSDORP EXT 10,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 10
6db98695-bb23-4dd1-ac06-0bc9cd2990f8,6059,BETHELSDORP EXT 17,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 17
bb682e98-fa85-474a-b262-7d6e40a20611,6059,BETHELSDORP EXT 18,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 18
2af74c06-e1a1-4716-a387-23b2bb784175,6059,BETHELSDORP EXT 19,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 19
f4a871ed-42ea-4a5b-ab91-2770f86690a3,6059,BETHELSDORP EXT 20,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 20
3da3f06d-ed8d-42bd-acbb-bedad6b185ec,6059,BETHELSDORP EXT 21,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 21
e0614512-7d3e-4648-af77-e72fadf629c8,6059,BETHELSDORP EXT 22,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 22
caad4c9f-0754-4714-846f-0c11e9f4a8d3,6059,BETHELSDORP EXT 23,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 23
23d01ba7-f631-4937-9420-b4ad3f97cc12,6059,BETHELSDORP EXT 24,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 24
407a5056-2ce7-4dda-86b0-36bdaaef8153,6059,BETHELSDORP EXT 25,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 25
d964d1ff-461b-43d4-aab1-c74d2eae0cc4,6059,BETHELSDORP EXT 26,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 26
0cb0136f-febc-4698-97bc-832c514bd895,6059,BETHELSDORP EXT 27,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 27
86efc590-0bb1-45ce-9f46-be9949d5c8e0,6059,BETHELSDORP EXT 27B,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 27B
18aed734-ee79-462b-8459-3294fabaf857,6059,BETHELSDORP EXT 28,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 28
3df37566-31c4-4437-a95f-1167860a9dc6,6059,BETHELSDORP EXT 29,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 29
e7d31913-c9e9-4989-8964-f080c903d1f8,6059,BETHELSDORP EXT 30,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 30
3d4d28b5-ce18-4fc3-bcd5-495ef75ff871,6059,BETHELSDORP EXT 31,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 31
60ed48ea-9fc8-4591-9bc1-48bb48494000,6059,BETHELSDORP EXT 32,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 32
17ece108-7f77-455d-8d0e-44b1cdf2b96a,6059,BETHELSDORP EXT 33,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 33
28a3cd39-4913-45a0-90b5-a0e906328fb1,6059,BETHELSDORP EXT 34,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 34
e496a442-97ea-4ce1-9244-0c7b8314d1d6,6059,BETHELSDORP EXT 35,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 35
9313f435-4074-40fa-9449-ae2b775db76e,6059,BETHELSDORP EXT 36,PORT ELIZABETH,Eastern Cape,BETHELSDORP UIT 36
06273ab2-efe6-497b-915a-45000f1efde3,6070,BEVERLEY GROVE,PORT ELIZABETH,Eastern Cape,
3d1a30f2-dcb2-48bd-bb96-a0b3fb75a5c3,6020,BEVERLEY HILLS,PORT ELIZABETH,Eastern Cape,
59ebd017-9464-4279-b676-8285b1138f95,6059,BLOEMENDAL,PORT ELIZABETH,Eastern Cape,
b8c711f8-11e5-4ed9-9379-53d98d58acf2,6059,BLOEMENDAL EXT 2,PORT ELIZABETH,Eastern Cape,BLOEMENDAL UIT 2
