id,postal_code,area,city,province,aliases
5e8e73b4-fb55-4e11-82cc-9293e97c4f46,5850,AEROVILLE,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
5bfe7045-d6ac-4a25-8651-1f43b9a63cb6,5850,CHRIS HANI,SOMERSET EAST,Eastern Cape,
927b8851-1d86-4a67-9224-71580272587a,5850,FRANCISVALE,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
8a70aee4-5fb5-4365-bd69-bb7e5550d3f2,5850,MNANDI,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
5a48b398-7278-4bb1-b11f-8564f4204806,5850,NEW BRIGHTON,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
c424a7f3-7f5a-4924-b5fe-d5b73952b96e,5850,NEW TOWN,SOMERSET EAST,Eastern Cape,
7c68393b-17de-40f0-849a-8c5e45d0bf3b,5850,OLD LOCATION,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
ddc13537-18fe-4c4e-a78e-9a4d266b1583,5850,SOMERSET EAST,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
63e76706-41fb-42cc-acb8-d71c1f8a427d,5850,SOMERSET EAST OLD TOWNSHIP,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
4819cd59-85e1-4635-9709-ab9d6261be19,5850,WESTVIEW,SOMERSET EAST,Eastern Cape,SOMERSET-OOS
