id,postal_code,area,city,province,aliases
90cee350-7c66-4961-bfb6-53c9f80183d3,5042,BOJENI,WILLOWVALE,Eastern Cape,
3183bc24-6561-4ef4-9319-45d7ee95f2e7,5040,CIKO,WILLOWVALE,Eastern Cape,
1775d340-0781-4d7f-9401-841b709d5420,5040,EBHOTWE,WILLOWVALE,Eastern Cape,
a28afd2c-a349-4d9e-b4e3-076f8cd082a9,5040,JUJURA,WILLOWVALE,Eastern Cape,
13997419-94f5-49f6-88cc-1ed06c5fb69b,5041,MHLAHLANE,WILLOWVALE,Eastern Cape,
3a436898-cfcd-44c0-9f9b-5c7cc202bb16,5043,NCIZELE,WILLOWVALE,Eastern Cape,
ffd7ef1b-3fa2-4b93-b462-bbdf1cf7eb6a,5040,NTLANZINI,WILLOWVALE,Eastern Cape,
08ab0e46-fd0d-4bba-8bb0-d8bc6af4a66f,5040,NYOKANA,WILLOWVALE,Eastern Cape,
c5940965-3d4a-46b9-b442-7bbde54e02e5,5040,QORA MOUTH,WILLOWVALE,Eastern Cape,QHORHA
a504233f-30f1-47a9-99e2-60deb39e90e2,5040,SHIXINI,WILLOWVALE,Eastern Cape,
