id,postal_code,area,city,province,aliases
98da7db6-abd2-4dcf-a6ef-67a1d149b8be,9301,AANDRUS,BLOEMFONTEIN,Free State,
639989db-7336-474a-aaf7-e3ef32063cc5,9323,ALBERT LUTHULI,BLOEMFONTEIN,Free State,
15a476e5-26e6-4203-a236-04a36903f2fb,9301,ARBORETUM,BLOEMFONTEIN,Free State,
ce2ad835-5c81-4245-be9d-9a19d820bb4d,9301,BAIN'S VLEI,BLOEMFONTEIN,Free State,
270da59d-fd91-4fea-9925-f5b3f9de88f6,9323,BATHO,BLOEMFONTEIN,Free State,
150d2abd-ba8b-4483-b8a3-81e1b9855021,9301,BAYSWATER,BLOEMFONTEIN,Free State,
7a7db17d-7cc3-462f-af71-231b9be9b7f3,9992,BETHULIE,BLOEMFONTEIN,Free State,
c26325e0-ff22-4ab6-bf6f-820d82ff83af,9301,BLOEMFONTEIN,BLOEMFONTEIN,Free State,
cb2d77eb-35e5-4820-9b13-44f35883a139,9329,BLOEMFONTEIN SPEED SERVICES,BLOEMFONTEIN,Free State,
c3e4cd60-8284-48ac-a992-557f6d3c7112,9306,BLOEMSIDE,BLOEMFONTEIN,Free State,
2e39089d-72a4-4d19-a41c-0010cc5dea7c,9323,BLOEMSIDE 2,BLOEMFONTEIN,Free State,
9f14ce6e-aab6-479b-909c-59f3110cec14,9301,BLOEMSIDE 2 PHASE 4,BLOEMFONTEIN,Free State,BLOEMSIDE 2 FASE 4
07623701-66a2-4d87-92e3-207c01a141ae,9301,BLOEMSIDE 3,BLOEMFONTEIN,Free State,
64db1181-b29c-4cdf-8934-7b909c94929e,9306,BLOEMSIDE PHASE 2B,BLOEMFONTEIN,Free State,BLOEMSIDE FASE 2B
dee29476-9e4a-41c3-a7e6-ed55f5e2d72a,9306,BLOEMSIDE PHASE 9,BLOEMFONTEIN,Free State,BLOEMSIDE FASE 9
2cd5028d-e631-4f75-a92c-4e5630022ca2,9364,BLOEMSPRUIT,BLOEMFONTEIN,Free State,
7b2d72bc-d34f-4ab9-9e14-cb912043f475,9781,BOTSHABELO,BLOEMFONTEIN,Free State,
2c299fc9-14bd-48e2-bf68-b6d590deaa5e,9781,BOTSHABELO SECTION C,BLOEMFONTEIN,Free State,BOTSHABELO SEKSIE C
260c391d-adb5-49ca-8c8b-5906ead88e2f,9781,BOTSHABELO SECTION C1,BLOEMFONTEIN,Free State,BOTSHABELO SEKSIE C1
3ab957c0-cb38-483d-8ae3-e67bc7bcfe45,9781,BOTSHABELO SECTION C2,BLOEMFONTEIN,Free State,BOTSHABELO SEKSIE C2
a628ceea-7ede-4601-bf05-eee98de63e4c,9324,BRANDHOF,BLOEMFONTEIN,Free State,
bb9b5931-1503-4d8c-b746-d392a999ca45,9301,BRANDWAG,BLOEMFONTEIN,Free State,
a7c6f5f7-0c2e-42af-98d4-633f45033ff3,9301,BUITESIG,BLOEMFONTEIN,Free State,
c1ac2751-3113-4080-bc0f-e8590a5d1ede,9301,CHRIS HANI,BLOEMFONTEIN,Free State,
b07e97b1-e7d3-45ea-ab0e-fe2308b3ae5c,9301,COMMUNITY,BLOEMFONTEIN,Free State,
6a470f00-fd36-4b81-9845-50f24feec3ce,9334,CROSSROADS,BLOEMFONTEIN,Free State,
b0beb626-eec7-43b4-b579-4d11fd47548d,9301,DAN PIENAAR,BLOEMFONTEIN,Free State,
1e6a57a1-7728-4fe1-b7dd-1ca35a479511,9301,DANHOF,BLOEMFONTEIN,Free State,
968c24bf-2b6f-4c31-8795-7e747ac5f57f,9928,DE BRUG,BLOEMFONTEIN,Free State,
6e6c0113-3901-41e2-a48f-d8d6b06045c2,9311,DRUSANA,BLOEMFONTEIN,Free State,
8171a4c6-0811-4973-a1e3-aab6f89535ff,9300,EAST END,BLOEMFONTEIN,Free State,OOS-EINDE
3f9399dd-4aa0-4aad-b52f-16c2fbac9edb,9301,EHRLICH PARK,BLOEMFONTEIN,Free State,EHRLICHPARK
a1b5098a-5ce0-44f6-8f5b-85875ae32b8e,9313,EXTON ROAD,BLOEMFONTEIN,Free State,EXTONWEG
6e25b6ef-7e22-46a4-b081-bcc4c2789c14,9301,FAIRVIEW,BLOEMFONTEIN,Free State,
99455552-4488-4d86-88d1-31cf92788fad,9331,FALCKVLEI,BLOEMFONTEIN,Free State,
954608f7-ba51-432a-9cad-bdf5e2be30c2,9301,FAUNA,BLOEMFONTEIN,Free State,
6857342d-cca8-4748-949f-d9e1ccb0cb06,9301,FAUNASIG,BLOEMFONTEIN,Free State,FAUNASIG
b1f118a6-c964-4db6-93d2-dbbd22473313,9301,FERREIRA,BLOEMFONTEIN,Free State,
b1959c85-eb7a-4e55-9bb7-66cefca4a527,9301,FICHARDT PARK,BLOEMFONTEIN,Free State,FICHARDTPARK
412b381d-f03a-4e6f-b6cc-2829d10c40c0,9301,FLEURDAL,BLOEMFONTEIN,Free State,
94192e0b-8fa6-4c42-8601-8e3dcd462078,9301,FLORA,BLOEMFONTEIN,Free State,
69d7e99d-0ba6-4afa-add8-333cf6b6ea70,9323,FREEDOM SQUARE,BLOEMFONTEIN,Free State,
3f991e35-b27f-4983-abb7-f4341ab89758,9323,GA-SEHUNELO,BLOEMFONTEIN,Free State,GASEHUNELO
165ea7d8-c13a-49dc-8b16-8d257ee15c12,9301,GARDENIA PARK,BLOEMFONTEIN,Free State,
719f9678-7450-4b94-8e2a-c480aff62cd1,9301,GENERAAL DE WET,BLOEMFONTEIN,Free State,
9a795e19-95e3-4694-871f-0da970ceba23,9360,GLEN,BLOEMFONTEIN,Free State,
9f30a292-4a55-482f-9ced-14915cbc46bd,9301,GRASSLANDS,BLOEMFONTEIN,Free State,
239b2174-096a-4a93-93ee-0c26a635959e,9301,GROENVLEI,BLOEMFONTEIN,Free State,
9a245413-841b-4047-b03f-43a24b236cd6,9301,HAMILTON,BLOEMFONTEIN,Free State,
620f804e-7428-40ae-88ff-7b7866ca7275,9301,HEIDEDAL,BLOEMFONTEIN,Free State,
88d30d66-eb85-41fc-b367-c0bd84e5746c,9301,HEIDEDAL CENTRAL,BLOEMFONTEIN,Free State,HEIDEDAL SENTRAAL
3eb1b895-c8f4-4dcc-9001-65ef061a0f8d,9301,HEIDEDAL EXT 28,BLOEMFONTEIN,Free State,HEIDEDAL UIT 28
1754e9a0-9a92-47d4-b89c-27cb0159c2fa,9301,HEIDEDAL EXT 34,BLOEMFONTEIN,Free State,HEIDEDAL UIT 34
8a08817a-0a9b-4b58-bde6-dc879da12817,9301,HELIKONHOOGTE,BLOEMFONTEIN,Free State,HELICONHOOGTE
55cb468d-ad20-4734-a14f-c940d15b3646,9301,HEUWELSIG,BLOEMFONTEIN,Free State,
f3b042b0-aadc-4135-ba25-8572b379bea5,9301,HILLSBORO,BLOEMFONTEIN,Free State,
af44cf24-4dde-4097-abaf-489396feadca,9301,HILLSIDE,BLOEMFONTEIN,Free State,
68a72713-7030-4742-99e7-f9d45192c340,9301,HILTON,BLOEMFONTEIN,Free State,
a5ae2631-9535-4f43-95b6-a4196c93da40,9301,HOSPITAAL PARK,BLOEMFONTEIN,Free State,HOSPITAALPARK
56812f3b-2b2b-43e3-8bff-db77c9c2dcdc,9358,IKGOMOTSENG,BLOEMFONTEIN,Free State,
1d6cf214-003c-42fc-a23d-5e381c747909,9301,INDUSTRIAL AREA,BLOEMFONTEIN,Free State,INDUSTRIELE GEBIED
e0fb731e-366c-47f5-ace2-08870be3dd2b,9323,KAGISANONG,BLOEMFONTEIN,Free State,KAGISO
6d045456-ef2b-4d27-8b06-f2c7c117452a,9323,KAGISANONG PHASE 2,BLOEMFONTEIN,Free State,KAGISANONG FASE 2
9722cefa-d2b9-43f0-9b31-667eefb95ee0,9301,KAGISANONG PHASE 3,BLOEMFONTEIN,Free State,KAGISANONG FASE 3
363d427c-7fbc-47ad-9ab5-49413bc826ea,9323,KAGISANONG PHASE 6,BLOEMFONTEIN,Free State,KAGISANONG FASE 6
2780124b-f4b4-4f67-ab23-541b453478c5,9303,KENWORTH,BLOEMFONTEIN,Free State,
9a22c755-73d8-43a7-b203-84e181bc961d,9301,KIEPERSOL,BLOEMFONTEIN,Free State,
be333b2b-16b3-464f-9b04-c6c6b26572b6,9327,KLOOFEIND,BLOEMFONTEIN,Free State,
538344bc-fc23-459e-94e3-39219af6e2b5,9301,KWAGGAFONTEIN,BLOEMFONTEIN,Free State,
9d35bd41-8823-40bb-a7da-04af52c4a5c3,9301,LAKEVIEW,BLOEMFONTEIN,Free State,
9f798e79-9e05-4893-aaf2-8ba072a45f7f,9301,LANGENHOVENPARK,BLOEMFONTEIN,Free State,
335ec666-1cbd-4106-a5b5-57ee438dddd9,9301,LILYVALE,BLOEMFONTEIN,Free State,
ef374125-bcfe-4006-bece-478388725ced,9301,LOURIER PARK,BLOEMFONTEIN,Free State,
4c89fa68-9e70-4d8c-a1a2-8e23b647dfcf,9323,MAFORA,BLOEMFONTEIN,Free State,
d5c90d56-185d-4e82-8c30-f3d6927a7e09,9333,MAKAOTA,BLOEMFONTEIN,Free State,
348712c2-7b7f-4c57-9702-9407a89fdcff,9323,MANGAUNG,BLOEMFONTEIN,Free State,
0201424e-64c5-4ce6-92fa-d6653207c444,9364,MIDDLEPUNT,BLOEMFONTEIN,Free State,MIDDELPUNT
d2100a26-1ac8-4cdd-9f86-eae3e4c36929,9301,NAVAL VIEW,BLOEMFONTEIN,Free State,NAVALSIG
4e28df4a-7c6d-4549-9b23-4c326370394f,9301,NEW EAST END,BLOEMFONTEIN,Free State,
edb8484c-f9c8-4e75-8fb2-ba9ea171138d,9301,NOORDHOEK,BLOEMFONTEIN,Free State,
29a67650-5a09-4a54-bc3a-885983b67847,9302,NOORDSTAD,BLOEMFONTEIN,Free State,
130ada9b-237e-4b0d-872c-9dd611ef852e,9301,OLIVE HILL,BLOEMFONTEIN,Free State,OLIVE HILL
e507ae50-bf2d-4dbe-80a4-5b909dfc4e4d,9301,OPKOMS,BLOEMFONTEIN,Free State,
28056bcd-ce3d-4afc-b4b1-8ae223b4c45f,9301,ORANJESIG,BLOEMFONTEIN,Free State,
006cf99d-d8f9-4af9-b406-96275fcb2c0f,9301,PARK WEST,BLOEMFONTEIN,Free State,PARK-WES
fb9eadb1-51d9-4198-8980-5a52249bc885,9301,PELLISSIER,BLOEMFONTEIN,Free State,
4c1adc28-9552-4ad1-8906-6e68ca2fe518,9301,PENTAGONPARK,BLOEMFONTEIN,Free State,
25c9d677-309d-4236-9188-ae2c388bc93c,9323,PETER SWART,BLOEMFONTEIN,Free State,
40725f54-810b-43e5-a779-7811f9a79f55,9326,RENOSTERSPRUIT,BLOEMFONTEIN,Free State,
2f110e53-7a46-4b9f-b130-ade15fe087b3,9300,ROODEWAL,BLOEMFONTEIN,Free State,
dea45ee9-d7d3-47a3-a774-56e276adec3c,9364,SHANNON VALLEY,BLOEMFONTEIN,Free State,
acaefdfb-4975-4183-a0eb-7e2bf486e20b,9301,SHELLYVALE,BLOEMFONTEIN,Free State,
