id,postal_code,area,city,province,aliases
353bd14f-26b4-47d2-8fdc-a93059f014a4,9785,BOTJHABA-TSATSI,BOTSHABELO,Free State,
86bec4b2-06da-4deb-91e8-aa0537024554,9792,BOTSHABELO EAST,BOTSHABELO,Free State,BOTSHABELO-OOS
92ab15ca-f535-42c2-9333-06161dbd56ae,9781,BOTSHABELO SECTION A,BOTSHABELO,Free State,BOTSHABELO SEKSIE A
3e6c4312-1a7e-4d28-9453-0ef57f84b1fb,9781,BOTSHABELO SECTION B,BOTSHABELO,Free State,BOTSHABELO SEKSIE B
68a76db2-d0a2-4d9b-a586-a39791e5dc03,9781,BOTSHABELO SECTION D,BOTSHABELO,Free State,BOTSHABELO SEKSIE D
24fe8cff-b67a-4fdc-9837-0c6fd69049fb,9781,BOTSHABELO SECTION E,BOTSHABELO,Free State,BOTSHABELO SEKSIE E
56dd0738-4dcd-44f7-96d3-667d257cda57,9781,BOTSHABELO SECTION F,BOTSHABELO,Free State,BOTSHABELO SEKSIE F
7e389424-1c0c-4343-975a-e0a0c6604722,9781,BOTSHABELO SECTION G,BOTSHABELO,Free State,BOTSHABELO SEKSIE G
6b7c9de1-d226-4a81-8a1d-08c5a4865dbe,9781,BOTSHABELO SECTION H,BOTSHABELO,Free State,BOTSHABELO SEKSIE H
7e0fb4f9-899e-4bea-9437-e395615988e8,9781,BOTSHABELO SECTION H1,BOTSHABELO,Free State,BOTSHABELO SEKSIE H1
68302d0d-744d-4c4b-8563-b7a98dfb62d2,9781,BOTSHABELO SECTION H2,BOTSHABELO,Free State,BOTSHABELO SEKSIE H2
556af4ea-383d-4465-bc6b-dfd2f09fb5cc,9781,BOTSHABELO SECTION H3,BOTSHABELO,Free State,BOTSHABELO SEKSIE H3
b390cd9d-17ca-4bd0-ac16-d8e10fdee073,9781,BOTSHABELO SECTION J,BOTSHABELO,Free State,BOTSHABELO SEKSIE J
16d45e0e-3a18-4785-9f06-0862ff5f845d,9781,BOTSHABELO SECTION K,BOTSHABELO,Free State,BOTSHABELO SEKSIE K
d57cf6c2-d208-4c3d-921b-caa087c13a4a,9781,BOTSHABELO SECTION L,BOTSHABELO,Free State,BOTSHABELO SEKSIE L
5306e22e-18c5-4b91-bb73-58b55d3e3682,9781,BOTSHABELO SECTION M,BOTSHABELO,Free State,BOTSHABELO SEKSIE M
1e3c8cbd-d7a7-4ee4-8436-fdbefd151234,9781,BOTSHABELO SECTION N,BOTSHABELO,Free State,BOTSHABELO SEKSIE N
84614a1c-0969-4d85-b29c-96bd48bec2d3,9781,BOTSHABELO SECTION T,BOTSHABELO,Free State,BOTSHABELO SEKSIE T
6411cd61-2e41-48a2-af5f-26c4fa99b4a9,9781,BOTSHABELO SECTION U,BOTSHABELO,Free State,BOTSHABELO SEKSIE U
f1780601-da17-40e2-94d9-22780c0d758f,9781,BOTSHABELO SECTION W,BOTSHABELO,Free State,BOTSHABELO SEKSIE W
d1dd0cdf-0d53-46e7-a530-1472e09a220b,9782,DIKHOTHATSO,BOTSHABELO,Free State,
b6c96e7f-a0bd-43a8-9e1f-427b44e1218c,9788,FADIMEHANG,BOTSHABELO,Free State,
7eac764a-b0e6-4fd3-99b5-b6ab3578e9db,9789,RAMAHUTSI,BOTSHABELO,Free State,
bb681ae1-2519-4a08-b6c1-6dd9df2524e8,9780,RATAU EXT,BOTSHABELO,Free State,RATAU UIT
