id,postal_code,area,city,province,aliases
d1acaf66-52c8-4bd4-af68-57aece9247b4,9323,CODESA 1,GA-SEHUNELO,Free State,
0a63f166-0b2e-4688-ab7f-6a27f3eb93c1,9323,CODESA 2,GA-SEHUNELO,Free State,
0a73e17b-61b5-4094-bf23-9a48c2022daa,9323,ISITHALANDUE,GA-SEHUNELO,Free State,
4c92a2e5-dd1d-4180-b337-7d2d4b1d8e2b,9323,KATHREDA,GA-SEHUNELO,Free State,
725a932a-3049-4db3-8334-dec265ec401b,9323,KGATELOPELE,GA-SEHUNELO,Free State,
372cc022-65b7-471b-9e3d-313bf47b0ca3,9323,LUSAKA,GA-SEHUNELO,Free State,
6a5293bf-4cce-4f05-9261-afdaba1adf46,9323,MAPHIKELA,GA-SEHUNELO,Free State,
e09b1b10-1726-409e-b3bc-ee466694f904,9323,PETER MOKABA,GA-SEHUNELO,Free State,
6f9344eb-ee3b-42dc-9f8b-fb0506b04d89,9323,PHOLA PARK,GA-SEHUNELO,Free State,
5ed5c84d-731e-4014-99e8-f3ec28fde00b,9323,SHUPING,GA-SEHUNELO,Free State,
5ad42cbf-e059-4e61-8acd-86f479e87c63,9323,SOLOMON MAHLANGU,GA-SEHUNELO,Free State,
2a5a321a-7970-40ad-990a-063492ddd6f7,9323,TAMBO SQUARE,GA-SEHUNELO,Free State,TAMBO PLEIN
658ec74d-ae67-442a-9efe-d40d336b0984,9323,THABO MBEKI,GA-SEHUNELO,Free State,
92e23104-4023-4a9b-b4b4-e424e4dffffb,9323,TURFLAAGTE PHASE 1,GA-SEHUNELO,Free State,TURFLAAGTE FASE 1
72156dd7-aed4-402b-9101-bea244888a09,9323,TURFLAAGTE PHASE 2,GA-SEHUNELO,Free State,TURFLAAGTE FASE 2
