id,postal_code,area,city,province,aliases
9175dd28-f0f6-498d-a3ab-f8271764cfb9,9473,HANI PARK,MOTSETHABONG,Free State,
dd48c78f-e272-4575-8be2-efc8e92d01d3,9463,JERUSALEM PARK,MOTSETHABONG,Free State,
cb9e4795-c32a-4b18-9a84-5091eed4965e,9463,LAS VEGAS,MOTSETHABONG,Free State,
80605cda-9485-4cd3-93d6-dbc9e6bc5572,9463,MAKABA,MOTSETHABONG,Free State,
cdab7bc9-c8ee-48ac-8d23-2a6d19506291,9463,MOPHOSA,MOTSETHABONG,Free State,
a8f697d8-f223-47a4-a4d0-8991d3e8c2f9,9463,MOTSETHABONG ZONE 1,MOTSETHABONG,Free State,MOTSETHABONG SONE 1
4b4bd403-90f2-4570-9fa9-4df86a00a661,9463,MOTSETHABONG ZONE 2,MOTSETHABONG,Free State,MOTSETHABONG SONE 2
0e252a77-f8b1-4f51-bbd5-9615345196bd,9472,MPHATLALATSANE,MOTSETHABONG,Free State,
dac78099-bf72-448d-9caf-2e0a3681e134,9463,MSHENGUVILLE,MOTSETHABONG,Free State,
8faf4090-faae-4072-ba0e-951a602cf4d1,9463,OPPENHEIMER PARK,MOTSETHABONG,Free State,OPPERHEIMER PARK
b79fe3cc-7673-4165-ae50-f934399acc90,9463,ORANGE GROVE,MOTSETHABONG,Free State,
72f9373a-9632-43c1-b4c9-e0067c0bcaa4,9463,PUTWASSTEEN,MOTSETHABONG,Free State,
377c1160-c544-4465-90ad-8d81efdeab59,9487,SQUARE DEAL,MOTSETHABONG,Free State,
bf15bea6-d126-436e-b2db-2858101838ac,9475,STUIRMANSPAN,MOTSETHABONG,Free State,
39ca12a1-2541-44fa-a2aa-1f3cb2269d8f,9463,SUNRISEVIEW,MOTSETHABONG,Free State,
bbc221b7-9731-4e21-a59f-009a94e0eed1,9463,THABONG,MOTSETHABONG,Free State,
