id,postal_code,area,city,province,aliases
1d543e91-7d36-4927-8cc8-4dbc602dca60,9870,BLUEGUMBUSH,PHUTHADITJHABA,Free State,
6439be0b-4628-4f92-8521-565df968af62,9869,DE BULT,PHUTHADITJHABA,Free State,
a1b7c503-32bc-4706-be9e-eafb95c4535b,9869,ELITE,PHUTHADITJHABA,Free State,
7b81d5a2-1fc0-4b63-83a4-955688406874,9866,INDUSTRIAL AREA,PHUTHADITJHABA,Free State,INDUSTRIELE GEBIED
997a696c-2714-4ef1-9e26-b5a8a9c86d40,9868,MARAKONG,PHUTHADITJHABA,Free State,
5101cc84-cf1c-459d-a1ed-9bedb15a0177,9869,PHUTHADITJHABA,PHUTHADITJHABA,Free State,
27ae0f95-3768-4729-a8b6-bc99f1820784,9867,PHUTHADITJHABA SOUTH,PHUTHADITJHABA,Free State,
4376e1ab-7285-467d-9526-d0667959bf87,9874,POELONG,PHUTHADITJHABA,Free State,
4ac3a95a-91a1-499e-9a13-a5574f06ec67,9840,RIVERSIDE,PHUTHADITJHABA,Free State,
1020a2ba-e61b-4908-be60-9493d1f47428,9869,RIVERVIEW,PHUTHADITJHABA,Free State,
