id,postal_code,area,city,province,aliases
83cd1337-d7df-473c-b763-cbc97b2dd7fc,9770,BORWA LOCATION,THABA NCHU,Free State,BORWA LOKASIE
1123abf0-c683-4681-88f1-2a1a24b65721,9780,BULTFONTEIN 1,THABA NCHU,Free State,
6373ff89-addd-4836-99dc-01dc97c6e402,9783,BULTFONTEIN 2,THABA NCHU,Free State,
e6c73217-11d9-47b4-8e67-5efb479bf6ca,9783,BULTFONTEIN 3,THABA NCHU,Free State,
7fb50655-a91c-4f6b-986c-8deaa4c97845,9780,BULTFONTEIN 4,THABA NCHU,Free State,
26ecfa4a-ed2d-4ce0-8de6-5d601cbd49eb,9775,GA-RAPULANA,THABA NCHU,Free State,
93817ab4-3f07-4b3e-8cfc-239c14c98c1f,9784,KILDARE,THABA NCHU,Free State,
d61fdd46-2d8f-404e-9e65-2478fe64c2d2,9790,MAROBENG,THABA NCHU,Free State,
7fe7abc6-e4db-4dfe-8bbc-62094d1cd432,9783,SELOSESHA,THABA NCHU,Free State,
3a9c4fde-3824-4ecb-8775-41022c2d993f,9780,THABA NCHU,THABA NCHU,Free State,
32e115e3-4dc5-4766-a80c-f17f45237e7c,9780,THABA NCHU ZONE 1,THABA NCHU,Free State,THABA NCHU SONE 1
55a4b1e5-8e7b-43c8-ab8a-2d4c566bbc90,9780,THABA NCHU ZONE 2,THABA NCHU,Free State,THABA NCHU SONE 2
ba7e0aa7-6831-4729-8f9f-56327991ce57,9780,THABA NCHU ZONE 3,THABA NCHU,Free State,THABA NCHU SONE 3
b74370bb-21a4-4c8d-9043-85775c90e0d6,9780,THABA NCHU ZONE 5,THABA NCHU,Free State,THABA NCHU SONE 5
4232237d-96a4-4157-a894-b34b5ea08773,9783,UNIT ONE,THABA NCHU,Free State,
