id,postal_code,area,city,province,aliases
b2c2763f-83e3-4165-9506-8b2154a7ac67,2007,BEDFORD GARDENS,BEDFORDVIEW,Gauteng,
02d2c783-9494-43b6-a0a7-526b062eaef0,2007,BEDFORD PARK,BEDFORDVIEW,Gauteng,BEDFORDPARK
5c8e454d-a491-429a-88c4-4c9e7cd3aac3,2007,BEDFORDVIEW EXT 291,BEDFORDVIEW,Gauteng,BEDFORDVIEW UIT 291
bf7dd9b0-7411-420a-ba9a-df7c70324719,2007,BEDFORDVIEW EXT 3,BEDFORDVIEW,Gauteng,BEDFORDVIEW UIT 3
4c131b20-1243-4116-8849-c146987c6165,2007,BEDFORDVIEW EXT 439,BEDFORDVIEW,Gauteng,BEDFORDVIEW UIT 439
a28e01e2-2e9a-4c60-b26e-47800b394714,2007,BEDFORDVIEW EXT 87,BEDFORDVIEW,Gauteng,BEDFORDVIEW UIT 87
35683d3d-cf9f-467f-80ea-0e8f4d53c18d,2007,BEDFORDVIEW OFFICE PARK,BEDFORDVIEW,Gauteng,
7e89d7de-b038-4cad-9d91-e5871b64c2be,2007,BEDFORDVIEW VILLAGE EXT,BEDFORDVIEW,Gauteng,BEDFORDVIEW VILLAGE UIT
5295c8dd-5cfb-4d52-8d00-b7585dde4e6a,2007,MALVERN EAST EXT,BEDFORDVIEW,Gauteng,MALVERN-OOS UIT
59bf7b0a-3dbe-4943-8901-92488c36fa0a,2007,MALVERN EAST EXT 1,BEDFORDVIEW,Gauteng,MALVERN-OOS UIT 1
772b5207-b747-42a1-b483-00693689d0ce,2007,MALVERN EAST EXT 2,BEDFORDVIEW,Gauteng,MALVERN-OOS UIT 2
179742dc-e0b7-4ddb-8895-c7bcbd4d5b0a,2007,MALVERN EAST EXT 3,BEDFORDVIEW,Gauteng,MALVERN-OOS UIT 3
be5bd9b9-6621-4190-8d07-f6cc1863b03a,2007,MALVERN EAST EXT 4,BEDFORDVIEW,Gauteng,MALVERN-OOS UIT 4
c769b8b8-580d-4cbd-8300-a8e7f09578a7,2007,PARK MEADOW SHOPPING COMPLEX,BEDFORDVIEW,Gauteng,
