id,postal_code,area,city,province,aliases
0280e536-842f-4078-b4a3-84fac7a7e3c5,2073,ALEXANDRA SOUTH,BRAMLEY,Gauteng,ALEXANDRA-SUID
858ff5aa-8a06-4a49-90a8-4d5fbd5ad790,2090,BASSONIA ROCK,BRAMLEY,Gauteng,
c3357926-abf7-4209-9ef6-df43b5feaba0,2090,BASSONIA ROCK EXT 12,BRAMLEY,Gauteng,BASSONIA ROCK UIT 12
af66104d-fdb2-4677-90a5-5c762cf8975a,2090,BOTLHABELO VILLAGE,BRAMLEY,Gauteng,BOTLHABELO DORP
ccb91ab3-8ca0-4453-9200-6d4b824beaeb,2090,BUCCLEUCH,BRAMLEY,Gauteng,BUCCLEUGH
05c3b56b-9585-4a33-83e7-f7b6f679db40,2090,FAR EAST PARK,BRAMLEY,Gauteng,
4687275e-fad1-4bf4-a20a-290e68f9ffee,2090,KELVIN,BRAMLEY,Gauteng,
359ae07c-5574-466e-b633-1ef9e0dfe9c3,2090,RIVER PARK,BRAMLEY,Gauteng,
91723b6d-72e1-4336-86c7-a2e67e71af29,2090,RIVER PARK EXT 9,BRAMLEY,Gauteng,RIVERPARK UIT 9
c5ec6ed9-c426-41f6-97e5-8e78cd7a53e9,2090,RIVER PARK PHASE 2,BRAMLEY,Gauteng,RIVERPARK FASE 2
e44b6bd0-3059-4581-84d2-da0bca9465c3,2090,RIVER PARK PHASE 3,BRAMLEY,Gauteng,RIVERPARK FASE 3
f5cc9bb9-b777-4a29-9c3f-0b4afac8df62,2090,TSOTSOMANI,BRAMLEY,Gauteng,
405ed680-1bfa-4a68-a88e-81ae7a1db0a6,2090,TSUTSUMANI VILLAGE,BRAMLEY,Gauteng,
982ce39d-cd6a-4b9e-adac-a8a746246337,2090,WENDYWOOD,BRAMLEY,Gauteng,
dea1ee87-1909-4957-9c4e-587d6c69b14c,2090,WENDYWOOD,BRAMLEY,Gauteng,
c9a9d396-123e-47ac-bb60-1e8038b1d512,2090,WENDYWOOD EXT,BRAMLEY,Gauteng,WENDYWOOD UIT
8627d360-7a15-4f28-a31f-edd870abf152,2090,WENDYWOOD EXT 1,BRAMLEY,Gauteng,WENDYWOOD UIT 1
33cb8cd5-6029-44fc-843e-318637ef106c,2090,WENDYWOOD EXT 3,BRAMLEY,Gauteng,WENDYWOOD UIT 3
47f9a154-3873-4ff0-a8e0-0dac998e40b2,2090,WENDYWOOD EXT 4,BRAMLEY,Gauteng,WENDYWOOD UIT 4
