id,postal_code,area,city,province,aliases
e766355c-4574-4980-a9bc-2c1247f6a3ea,1862,DIEPKLOOF EXT,DIEPKLOOF,Gauteng,DIEPKLOOF UIT
2c155407-e6b0-4209-9867-50bfb4fdf45c,1862,DIEPKLOOF EXT 10,DIEPKLOOF,Gauteng,DIEPKLOOF UIT 10
6a54ddcf-f8cd-4e52-b4c7-92190efc002f,1804,DIEPKLOOF EXT 6,DIEPKLOOF,Gauteng,DIEPKLOOF UIT 6
5f4893fe-8b02-48d6-8c1e-ce5eff65ae9a,1862,DIEPKLOOF EXT PHASE 1,DIEPKLOOF,Gauteng,DIEPKLOOF UIT FASE 1
c6f35124-a555-49fd-beeb-f3d9cd9d6e57,1862,DIEPKLOOF EXT PHASE 2,DIEPKLOOF,Gauteng,DIEPKLOOF UIT FASE 2
2a459ba2-bf32-4c4c-8736-a337f72b5dd6,1862,DIEPKLOOF EXT PHASE 3,DIEPKLOOF,Gauteng,DIEPKLOOF UIT FASE 3
bd7449e6-cb16-4e81-98d4-8804df10bfc5,1862,DIEPKLOOF EXT ZONE 4,DIEPKLOOF,Gauteng,DIEPKLOOF UIT SONE 4
55fb1aa0-e8ac-4b60-beef-2672b3c502ce,1804,DIEPKLOOF HOSTEL,DIEPKLOOF,Gauteng,
e4599cb7-3087-4f47-9756-ee197de53462,1862,DIEPKLOOF ZONE 1,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 1
b11bb4cb-aa21-44e7-b289-4efacfd770f8,1862,DIEPKLOOF ZONE 10,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 10
a0e9fbb1-eaca-427a-86bc-c5959fd62c0c,1862,DIEPKLOOF ZONE 11,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 11
f844ded4-4161-41fc-af46-fc0bdbb5d924,1862,DIEPKLOOF ZONE 2,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 2
94e291ca-972a-41a4-8d9a-b88998a052eb,1862,DIEPKLOOF ZONE 3,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 3
c7deca38-04bd-4255-be25-a292f83a7193,1862,DIEPKLOOF ZONE 4,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 4
731c745b-949b-44ac-b899-3120b12f7990,1862,DIEPKLOOF ZONE 5,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 5
a18ef8be-63e8-4729-8d54-8d9a6ae1259b,1862,DIEPKLOOF ZONE 6,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 6
2633aa35-a832-430b-9c09-5dca47bb63d6,1862,DIEPKLOOF ZONE 7,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 7
bb4d8d37-485e-4dba-a192-225466b4c429,1862,DIEPKLOOF ZONE 8,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 8
e31f0e38-9f2f-48c8-b599-8b650c8b03d9,1862,DIEPKLOOF ZONE 9,DIEPKLOOF,Gauteng,DIEPKLOOF SONE 9
