id,postal_code,area,city,province,aliases
f6688d42-9111-4888-810e-f713210642b9,1875,BRAAMFISCHER,DOBSONVILLE,Gauteng,BRAAMFISCHERVILLE
b9af07f9-60df-4c07-bed6-76a527b385cf,1875,BRAAMFISCHER EXT 1,DOBSONVILLE,Gauteng,BRAAMFISCHER UIT 1|BRAAMFISCHERVILLE EXT 1|BRAAMFISCHERVILLE UIT 1
1c3f5f38-9922-4f98-913b-526eabc50118,1863,BRAAMFISCHER EXT 2,DOBSONVILLE,Gauteng,BRAAMFISCHER UIT 2|BRAAMFISCHERVILLE EXT 2|BRAAMFISCHERVILLE UIT 2
5e322c4f-0829-42ba-be49-0feacd50122d,1875,BRAAMFISCHER PHASE 1,DOBSONVILLE,Gauteng,BRAAMFISCHER FASE 1
3818e04d-ec67-463c-a337-01d2bcfed851,1863,BRAAMFISCHER PHASE 2,DOBSONVILLE,Gauteng,BRAAMFISCHER FASE 2
130731cb-c690-4d27-b1b3-910b0d2fbdbe,1863,BRAAMFISCHER PHASE 3,DOBSONVILLE,Gauteng,BRAAMFISCHER FASE 3
6c0dfd92-b5da-4101-9e04-a4e25076f74e,1863,BRAAMFISCHER PHASE 4,DOBSONVILLE,Gauteng,BRAAMFISCHER FASE 4
8704a1a8-3060-4b6a-905c-1c9e11a7c654,1863,BRAAMFISCHERVILLE EXT 14,DOBSONVILLE,Gauteng,BRAAMFISCHERVILLE UIT 14|BRAAMFISCHER EXT 14|BRAAMFISCHER UIT 14
f141713c-1d17-487a-b7a8-87d22f51e617,1863,BRAAMFISCHERVILLE EXT 5,DOBSONVILLE,Gauteng,BRAAMFISCHERVILLE UIT 5
435e8eca-2ec6-4507-910b-35949ead4971,1863,DOBSONVILLE BLOCK 10,DOBSONVILLE,Gauteng,DOBSONVILLE BLOK 10
d44c1889-6a1e-4e8b-a981-65a6ad86f617,1863,DOBSONVILLE BLOCK 6,DOBSONVILLE,Gauteng,DOBSONVILLE BLOK 6
5bf31682-91ab-4ccb-91e2-6af818c100f7,1863,DOBSONVILLE EXT 1,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 1
c9bc5653-60cc-4595-b841-903b80a04d12,1863,DOBSONVILLE EXT 11,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 11
b04b519f-4b27-4e4f-9ca5-03205fe79dc6,1863,DOBSONVILLE EXT 12,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 12
4bc5694d-a822-41a3-ad6d-cee6cd8dd675,1863,DOBSONVILLE EXT 2,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 2
ce96d882-71e1-4f63-a40f-465246af9955,1863,DOBSONVILLE EXT 3,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 3
dce7cab5-f743-4027-88e8-ec8815aa8daa,1863,DOBSONVILLE EXT 4,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 4
7418550c-36b8-448f-869a-24b3b6bfcd87,1863,DOBSONVILLE EXT 5,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 5
2043eae7-9f8a-4003-9a05-09fc49779b9b,1863,DOBSONVILLE EXT 7,DOBSONVILLE,Gauteng,DOBSONVILLE UIT 7
1e336b03-52f8-478a-b8f8-9de68882c646,1863,DOBSONVILLE GARDENS,DOBSONVILLE,Gauteng,DOBSONVILLE TUINE
3fef356a-245e-4124-a786-f2ddfbae4814,1863,DOBSONVILLE NORTH,DOBSONVILLE,Gauteng,DOBSONVILLE-NOORD
fe5471d7-d96d-4983-a799-528991002710,1874,DOORNKOP,DOBSONVILLE,Gauteng,
58a11ad4-1cbb-4b50-bc6c-0bd9a516700c,1874,DOORNKOP EXT 1,DOBSONVILLE,Gauteng,DOORNKOP UIT 1
60d562b1-84ec-404c-b74b-5ff5dd5ead2d,1874,DOORNKOP EXT 3,DOBSONVILLE,Gauteng,DOORNKOP UIT 3
9cc4ee35-c0a4-4ffa-9348-60f9f755bd3e,1874,DOORNKOP EXT 4,DOBSONVILLE,Gauteng,DOORNKOP UIT 4
7ea204c7-bdfc-4008-8022-23973cf79cbb,1863,GREENVILLAGE,DOBSONVILLE,Gauteng,
434a6664-2d58-4d35-a047-f6a0279d84be,1863,GREENVILLAGE EXT 1,DOBSONVILLE,Gauteng,GREENVILLAGE UIT 1
54799c65-75cb-4ffc-b9ca-263b67c4c6fa,1863,SILVERTOWN,DOBSONVILLE,Gauteng,
3a5f4b89-cf63-4989-bf9a-91b10a658547,1863,SILVERTOWN EXT 5,DOBSONVILLE,Gauteng,SILVERTOWN UIT 5
c27fd630-2c3d-4930-aa13-e4ce2b4a94e6,1863,SNAKE PARK,DOBSONVILLE,Gauteng,
f58c5bfa-b572-4cab-864b-be4b522304b9,1863,SNAKE PARK EXT 3,DOBSONVILLE,Gauteng,SNAKE PARK UIT 3
f16fce7c-c371-43bc-8c6f-110a3a9761a6,1723,SUNRISE,DOBSONVILLE,Gauteng,
003d772c-d6b5-4838-9da3-a60a43b7d7b2,1874,THUBELISHA,DOBSONVILLE,Gauteng,
41df7185-4fe9-4f36-982b-e37d2ab9b66e,1874,THUBELISHA PHASE 2,DOBSONVILLE,Gauteng,THUBELISHA FASE 2
a8e4892b-3c3f-4910-934d-fb46f15d3b27,1874,THUBELISHA PHASE 3,DOBSONVILLE,Gauteng,THUBELISHA FASE 3
0e6271db-58f2-459c-99b6-faca7c0adb4e,1863,THULANI BLOCK 3,DOBSONVILLE,Gauteng,THULANI BLOK 3
e80e4c93-0fd3-4d31-8bf0-515a7d69ef2f,1863,THULANI BLOCK 5,DOBSONVILLE,Gauteng,THULANI BLOK 5
0b8b570c-2e80-4d5a-b4d8-df9e5560a444,1863,THULANI EXT 1,DOBSONVILLE,Gauteng,THULANI UIT 1
