id,postal_code,area,city,province,aliases
211ebf72-476e-44b5-8fd4-437a1b45c64a,1813,BUSHKOPPIES,ELDORADOPARK,Gauteng,
ed855402-85b0-49a2-9764-ce150d1b9f08,1811,ELDORADOPARK,ELDORADOPARK,Gauteng,ELDORADO PARK
72911e7b-956e-4c92-a709-a7f74965fff9,1811,ELDORADOPARK EXT,ELDORADOPARK,Gauteng,ELDORADOPARK UIT
9b7d0ef2-ceab-4ccb-a3a4-c927d729f9c6,1811,ELDORADOPARK EXT 1,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 1
2708a1b4-a893-4a03-aea6-d60ac74b9076,1811,ELDORADOPARK EXT 10,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 10
e7bb27ae-76b3-41e5-8b0a-14f776f6f0c6,1811,ELDORADOPARK EXT 11,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 11
5373cd52-c9ac-4596-a54b-e631b02698e9,1811,ELDORADOPARK EXT 13,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 13
aca6132e-4bab-439a-a193-778bf40fb972,1811,ELDORADOPARK EXT 2,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 2
afa4a2e3-95ab-418f-bfe9-9bc0b94f4ff7,1811,ELDORADOPARK EXT 3,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 3
80ea30e1-df28-4f8c-9e39-e4430dae07a4,1811,ELDORADOPARK EXT 4,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 4
b84cc825-2c58-46f4-9992-f6db3cf0abbe,1811,ELDORADOPARK EXT 5,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 5
ca965c59-01d3-419e-b35d-3d03960197af,1811,ELDORADOPARK EXT 6,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 6
0ed315c4-a94d-45ad-b7df-08ad86142ab3,1811,ELDORADOPARK EXT 7,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 7
9e27a3ba-cee6-4293-9592-745662dd0e0b,1811,ELDORADOPARK EXT 8,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 8
c21124a5-95b2-43b1-ab42-d88f3d28e274,1811,ELDORADOPARK EXT 9,ELDORADOPARK,Gauteng,ELDORADOPARK UIT 9
c124773f-fb63-46b6-b7ff-75a716f84ead,1811,FREEDOM PARK,ELDORADOPARK,Gauteng,
a8d4c6b3-8649-425c-a035-428484111f7a,1811,KLIPSPRUIT WEST,ELDORADOPARK,Gauteng,KLIPSPRUIT-WES
74094b03-0d72-490d-b288-b95e45e0ec3e,1811,KLIPSPRUIT WEST EXT,ELDORADOPARK,Gauteng,KLIPSPRUIT-WES UIT
0c6e42e7-4895-412c-9135-9b172843efcb,1811,KLIPSPRUIT WEST EXT 1,ELDORADOPARK,Gauteng,KLIPSPRUIT-WES UIT 1
78f315be-d230-49dc-9557-d6025cafc812,1811,KLIPSPRUIT WEST EXT 2,ELDORADOPARK,Gauteng,KLIPSPRUIT-WES UIT 2
ddacf270-7825-42ab-b9db-a7b97dc073c9,1811,KLIPTOWN,ELDORADOPARK,Gauteng,
1ebbd51f-13b7-4170-bcc5-ee75c1668d3f,1811,KLIPTOWN EXT 1,ELDORADOPARK,Gauteng,KLIPTOWN UIT 1
1a07e1ac-4df5-4042-91d0-122f5b899c06,1811,KLIPTOWN EXT 3,ELDORADOPARK,Gauteng,KLIPTOWN UIT 3
5042f8e0-57d9-4f3b-bcd0-5874a28593b4,1811,KLIPTOWN EXT 6,ELDORADOPARK,Gauteng,KLIPTOWN UIT 6
10137dcf-dcd2-4473-bee4-5887c52ba2bf,1811,KLIPTOWN EXT 8,ELDORADOPARK,Gauteng,KLIPTOWN UIT 8
db382d5c-304d-471f-8121-9744638e0154,1811,NANCEFIELD EXT 1,ELDORADOPARK,Gauteng,NANCEFIELD UIT 1
d13e27fb-0345-4afc-91bd-9565fddff68e,1811,NANCEFIELD HOSTELS,ELDORADOPARK,Gauteng,
33ec9113-a826-420c-8366-7e9d68ec7c6f,1811,NANCEFIELD INDUSTRIAL SITES,ELDORADOPARK,Gauteng,
b34ed30a-afaf-4c1a-be31-4c9f6d547d0e,1813,ZAKARIYYA PARK,ELDORADOPARK,Gauteng,ZAKARIYYAPARK|ZAKARIYA PARK|ZAKARIYAPARK
9dd6f347-4748-437c-accc-5acb0a36a87f,1813,ZAKARIYYA PARK EXT 1,ELDORADOPARK,Gauteng,ZAKARIYYAPARK UIT 1|ZAKARIYA PARK EXT 1|ZAKARIYAPARK UIT 1
9d75d6c0-5cc6-48ad-97f3-f6cd6069fab7,1813,ZAKARIYYA PARK EXT 4,ELDORADOPARK,Gauteng,ZAKARIYYAPARK UIT 4|ZAKARIYA PARK EXT 4|ZAKARIYAPARK UIT 4
a574f01d-ce9c-42f1-af8d-a43baf68ed37,1813,ZAKARIYYA PARK EXT 5,ELDORADOPARK,Gauteng,ZAKARIYYAPARK UIT 5
