id,postal_code,area,city,province,aliases
a78088ed-ecd1-4cd9-9ebe-c6fd5a48563a,0081,FAERIE GLEN EXT 1,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 1
7a62f9d8-ed5d-4403-ab18-15ed5eebc336,0081,FAERIE GLEN EXT 11,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 11
dbef735a-252a-41ae-b8e1-ee2c4277aab7,0081,FAERIE GLEN EXT 2,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 2
5627f0f8-1048-44ff-8296-bbde77f71518,0081,FAERIE GLEN EXT 24,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 24
c190e92f-fdbd-4c34-8cab-cbd6a5a3682c,0081,FAERIE GLEN EXT 25,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 25
c02e48ad-6234-48ad-a088-ddc72a8dd5ef,0081,FAERIE GLEN EXT 26,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 26
44484666-f814-4965-a37c-0a14e1c326d8,0081,FAERIE GLEN EXT 27,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 27
d5eee093-2e9b-4619-81f0-c7079fb9fd43,0081,FAERIE GLEN EXT 28,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 28
08590468-4bc6-4575-9c41-f1d5c0158564,0081,FAERIE GLEN EXT 3,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 3
1df38a50-54eb-4cc1-8f0b-00a16ab4734d,0081,FAERIE GLEN EXT 32,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 32
17fcc8a1-7043-47b6-ae12-bd32fed2cc3f,0081,FAERIE GLEN EXT 34,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 34
79fc7590-a3a9-423e-846c-d1ec7f1bfb08,0081,FAERIE GLEN EXT 36,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 36
6fbcb96f-2202-46cc-b1d8-39273f1d8864,0081,FAERIE GLEN EXT 37,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 37
83a986d8-3540-47cc-9204-b954e0aea401,0081,FAERIE GLEN EXT 4,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 4
bdb7c55d-8bbf-4ec1-bf72-f26ad67a1cf3,0081,FAERIE GLEN EXT 45,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 45
d2ba26e4-4eeb-41b0-8a59-e792482df22c,0081,FAERIE GLEN EXT 48,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 48
7e55e0bf-9ab4-4f07-9fea-fae5f4ae973f,0081,FAERIE GLEN EXT 49,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 49
70367a81-58d2-4c58-81bb-6e4a7d3672f2,0081,FAERIE GLEN EXT 59,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 59
0ad4198e-cb4c-4b9f-9118-cb443afe20af,0081,FAERIE GLEN EXT 6,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 6
de939bf6-ed49-4780-a70e-020b045e5434,0081,FAERIE GLEN EXT 61,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 61
88d4e8a9-0c6e-4fab-844d-794d59fa677e,0081,FAERIE GLEN EXT 7,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 7
3d87f1f6-c644-4ba3-9fc2-bc260c895fa1,0081,FAERIE GLEN EXT 70,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 70
9c9fd375-c6b7-428b-ab79-8a4f25d8b650,0081,FAERIE GLEN EXT 71,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 71
7e30ef77-432d-4a3e-9e02-b7c311d0b0f7,0081,FAERIE GLEN EXT 8,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 8
f7d74a7d-dae2-47ba-a92f-1a68fa4daf13,0081,FAERIE GLEN EXT 9,FAERIE GLEN,Gauteng,FAERIE GLEN UIT 9
c9e6ff5e-a8ef-4713-b27a-9ee0c2b9810e,0043,FAIRVIEW,FAERIE GLEN,Gauteng,
