id,postal_code,area,city,province,aliases
3a471613-1995-4b61-a41f-9a1d518e5f99,1709,ALLEN'S NEK,FLORIDA,Gauteng,
3401481d-687e-4c93-9a0c-7df45aa2b079,1709,ANSFRERE,FLORIDA,Gauteng,
7a138555-d95b-48b7-8481-6db302ecc341,1709,BERGBRON,FLORIDA,Gauteng,
612d7aa5-3f84-46bb-b070-b17087d9e672,1709,BERGBRON EXT 1,FLORIDA,Gauteng,BERGBRON UIT 1
2150e43c-9896-4b28-ac74-c128e3638110,1709,BERGBRON EXT 10,FLORIDA,Gauteng,BERGBRON UIT 10
8995d46f-32e6-41be-a9c3-f5b41271786e,1709,BERGBRON EXT 12,FLORIDA,Gauteng,BERGBRON UIT 12
d816d584-31ca-4aa1-9c1f-749d6f458044,1709,BERGBRON EXT 19,FLORIDA,Gauteng,BERGBRON UIT 19
494bd45e-1085-4c6c-8aef-3fb0879b7def,1709,BERGBRON EXT 2,FLORIDA,Gauteng,BERGBRON UIT 2
b95d6e9e-bbe1-4501-a7a1-92641a511157,1709,BERGBRON EXT 3,FLORIDA,Gauteng,BERGBRON UIT 3
6c37cd99-ef5e-4b12-a489-185738b875a8,1709,BERGBRON EXT 4,FLORIDA,Gauteng,BERGBRON UIT 4
582ba6e5-3854-4436-b040-90fcc7dfce8b,1709,BERGBRON EXT 8,FLORIDA,Gauteng,BERGBRON UIT 8
8b23c633-cb35-47b5-ac94-8f44e254f9c0,1709,BERGBRON EXT 9,FLORIDA,Gauteng,BERGBRON UIT 9
fe55c1e6-701d-4dec-a7fc-f5ca9ad93ae8,1709,CONSOLIDATED MAIN REEF,FLORIDA,Gauteng,
bd2c3f57-6a18-4b16-9370-f04e45c1afc2,1709,CONSTANTIA KLOOF,FLORIDA,Gauteng,CONSTANTIAKLOOF
c38f2f6e-eb6a-4acc-80fc-4324bb5da353,1709,CONSTANTIA KLOOF EXT 1,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 1
c3e154ff-8636-40c0-a60d-5965247764de,1709,CONSTANTIA KLOOF EXT 10,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 10
87f9a8d9-6ade-43c0-a346-c4264128947f,1709,CONSTANTIA KLOOF EXT 12,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 12
d0f298a3-4acc-49db-a916-73d4c07dfc65,1709,CONSTANTIA KLOOF EXT 3,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 3
2e8dccdc-368c-4ae2-bd9c-60f29527f724,1709,CONSTANTIA KLOOF EXT 4,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 4
bbfc29b2-6c48-47a2-91d6-7ce50014b78b,1709,CONSTANTIA KLOOF EXT 5,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 5
28a0fe28-8cd2-4fb8-bf88-0a3f8bf03800,1709,CONSTANTIA KLOOF EXT 7,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 7
b765a72a-f909-4a64-aaaf-a82f840772c3,1709,CONSTANTIA KLOOF EXT 8,FLORIDA,Gauteng,CONSTANTIAKLOOF UIT 8
5d092385-6139-4d71-8556-198b9f42d2f2,1709,DELAREY,FLORIDA,Gauteng,
76758fc7-ae5a-40a5-b280-7fff50abac9e,1709,DELAREY EXT 1,FLORIDA,Gauteng,DELAREY UIT 1
7e68753a-b970-42f6-967a-01bc545ed428,1715,DEVON VALLEY,FLORIDA,Gauteng,
3cd27fab-a202-4cc8-b873-3653a5333154,1709,DISCOVERY,FLORIDA,Gauteng,
861dac43-19cb-4fcd-803b-218396430e9b,1709,DISCOVERY EXT 10,FLORIDA,Gauteng,DISCOVERY UIT 10
47b84377-5296-4beb-bdb2-65720021541a,1709,DISCOVERY EXT 11,FLORIDA,Gauteng,DISCOVERY UIT 11
0c3baaa9-5ef9-4f76-9f58-4cfb9629076b,1709,DISCOVERY EXT 15,FLORIDA,Gauteng,DISCOVERY UIT 15
206e52d7-9be5-43a8-9ebd-4d39e7721905,1709,DISCOVERY EXT 2,FLORIDA,Gauteng,DISCOVERY UIT 2
18eee7f9-dbd1-479e-b466-0a5c0d088fa9,1709,DISCOVERY EXT 3,FLORIDA,Gauteng,DISCOVERY UIT 3
1c9f5b4a-0d95-4cdf-8ac3-75ad4f8bd1fe,1709,DISCOVERY EXT 6,FLORIDA,Gauteng,DISCOVERY UIT 6
