id,postal_code,area,city,province,aliases
cb802014-4573-4a45-bb0f-97717afd4a7a,1754,AZAADVILLE EXT 1,KAGISO,Gauteng,AZAADVILLE UIT 1
656e76bb-8751-4055-92a5-af2eeeeeec88,1754,CHAMDOR,KAGISO,Gauteng,
0b8f5642-b72d-4bce-ba9e-1a442b9d8bb1,1754,EAST PARK,KAGISO,Gauteng,
d65eeb93-f857-4193-afc8-bdfb0a9dd87e,1754,EAST PARK EXT 2,KAGISO,Gauteng,EAST PARK UIT 2
736b8881-3182-43e9-89ed-6306f10aa8b6,1754,EAST PARK EXT 5,KAGISO,Gauteng,EAST PARK UIT 5
95f33003-a550-45dd-ab87-e16ab52768ea,1754,EBUMNANDINI,KAGISO,Gauteng,
0e5b8997-5447-4a19-9047-11c3a7fdef93,1754,HILLVIEW,KAGISO,Gauteng,
38ba5475-2859-4a2a-bf63-472e4d3a3880,1754,HILLVIEW EXT 7,KAGISO,Gauteng,HILLVIEW UIT 7
1d914324-50ac-42b0-953b-13b974115d48,1754,HOSPITAL VIEW,KAGISO,Gauteng,
df3f8de5-988c-4479-8704-5b0a9b0586ff,1754,HOSPITAL VIEW EXT 11,KAGISO,Gauteng,HOSPITAL VIEW UIT 11
384a7914-bb27-43cb-a267-09a8f8058fbe,1754,HOSPITAL VIEW EXT 6,KAGISO,Gauteng,HOSPITAL VIEW UIT 6
2a04bb89-988a-4b95-8e1a-944bd2640dd0,1754,KAGISO 1,KAGISO,Gauteng,
8db79232-b2a3-49a0-91e6-62d81c942982,1754,KAGISO 2,KAGISO,Gauteng,
5f8e7a30-8187-4646-99a2-f114bf4cf65d,1754,KAGISO 2 EXT 11,KAGISO,Gauteng,KAGISO 2 UIT 11
53d0a1bb-319b-4a4d-8da0-9e78e75ed052,1754,KAGISO 2 EXT 4,KAGISO,Gauteng,KAGISO 2 UIT 4
df98ccc1-738e-423b-9183-080ade0eb912,1754,KAGISO 2 EXT 6,KAGISO,Gauteng,KAGISO 2 UIT 6
9f487da0-81cc-49c8-a270-166d6dee90f0,1754,KAGISO 2 EXT 8,KAGISO,Gauteng,KAGISO 2 UIT 8
7c87ea0a-5e8a-4b53-9c22-6f2899eadde0,1754,KAGISO 2 EXT 9,KAGISO,Gauteng,KAGISO 2 UIT 9
ff9a4847-8e78-472c-9eaf-c852c186b3a2,1754,KAGISO EAST,KAGISO,Gauteng,KAGISO-OOS
4d888954-0e08-4de0-ae99-23c5da9f2a28,1754,KAGISO EXT 1,KAGISO,Gauteng,KAGISO UIT 1
eb77c587-d395-43db-ad4f-e4ad4feae4f2,1754,KAGISO EXT 10,KAGISO,Gauteng,KAGISO UIT 10
ae2cc443-9e6e-4173-9e2e-18666ef8bbed,1754,KAGISO EXT 11,KAGISO,Gauteng,KAGISO UIT 11
