id,postal_code,area,city,province,aliases
b7bc14df-5423-4c9b-82f7-d73286dedfbb,1575,INTERLAND,KWATHEMA,Gauteng,
f918026d-c7c8-423d-b641-df694122f294,1575,INTERLAND EXT 1,KWATHEMA,Gauteng,INTERLAND UIT 1
2a9fbd8e-c7c7-4b5d-a2df-c1f064ef6675,1576,KWATHEMA EXT,KWATHEMA,Gauteng,KWATHEMA UIT
c9312c2c-4c60-44ce-8f4c-d3c6b009f08c,1575,KWATHEMA EXT 1,KWATHEMA,Gauteng,KWATHEMA UIT 1
8a4bf12d-e74c-4e31-ad23-2f6e7fbd60dd,1575,KWATHEMA EXT 2,KWATHEMA,Gauteng,KWATHEMA UIT 2
c24a4f65-4891-4868-b8c6-7b3aef6d9015,1575,KWATHEMA EXT 3,KWATHEMA,Gauteng,KWATHEMA UIT 3
ff11050f-715e-43e4-a7a7-1120cc120446,1575,KWATHEMA EXT 4,KWATHEMA,Gauteng,KWATHEMA UIT 4
a2d49bba-63e5-4a6e-8390-88a5391d3ce6,1575,KWATHEMA EXT 6,KWATHEMA,Gauteng,KWATHEMA UIT 6
9d1bfb8e-acd4-4b95-9931-3f777466c67e,1575,KWATHEMA EXT 8,KWATHEMA,Gauteng,KWATHEMA UIT 8
5eec53a1-eb49-4820-84e3-426081c154f1,1576,ZIMISELE,KWATHEMA,Gauteng,
