id,postal_code,area,city,province,aliases
afd1735e-e1c3-4614-b0c7-67fb5a8d5e06,0081,ALPHEN PARK,MENLO PARK,Gauteng,ALPHENPARK
8a4caac8-7515-438f-b69d-8aa7cd4f1b86,0081,ASHLEA GARDENS,MENLO PARK,Gauteng,ASHLEATUINE
92e52767-b92f-4649-a95e-8ff3a3ddbdea,0081,GARSFONTEIN,MENLO PARK,Gauteng,
07f84055-83ba-475a-bfc2-59861581f2d8,0081,GARSFONTEIN EAST,MENLO PARK,Gauteng,GARSFONTEIN-OOS
f382bd8b-3925-4a63-bde3-58cbbc87c056,0081,GARSFONTEIN EXT 1,MENLO PARK,Gauteng,GARSFONTEIN UIT 1
020ef2c2-8106-425d-9dbe-1f0637808c72,0081,GARSFONTEIN EXT 10,MENLO PARK,Gauteng,GARSFONTEIN UIT 10
c78536e3-991c-4170-88ae-c42f67303f51,0081,GARSFONTEIN EXT 11,MENLO PARK,Gauteng,GARSFONTEIN UIT 11
04af2547-c01d-4165-a8f4-0a1f4944acf6,0081,GARSFONTEIN EXT 12,MENLO PARK,Gauteng,GARSFONTEIN UIT 12
a1d48aa0-5090-4c50-a251-b706658b6be0,0081,GARSFONTEIN EXT 13,MENLO PARK,Gauteng,GARSFONTEIN UIT 13
452c4886-e006-4fb1-8803-4722e506d27b,0081,GARSFONTEIN EXT 14,MENLO PARK,Gauteng,GARSFONTEIN UIT 14
ab38f2fe-3131-48c1-be90-9ea40768b16a,0081,GARSFONTEIN EXT 15,MENLO PARK,Gauteng,GARSFONTEIN UIT 15
56df4dbd-6933-4104-81fb-a194ed6d3fb5,0081,GARSFONTEIN EXT 16,MENLO PARK,Gauteng,GARSFONTEIN UIT 16
6598e0d6-edad-45cc-b5df-627fb95d0542,0081,GARSFONTEIN EXT 17,MENLO PARK,Gauteng,GARSFONTEIN UIT 17
9eaa0bb3-a35e-4576-82fa-9c533e9b8f9d,0081,GARSFONTEIN EXT 2,MENLO PARK,Gauteng,GARSFONTEIN UIT 2
12bf9fb2-c3e1-4ba1-a3ce-4c143c0c835d,0081,GARSFONTEIN EXT 3,MENLO PARK,Gauteng,GARSFONTEIN UIT 3
780ef8c1-c3eb-431b-9a3a-2ef9530be3f2,0081,GARSFONTEIN EXT 4,MENLO PARK,Gauteng,GARSFONTEIN UIT 4
3b34f3d8-83cb-4f99-a33f-811a98cfe587,0081,GARSFONTEIN EXT 5,MENLO PARK,Gauteng,GARSFONTEIN UIT 5
53c20462-391e-4c7c-9437-888efa4d5dc6,0081,GARSFONTEIN EXT 6,MENLO PARK,Gauteng,GARSFONTEIN UIT 6
f0d75649-8853-4ce6-9787-293f9ac201d6,0081,GARSFONTEIN EXT 7,MENLO PARK,Gauteng,GARSFONTEIN UIT 7
ed74f4b9-841d-407c-abf8-88123f327e2f,0081,GARSFONTEIN EXT 8,MENLO PARK,Gauteng,GARSFONTEIN UIT 8
2f6cc61a-5b18-4441-98ce-8c1d580e6373,0081,GARSFONTEIN EXT 9,MENLO PARK,Gauteng,GARSFONTEIN UIT 9
60276fac-5a83-4bb5-b8c1-e2c3f9cd84aa,0081,GARSFONTEIN WEST,MENLO PARK,Gauteng,GARSFONTEIN-WES
fc2f6803-c21a-4c3b-9499-810e019bfc5a,0081,GLENWOOD,MENLO PARK,Gauteng,
a6a2fc04-a65b-44d4-b83b-49fd7a3b275c,0081,HAZELWOOD,MENLO PARK,Gauteng,
4ba4914c-dad9-48dd-8729-967afc186ec9,0081,LYNNRODENE,MENLO PARK,Gauteng,
f24f9969-b7f1-4972-9185-258f0b488a1a,0081,LYNNWOOD,MENLO PARK,Gauteng,
07e3d6bb-84af-44ee-82cd-00d505df49ab,0081,LYNNWOOD GLEN,MENLO PARK,Gauteng,
80fe8a5c-dcf3-417b-9c74-6b73c75997ef,0081,LYNNWOOD MANOR,MENLO PARK,Gauteng,
8a833d33-6913-472e-88eb-aa874532671d,0081,LYNNWOOD MANOR EXT 2,MENLO PARK,Gauteng,LYNNWOOD MANOR UIT 2
cdb9bac3-d4d8-4a91-8ddf-59a7bb976bc4,0081,LYNNWOOD MANOR EXT 3,MENLO PARK,Gauteng,LYNNWOOD MANOR UIT 3
9aa46cd1-c345-4112-b3f0-68eca5ce6198,0081,LYNNWOOD PARK,MENLO PARK,Gauteng,
7d2a2287-8dac-4de2-bf02-aafc2c131fdd,0081,LYNNWOOD RIDGE,MENLO PARK,Gauteng,LYNNWOODRIF
c4a6e3a0-c41d-4b5c-9187-d5ecee7bfa1b,0081,OLYMPUS,MENLO PARK,Gauteng,
225481d3-2a33-4ac3-ad07-d789f23b4a29,0081,THE HILLS EXT 4,MENLO PARK,Gauteng,THE HILLS UIT 4|MENLOPARK
6904c404-a9d9-4055-900b-8dc78ecfafc5,0081,THE HILLS EXT 5,MENLO PARK,Gauteng,THE HILLS UIT 5|MENLOPARK
63bfe7b6-2db0-44ee-858f-2b87c20b054e,0081,THE HILLS EXT 6,MENLO PARK,Gauteng,THE HILLS UIT 6|MENLOPARK
