id,postal_code,area,city,province,aliases
51a31db2-b3b6-4b70-b147-4f7bca4000c2,1666,CLAYVILLE,OLIFANTSFONTEIN,Gauteng,
8f2e0d9d-19c4-4e12-911f-704a1dc49f23,1666,CLAYVILLE EAST,OLIFANTSFONTEIN,Gauteng,CLAYVILLE-OOS
ff659672-9e65-4e55-b99f-d183426c856b,1666,CLAYVILLE EXT 13,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 13
cea0a9dd-f9a0-45ee-bc44-c57888419dd9,1666,CLAYVILLE EXT 21,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 21
f0b39182-0824-446a-ae0e-6f95b3c05af2,1666,CLAYVILLE EXT 26,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 26
09a89f35-5e9c-4868-8699-71fded4c0729,1666,CLAYVILLE EXT 27,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 27
085097bd-833c-4f07-9364-8cde20e34cca,1666,CLAYVILLE EXT 29,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 29
b214b03e-130a-4ef6-92a2-aa760fb52a7c,1666,CLAYVILLE EXT 3,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 3
57a8bdae-213c-489c-970b-ca340d0d841f,1666,CLAYVILLE EXT 33,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 33
eb524b1c-79d1-416a-a725-8f5c808af900,1666,CLAYVILLE EXT 34,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 34
fdcbe857-5a03-4d92-93d7-9aee8b0a4a81,1666,CLAYVILLE EXT 45,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 45
d9a402a1-a8f5-4015-974e-6ebc19c108de,1666,CLAYVILLE EXT 7,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 7
7f44e8b3-9ba8-44fa-90a6-dab971b9fcac,1666,CLAYVILLE EXT 8,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 8
0997128d-7daf-4b4f-b8d6-648ac17606f8,1666,CLAYVILLE EXT 9,OLIFANTSFONTEIN,Gauteng,CLAYVILLE UIT 9
c3df6acc-4c7a-47b2-b543-6d8bd12704a3,1666,CLAYVILLE INDUSTRIAL,OLIFANTSFONTEIN,Gauteng,CLAYVILLE INDUSTRIEEL
4ed8a4d3-93c9-4919-ab17-01fa1813ab90,1667,IRENE GLEN,OLIFANTSFONTEIN,Gauteng,
84fa062b-56d9-4e90-bd06-8444b91d25cd,1685,KAALFONTEIN EXT 13,OLIFANTSFONTEIN,Gauteng,KAALFONTEIN UIT 13
e2628638-43d9-470c-92a3-96ce9689e5cd,1682,KAALFONTEIN EXT 23,OLIFANTSFONTEIN,Gauteng,KAALFONTEIN UIT 23
e139850f-7ee9-4c1f-b462-eb4f728181bb,1666,WATERFALL,OLIFANTSFONTEIN,Gauteng,
