id,postal_code,area,city,province,aliases
577d738e-82bd-441d-a517-295a48d9dc37,2188,BRIDGETOWN,OLIVEDALE,Gauteng,
6083678a-2e3e-47d3-9bc3-a0a9f5ac200f,2188,BROMHOF EXT 53,OLIVEDALE,Gauteng,BROMHOF UIT 53
1119927a-7403-45f7-bf8e-87e9e0b45531,2188,COSMO CITY EXT 9,OLIVEDALE,Gauteng,COSMO CITY UIT 9
f37e7db3-0721-4c1d-af5d-99fe47238f27,2191,DIEPSLOOT EXT 11,OLIVEDALE,Gauteng,DIEPSLOOT UIT 11
1b7159bc-e824-41be-9cd9-966defac1f43,2120,DIEPSLOOT EXT 2,OLIVEDALE,Gauteng,DIEPSLOOT UIT 2
9e375760-72a7-4669-a467-1c93dc49e532,2189,DIEPSLOOT EXT 3,OLIVEDALE,Gauteng,DIEPSLOOT UIT 3
92d9acb9-5ff6-4e52-b749-7efe0fbc4c84,2191,DIEPSLOOT EXT 4,OLIVEDALE,Gauteng,DIEPSLOOT UIT 4
fdf15b57-40da-4d9d-9635-0f7d7b68fa43,2189,DIEPSLOOT EXT 5,OLIVEDALE,Gauteng,DIEPSLOOT UIT 5
b6af1ae9-581b-4d9d-b49a-5c540daa3ac8,2189,DIEPSLOOT EXT 6,OLIVEDALE,Gauteng,DIEPSLOOT UIT 6
ce407911-5b05-498a-aea5-d237c6bf0cc7,2189,DIEPSLOOT EXT 7,OLIVEDALE,Gauteng,DIEPSLOOT UIT 7
a8cca8a4-ab08-4589-96ed-b96fbaced205,2189,DIEPSLOOT EXT 9,OLIVEDALE,Gauteng,DIEPSLOOT UIT 9
f7e1816a-e860-4746-ad64-0dce92982518,2191,DIEPSLOOT ZONE 7,OLIVEDALE,Gauteng,DIEPSLOOT SONE 7
c3a2905a-0f22-4d87-b18d-271d5b9449d3,2188,JACKAL CREEK GOLF ESTATE,OLIVEDALE,Gauteng,JACKAL CREEK GHOLF LANDGOED
93baca74-4621-4e0d-bf83-70115ca40aa0,2183,LENASIA NTN CENTRE,OLIVEDALE,Gauteng,LENASIA NTN SENTRUM
ab655368-511a-4e96-8161-dc35daae2995,2188,NORTH RIDING,OLIVEDALE,Gauteng,
959072ba-dc5d-4a53-b345-241956393f9b,2188,NORTHGATE,OLIVEDALE,Gauteng,
45546fce-3dec-40d8-8be7-2e85580d1958,2188,NORTHGATE EXT,OLIVEDALE,Gauteng,NORTHGATE UIT
0f887305-5b50-4b3b-b179-32862e398077,2188,NORTHGATE EXT 29,OLIVEDALE,Gauteng,NORTHGATE UIT 29
ce67ca18-ef0b-406d-ac9b-960166c466f8,2188,RIDGE TERRACE,OLIVEDALE,Gauteng,
