id,postal_code,area,city,province,aliases
27dcade3-3ee3-4c42-b57b-f38923757137,1841,DRIEZIEK,ORANGE FARM,Gauteng,
f9362f98-6ffe-4992-b504-7fbec4ff9e84,1841,DRIEZIEK EXT 1,ORANGE FARM,Gauteng,DRIEZIEK UIT 1
2f32c917-253f-4f5d-93ac-23724fc268f1,1841,DRIEZIEK EXT 2,ORANGE FARM,Gauteng,DRIEZIEK UIT 2
8a70640c-90fc-452c-bab7-d12230b6c7fa,1841,DRIEZIEK EXT 3,ORANGE FARM,Gauteng,DRIEZIEK UIT 3
90244bee-c973-44b5-85e3-ad5acc665c50,1841,DRIEZIEK EXT 5,ORANGE FARM,Gauteng,DRIEZIEK UIT 5
eab53253-46d3-4ed7-a817-e736d272266e,1841,DRIEZIEK EXT 6,ORANGE FARM,Gauteng,DRIEZIEK UIT 6
12459341-088f-481c-9966-f9096b9e9146,1841,DRIEZIEK EXT 9,ORANGE FARM,Gauteng,DRIEZIEK UIT 9
8290b80b-d706-419b-96ed-8545ccb87201,1841,ORANGE FARM,ORANGE FARM,Gauteng,
fcca12a3-779a-4182-a48d-c3f0f5dbe17a,1841,ORANGE FARM EXT 1,ORANGE FARM,Gauteng,ORANGE FARM UIT 1
b085d46e-0793-4a40-8d44-41830746ee27,1841,ORANGE FARM EXT 10,ORANGE FARM,Gauteng,ORANGE FARM UIT 10
5b75a228-7df8-4ffe-855f-3a2eb9d65dd8,1841,ORANGE FARM EXT 10A,ORANGE FARM,Gauteng,ORANGE FARM UIT 10A
4cd99176-29e0-4a53-96a0-5c2285ccd171,1841,ORANGE FARM EXT 2,ORANGE FARM,Gauteng,ORANGE FARM UIT 2
98a20586-d0d9-4064-b908-468c8556932c,1841,ORANGE FARM EXT 3,ORANGE FARM,Gauteng,ORANGE FARM UIT 3
26fff857-383d-492e-a3e6-2b979b2b5513,1841,ORANGE FARM EXT 4,ORANGE FARM,Gauteng,ORANGE FARM UIT 4
08f441b5-1e64-4e81-81da-89b94d2d9b2f,1841,ORANGE FARM EXT 5,ORANGE FARM,Gauteng,ORANGE FARM UIT 5
69b7725c-967e-43b9-903f-4f469b2a12b1,1841,ORANGE FARM EXT 6,ORANGE FARM,Gauteng,ORANGE FARM UIT 6
b60a6fb7-8e74-45da-ba21-fcd153f816e8,1841,ORANGE FARM EXT 6A,ORANGE FARM,Gauteng,ORANGE FARM UIT 6A
e92d09ec-de32-4e32-9253-4e337002e0c1,1841,ORANGE FARM EXT 6B,ORANGE FARM,Gauteng,ORANGE FARM UIT 6B
7fa746a2-9c0e-466b-a367-87f0a5cdd88a,1841,ORANGE FARM EXT 7,ORANGE FARM,Gauteng,ORANGE FARM UIT 7
ff143dba-dbb5-46fb-9777-86392a03643b,1841,ORANGE FARM EXT 7A,ORANGE FARM,Gauteng,ORANGE FARM UIT 7A
7b358392-2500-478f-9d1c-b673eb5b8859,1841,ORANGE FARM EXT 7B,ORANGE FARM,Gauteng,ORANGE FARM UIT 7B
783a9c0f-cac8-4540-9fb5-24c6894e285b,1841,ORANGE FARM EXT 8,ORANGE FARM,Gauteng,ORANGE FARM UIT 8
015b7448-6425-4d3d-a954-caa986d54581,1841,ORANGE FARM EXT 8A,ORANGE FARM,Gauteng,ORANGE FARM UIT 8A
f07248ca-a45a-4f40-9fe5-7895ba55eaf5,1841,ORANGE FARM EXT 8B,ORANGE FARM,Gauteng,ORANGE FARM UIT 8B
91bd1193-c5fe-4e7b-b4af-bc9a80ee6318,1841,ORANGE FARM EXT 9,ORANGE FARM,Gauteng,ORANGE FARM UIT 9
6aac3ef9-a38e-4075-b51f-7e91a44a9e26,1841,POORTJE,ORANGE FARM,Gauteng,
57a673a0-0387-407b-8c5e-60db00202e35,1841,STRETFORD,ORANGE FARM,Gauteng,
eca2c73a-b7df-4a63-8af4-75886248c017,1841,STRETFORD EXT 3,ORANGE FARM,Gauteng,STRETFORD UIT 3
