id,postal_code,area,city,province,aliases
2789baed-0c1b-4898-98e2-7865b3123847,0183,ASIATIC BAZAAR,PRETORIA WEST,Gauteng,PRETORIA-WES
257d9e93-bf4f-43d1-920c-ddd4c1527056,0183,CAPE RESERVE,PRETORIA WEST,Gauteng,PRETORIA-WES
3ca1e880-6c43-43da-ab69-6a92bbf9d0f9,0183,CHRISTOBURG,PRETORIA WEST,Gauteng,PRETORIA-WES
c15f2e5f-0404-45cf-877c-7afaa59a7b72,0183,DANVILLE EXT 1,PRETORIA WEST,Gauteng,DANVILLE UIT 1|PRETORIA-WES
44b4582c-f075-4809-b4a1-7ffdd58ad1f7,0183,DANVILLE EXT 2,PRETORIA WEST,Gauteng,DANVILLE UIT 2|PRETORIA-WES
7ad09430-2a8b-412e-81be-0cb478bff8cd,0183,DANVILLE EXT 3,PRETORIA WEST,Gauteng,DANVILLE UIT 3|PRETORIA-WES
e09d8154-5012-4d94-95b8-2da5f339d6c7,0183,DANVILLE EXT 34,PRETORIA WEST,Gauteng,DANVILLE UIT 34|PRETORIA-WES
ecc32775-bece-443d-ae49-2607dfe23fe3,0183,DANVILLE EXT 5,PRETORIA WEST,Gauteng,DANVILLE UIT 5|PRETORIA-WES
1550dae0-a983-4302-b86e-d268b1183bee,0183,INDUSTRIAL AREA,PRETORIA WEST,Gauteng,INDUSTRIELE GEBIED|PRETORIA-WES
5f8641e4-7eb3-4d4b-9827-982203f13a75,0183,KWAGGASRAND,PRETORIA WEST,Gauteng,PRETORIA-WES
bd3ea562-1af1-4000-a236-af8284f3ecd9,0183,PROCLAMATION HILL,PRETORIA WEST,Gauteng,PROKLAMASIEHEUWEL|PRETORIA-WES
256cf0b8-14c6-4066-8d4c-b7ba5b3b72ae,0183,WEST RIDGE,PRETORIA WEST,Gauteng,PRETORIA-WES
34f1de05-54c8-4e73-b833-c9385e4dbc0d,0183,WESTVIEW,PRETORIA WEST,Gauteng,PRETORIA-WES
