id,postal_code,area,city,province,aliases
19de5ca4-df67-4a57-ae4d-739971443b67,0182,AKASIA,PRETORIA,Gauteng,
636b72b6-5538-4e53-b0d0-35ddfaf11fb2,0182,AKASIA EXT 2,PRETORIA,Gauteng,AKASIA UIT 2
11f26c1b-b867-4e15-a1a7-16e43e786b0c,0081,ALKANTRANT,PRETORIA,Gauteng,
5cdf08b7-97ca-4e5c-bf36-f831a7ced9ae,0182,AMANDASIG EXT 43,PRETORIA,Gauteng,AMANDASIG UIT 43
d6649c7b-b00e-4045-bd36-1793f959b03d,0183,ANDEON,PRETORIA,Gauteng,ANDEON
24d46594-0b7f-42d8-87e6-46232795ae43,0183,ANDEON AH,PRETORIA,Gauteng,ANDEON AH
01e7ece1-3499-470b-8fb5-db9de4b61d28,0183,ANDEON EXT 1,PRETORIA,Gauteng,ANDEON UIT 1
6be420f2-825c-43bb-bcd9-246ac8de3af7,0082,ANDEON EXT 15,PRETORIA,Gauteng,ANDEON UIT 15
302bd8ca-0381-4ed7-8070-658045d5f504,0082,ANDEON EXT 18,PRETORIA,Gauteng,ANDEON UIT 18
5ea003b6-8b3d-4467-93f8-5b4d5bcce70f,0183,ANDEON EXT 2,PRETORIA,Gauteng,ANDEON UIT 2
a6db0737-02e3-4b40-be6f-43b33e4e7eb5,0183,ANDEON EXT 3,PRETORIA,Gauteng,ANDEON UIT 3
8bea1f70-2fae-47f5-9e77-a5c29e78c0a1,0183,ANDEON EXT 38,PRETORIA,Gauteng,ANDEON UIT 38
3a84abed-12da-41ff-a9cb-6fcc9195839f,0183,ANDEON EXT 4,PRETORIA,Gauteng,ANDEON UIT 4
68260224-f9e1-40c8-bc44-2681e894e208,0183,ANDEON EXT 5,PRETORIA,Gauteng,ANDEON UIT 5
b6171b0a-1934-4da7-ac65-649549a5daeb,0183,ANDEON EXT 6,PRETORIA,Gauteng,ANDEON UIT 6
907db297-e9f3-4933-9c88-7828a13bbe9f,0083,ARCADIA,PRETORIA,Gauteng,
6087d306-ca88-4a67-aeab-8e35a2fc7017,0008,ATTERIDGEVILLE,PRETORIA,Gauteng,
5a57ab0f-c460-48d6-ad9b-147ca13ddb44,0181,BAILEYS MUCKLENEUK,PRETORIA,Gauteng,
ce44edaa-061a-4bce-9bfa-9c90c0a4d5c2,0142,BELLE OMBRE,PRETORIA,Gauteng,
9233c652-6e04-4e3f-bdf0-d8aa32f2d924,0002,BEREA PARK,PRETORIA,Gauteng,BEREAPARK
f400c721-be3d-4350-ba10-6bad85d7174f,0186,BERGTUIN,PRETORIA,Gauteng,
166688ef-1894-4a5c-a6b7-042b7109530c,0080,BLOED STREET MALL,PRETORIA,Gauteng,BLOED STRAAT WINKELSENTRUM
852f207b-2782-4d97-b573-e0afca4bb460,0187,BLUE VALLEY GOLF ESTATE,PRETORIA,Gauteng,BLUE VALLEY GHOLF LANDGOED|BLUE VALLEY GOLF & RESIDENTIAL ESTATE|BLUE VALLEY GHOLF & RESIDENSIELE LANDGOED
b2aa5756-0f1b-44c3-871c-3d2601fc8bc1,0081,BOARDWALK,PRETORIA,Gauteng,
3513a4ed-a532-4be3-986d-93034834cab4,0081,BOARDWALK EXT 30,PRETORIA,Gauteng,BOARDWALK UIT 30
ffafbe94-3c22-48b0-b8ec-90be5893f545,0081,BOARDWALK MANOR,PRETORIA,Gauteng,
d83dcf5f-47f8-4cc3-96c1-38ba7559a3c9,0081,BOARDWALK MEANDER,PRETORIA,Gauteng,
14a4ee6d-0689-4710-af8e-5f9d1de1e55c,0081,BOARDWALK VILLAS EXT 4,PRETORIA,Gauteng,BOARDWALK VILLAS UIT 4
7efe9943-395f-41c4-a99f-f51f5a68e626,0009,BON ACCORD,PRETORIA,Gauteng,
f7ae609c-0851-4530-bbec-dd5e070d1aaf,0182,BOORDFONTEIN,PRETORIA,Gauteng,
05a03c9a-1718-4aa6-b146-dbc76a365e13,0201,BOORDFONTEIN WEST,PRETORIA,Gauteng,BOORDFONTEIN-WES
3ba57ac3-8de6-4d3c-8b0b-43f7b670803e,0081,BRONBERG,PRETORIA,Gauteng,
4b74e221-4727-4082-b9e8-00afc94f9c12,0181,BROOKLYN,PRETORIA,Gauteng,
23e8f5c9-e6ad-49a3-b0f4-d05cf8b561e8,0084,CAPITAL PARK EXT 4,PRETORIA,Gauteng,CAPITALPARK UIT 4
0828e9bb-674b-4d73-a225-ceba9f802c93,0130,CELTIS RIDGE,PRETORIA,Gauteng,CELTISRIF
d3af0d5d-c9b8-4be6-9f34-bc532f33ef30,0002,CENTRAL,PRETORIA,Gauteng,SENTRAAL
03f3dd19-af91-49d4-b484-f27b0cb16bd8,0086,CIPRO,PRETORIA,Gauteng,
bf67a260-94c4-4fb8-908d-980c9298c253,0182,CLARINA EXT 21,PRETORIA,Gauteng,CLARINA UIT 21
f8574823-d31d-4a17-9544-5d7bbb7a6402,0002,CLYDESDALE,PRETORIA,Gauteng,
4baee879-e684-4519-b7d1-73159579263d,0016,COR DELFOS,PRETORIA,Gauteng,
f3b9810f-535f-484d-aad1-96540cf7ea99,0074,CORPORATE POST OFFICE,PRETORIA,Gauteng,CORPORATE
719f6efe-c9bb-492a-a7c9-440da004dea1,0183,DANVILLE,PRETORIA,Gauteng,
6c07b71f-086d-43e9-a971-d5bb8da9c8b3,0183,DANVILLE EXT 10,PRETORIA,Gauteng,DANVILLE UIT 10
ac71facf-6fe3-4555-9a54-9b11f8807da6,0183,DANVILLE EXT 11,PRETORIA,Gauteng,DANVILLE UIT 11
bae2de72-22c6-4921-84d5-be2e64f79f9c,0183,DANVILLE EXT 13,PRETORIA,Gauteng,DANVILLE UIT 13
f8a683da-a6d5-4023-9101-6d68b5cd5001,0183,DANVILLE EXT 14,PRETORIA,Gauteng,DANVILLE UIT 14
