id,postal_code,area,city,province,aliases
df84a825-9fb0-4e8a-9ad2-4d913484b565,2194,ALDARA PARK,RANDBURG,Gauteng,ALDARAPARK
707542b1-7a4f-436c-b368-08fb92353f99,2162,BELLAIRS PARK EXT 5,RANDBURG,Gauteng,BELLAIRSPARK UIT 5
db35b7cc-9352-45f2-b595-2948b5ecce60,2194,BLAIRGOWRIE,RANDBURG,Gauteng,
0c78000c-8f31-4f94-8d0c-13ffaa402cae,2188,BLOUBOSRAND,RANDBURG,Gauteng,
3cf3c4f2-3351-49b7-8ca8-761236d92bcd,2188,BLOUBOSRAND EXT 1,RANDBURG,Gauteng,BLOUBOSRAND UIT 1
759c5805-fd9d-47dc-8c0c-a6e7f1d9fc1f,2188,BLOUBOSRAND EXT 11,RANDBURG,Gauteng,BLOUBOSRAND UIT 11
20ea2a25-0cc7-402f-b94d-a4b665be3fd2,2188,BLOUBOSRAND EXT 2,RANDBURG,Gauteng,BLOUBOSRAND UIT 2
b76584ad-2d92-4636-bbe2-2a7794a06b88,2188,BLOUBOSRAND EXT 3,RANDBURG,Gauteng,BLOUBOSRAND UIT 3
e9e5dcda-5a10-48ae-b486-ff1f3ef660ff,2188,BLOUBOSRAND EXT 9,RANDBURG,Gauteng,BLOUBOSRAND UIT 9
168434a2-dd37-47da-99ef-b741bcc8485e,2194,CRESTA EXT 2,RANDBURG,Gauteng,CRESTA UIT 2
b8b319a1-9c2d-4bd7-9e08-1576c8b39178,2194,CRESTA EXT 5,RANDBURG,Gauteng,CRESTA UIT 5
97194785-afea-4829-af5a-632e0aaccbb3,2194,FONTAINEBLEAU,RANDBURG,Gauteng,
d0eab989-987e-4b9a-b3fc-6e0f9919b6ef,2188,HONEYDEW MANOR,RANDBURG,Gauteng,
b6705da7-4154-49a1-92f7-57474468e94e,2188,HONEYDEW MANOR EXT 8,RANDBURG,Gauteng,HONEYDEW MANOR UIT 8
8e15ab62-3def-40e8-8057-40d2df1a4fef,2188,HONEYDEW RIDGE,RANDBURG,Gauteng,HONEYDEWRIF
0020b7ba-c053-47c6-afb3-8fb7afdfb001,2188,HONEYDEW RIDGE EXT 11,RANDBURG,Gauteng,HONEYDEWRIF UIT 11
9fc60ace-7352-4782-be6f-989e0a3bc6a1,2188,HONEYDEW RIDGE EXT 13,RANDBURG,Gauteng,HONEYDEWRIF UIT 13
57060388-be83-4d93-8a2b-83f001a781d0,2188,HONEYDEW RIDGE EXT 6,RANDBURG,Gauteng,HONEYDEWRIF UIT 6
6cd4e016-17a3-4f24-9252-b165895e68ed,2125,HONEYDEW RIDGE LIFESTYLE EST,RANDBURG,Gauteng,HONEYDEWRIF LEEFSTYL LGD
0ef57a46-c627-418d-afd6-52e813fcc574,2188,JUKSKEI PARK,RANDBURG,Gauteng,JUKSKEIPARK
3e76faaa-9ba6-4b78-a461-c932d602178e,2188,JUKSKEI PARK EXT 9,RANDBURG,Gauteng,JUKSKEIPARK UIT 9
450eb3be-82e8-4269-b262-762c8e26f18e,2194,KENSINGTON B,RANDBURG,Gauteng,KENSINGTON B
