id,postal_code,area,city,province,aliases
b3be414b-2fdd-4aac-8838-190b08fae79d,2196,HURLINGHAM MANOR,SAXONWOLD,Gauteng,
c2880cff-56a3-40af-b0d0-7d5eb4ca07ff,2196,MORNINGSIDE,SAXONWOLD,Gauteng,
49ab1c53-ebd2-4781-8a71-3dd42d462b1f,2191,MORNINGSIDE EXT 126,SAXONWOLD,Gauteng,MORNINGSIDE UIT 126
ca5673f1-4b6b-493f-9e7c-f75b3cc905ab,2196,MORNINGSIDE EXT 2,SAXONWOLD,Gauteng,MORNINGSIDE UIT 2
50df8ed6-95f6-42e9-a8f9-bd46feddf036,2196,MORNINGSIDE EXT 3,SAXONWOLD,Gauteng,MORNINGSIDE UIT 3
268bee2f-be5c-43e8-aa1e-db1ae524c208,2191,MORNINGSIDE EXT 40,SAXONWOLD,Gauteng,MORNINGSIDE UIT 40
87a2af83-b616-48f6-a7a9-29f812304098,2196,MORNINGSIDE EXT 8,SAXONWOLD,Gauteng,MORNINGSIDE UIT 8
0275d2c9-4f1c-4af6-ab4d-179df4adfbce,2196,MORNINGSIDE HILLS,SAXONWOLD,Gauteng,
f3b0e6d7-a58e-4b18-99fd-5caa44600c4e,2196,MORNINGSIDE MANOR,SAXONWOLD,Gauteng,
507e144c-f0ac-4c74-81a5-0d09ad5fda3e,2196,MORNINGSIDE MANOR EXT 2,SAXONWOLD,Gauteng,MORNINGSIDE MANOR UIT 2
c25e1d26-c1bc-49d3-aedb-53d8de83b315,2196,WOODLANDS,SAXONWOLD,Gauteng,
