id,postal_code,area,city,province,aliases
5bc3d085-daad-43ee-be80-89cff2d88446,1983,BOIKETLO,SEBOKENG,Gauteng,
34ac7187-0800-433a-82f3-45e7fb6f90a3,1983,BOITUMELO,SEBOKENG,Gauteng,
5548db68-c517-431b-b98e-39d70ef93b45,1983,EATONSIDE,SEBOKENG,Gauteng,
ee64eee8-0c4b-46de-bda6-3e265d4d1790,1983,EATONSIDE AREA 1,SEBOKENG,Gauteng,
64c633c9-5c8e-49da-ab8e-9c0e42d5fe89,1983,ESCOM HOUSE,SEBOKENG,Gauteng,
1fd41172-118a-4d70-9bce-c422ac089ab2,1983,KANANA,SEBOKENG,Gauteng,
c189cfa4-2d26-413d-9ba8-75a9cc1c7c8f,1983,KWAMASIZA,SEBOKENG,Gauteng,
392b3ed6-3005-4221-be66-fd227496c109,1984,MAFATSANA,SEBOKENG,Gauteng,
0a3c9817-b636-4a4e-8492-df5f10ee1956,1984,PALM SPRINGS,SEBOKENG,Gauteng,
5a303139-5091-4e23-932a-1f68f3ca9a54,1984,PALM SPRINGS SECTION 1,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE 1
7b267ea2-c47f-4f52-a87d-9e6ecd1c022d,1984,PALM SPRINGS SECTION A,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE A
9334d3bd-f00a-4f3d-b96b-7fd62bc35e3e,1984,PALM SPRINGS SECTION B,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE B
72e8907d-3719-42d2-9995-8300393e1695,1984,PALM SPRINGS SECTION C,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE C
6433e16a-e004-4dbd-a98c-7cc349da12dc,1984,PALM SPRINGS SECTION D,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE D
9b073abc-0d36-4cdb-b9f9-717d5b7d043f,1984,PALM SPRINGS SECTION E,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE E
5078ce10-63ec-47be-889a-4a5c406cf7e7,1984,PALM SPRINGS SECTION F,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE F
e52d6001-86e1-48b8-a704-b708974705f1,1984,PALM SPRINGS SECTION G,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE G
6a57f72e-e337-4538-ad32-7cfc9f28e896,1984,PALM SPRINGS SECTION H,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE H
3a39bec4-054a-4a37-bcdf-c4fcf6bafca7,1984,PALM SPRINGS SECTION I,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE I
cdebbe1b-e0c5-49f0-b475-1632c7609604,1984,PALM SPRINGS SECTION J,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE J
1db4108d-4d2a-4c90-ad2b-6bf5993db41c,1984,PALM SPRINGS SECTION K,SEBOKENG,Gauteng,PALM SPRINGS SEKSIE K
a9a1f77d-aeb4-4e96-8723-265bc3b17fc6,1983,PEACE HEIGHTS,SEBOKENG,Gauteng,
72219368-d68d-4b8c-b7a8-1f738499bd2e,1983,POLOKONG,SEBOKENG,Gauteng,
bfe03080-c173-445b-ac7f-0458c52759f0,1984,RESIDENSIA,SEBOKENG,Gauteng,
70c568f2-81c4-4f7a-bf4c-eef918812868,1984,SAVANNA CITY,SEBOKENG,Gauteng,SAVANNASTAD
b84c6ed8-cab0-4f4a-b3a7-9974a7884b3a,1984,SAVANNA CITY EXT 1,SEBOKENG,Gauteng,SAVANNASTAD UIT 1
0abc56b4-a6a7-457b-b428-cb2bdf154c01,1984,SAVANNA CITY EXT 2,SEBOKENG,Gauteng,SAVANNASTAD UIT 2
cb5ddcf6-60ad-4878-9d85-749fdfd0ee95,1983,SEBOKENG ESKOM HOUSE,SEBOKENG,Gauteng,
6d44364b-0571-4b26-bf59-75bbc2fc16bf,1984,SEBOKENG EXT,SEBOKENG,Gauteng,SEBOKENG UIT
3a431738-7ca9-40c0-b1dc-dbdc6a1700c4,1984,SEBOKENG EXT 1,SEBOKENG,Gauteng,SEBOKENG UIT 1
8855807b-b725-4358-989d-0db088872002,1984,SEBOKENG EXT 14,SEBOKENG,Gauteng,SEBOKENG UIT 14
1687b444-7007-4736-b759-2530bb4180bf,1984,SEBOKENG EXT 15,SEBOKENG,Gauteng,SEBOKENG UIT 15
7dff6e3e-df38-43d2-8d66-938574bab784,1983,SEBOKENG EXT 17,SEBOKENG,Gauteng,SEBOKENG UIT 17
a8e96d8f-7960-488c-b56b-802b8845ce8b,1984,SEBOKENG EXT 2,SEBOKENG,Gauteng,SEBOKENG UIT 2
fabed84c-b88f-46ab-84e1-cc24f61acdfa,1984,SEBOKENG EXT 20,SEBOKENG,Gauteng,SEBOKENG UIT 20
75655225-e9ec-4fb3-b553-0261c68fd295,1984,SEBOKENG EXT 3,SEBOKENG,Gauteng,SEBOKENG UIT 3
876cff62-4f97-41a1-ad13-3967c7ac2ed6,1984,SEBOKENG EXT 5,SEBOKENG,Gauteng,SEBOKENG UIT 5
dc48653c-9712-493b-af0f-2d69e749a3b4,1984,SEBOKENG EXT 7,SEBOKENG,Gauteng,SEBOKENG UIT 7
217802c4-7111-4457-88c2-28987d9d4c73,1983,SEBOKENG HOSTEL,SEBOKENG,Gauteng,
6e7915d8-e6aa-439c-8e18-4f07ac88db7e,1983,SEBOKENG NEW VILLAGE,SEBOKENG,Gauteng,
7086189e-0ebf-498e-9636-07ee14096fcd,1983,SEBOKENG ZONE 10,SEBOKENG,Gauteng,SEBOKENG SONE 10
dc9b775e-ab2a-482e-92e7-0cfe38a4884f,1983,SEBOKENG ZONE 10 EXT 1,SEBOKENG,Gauteng,SEBOKENG SONE 10 UIT 1
9e2a6ba0-c5d0-43b1-9dbe-aa1b343001d7,1983,SEBOKENG ZONE 10 EXT 2,SEBOKENG,Gauteng,SEBOKENG SONE 10 UIT 2
9b6503de-2c56-4196-a74f-3e407b1f236c,1983,SEBOKENG ZONE 10 EXT 3,SEBOKENG,Gauteng,SEBOKENG SONE 10 UIT 3
bf2d79ac-4707-461f-833c-39653e3108b7,1983,SEBOKENG ZONE 11,SEBOKENG,Gauteng,SEBOKENG SONE 11
5e614650-a546-4667-9cde-109e2d93df3a,1983,SEBOKENG ZONE 12,SEBOKENG,Gauteng,SEBOKENG SONE 12
1ed3497a-a8a0-4781-b80d-8ebfb1f7e6dc,1983,SEBOKENG ZONE 12 EXT 1,SEBOKENG,Gauteng,SEBOKENG SONE 12 UIT 1
d480b66d-ee7b-4af8-931f-c06334ae56d6,1983,SEBOKENG ZONE 13,SEBOKENG,Gauteng,SEBOKENG SONE 13
26de0a62-d59d-4dd6-86c2-02333acbd44e,1983,SEBOKENG ZONE 14,SEBOKENG,Gauteng,SEBOKENG SONE 14
72c736cd-a674-4044-9be1-13edb06f5fac,1983,SEBOKENG ZONE 16,SEBOKENG,Gauteng,SEBOKENG SONE 16
1af5e64d-02af-4d6a-8aec-914b3702d6f4,1983,SEBOKENG ZONE 17,SEBOKENG,Gauteng,SEBOKENG SONE 17
b9a80821-5c3d-4ac2-91fa-0fa8eac34693,1984,SEBOKENG ZONE 20,SEBOKENG,Gauteng,SEBOKENG SONE 20
a35f671f-d507-4684-85fc-1e0a3e354eb7,1983,SEBOKENG ZONE 20 EXT 2,SEBOKENG,Gauteng,SEBOKENG SONE 20 UIT 2
38a6e64d-b718-47b6-ad1a-f3e9c334cf25,1983,SEBOKENG ZONE 24,SEBOKENG,Gauteng,SEBOKENG SONE 24
2ab55dd6-90e8-4fa1-aacf-38a1866cb2e2,1984,SEBOKENG ZONE 6 EXT,SEBOKENG,Gauteng,SEBOKENG SONE 6 UIT
5194f5ae-2a97-4024-b535-d360846fb382,1984,SEBOKENG ZONE 6 EXT 1,SEBOKENG,Gauteng,SEBOKENG SONE 6 UIT 1
192a2c5f-3c75-456d-bdc0-a2df69205f93,1984,SEBOKENG ZONE 6 EXT 2,SEBOKENG,Gauteng,SEBOKENG SONE 6 UIT 2
fd7cdc19-601b-4ba2-8b26-50597e570855,1984,SEBOKENG ZONE 6 EXT 3,SEBOKENG,Gauteng,SEBOKENG SONE 6 UIT 3
f29fc7fe-021b-4b7e-b6be-33fba37be043,1984,SEBOKENG ZONE 6 EXT 5,SEBOKENG,Gauteng,SEBOKENG SONE 6 UIT 5
7c826d85-b4a7-4383-b886-3b68a7983d8b,1984,SEBOKENG ZONE 6 EXT 6,SEBOKENG,Gauteng,SEBOKENG SONE 6 UIT 6
c5b413a7-7124-4754-b9ad-ffbfda8a7207,1983,SEBOKENG ZONE 7,SEBOKENG,Gauteng,SEBOKENG SONE 7
e41ce06a-3b17-4d97-b0d9-f563e54a910f,1983,SEBOKENG ZONE 7 EXT 1,SEBOKENG,Gauteng,SEBOKENG SONE 7 UIT 1
57e91a07-bab4-4fbe-a5c8-dd5d2f709381,1983,SEBOKENG ZONE 7A,SEBOKENG,Gauteng,SEBOKENG SONE 7A
2efc35c8-946a-47f7-8157-45d2513a08fc,1983,SEBOKENG ZONE 7B,SEBOKENG,Gauteng,SEBOKENG SONE 7B
18ea5f16-5bd1-4215-8aee-c0938378e290,1984,SEBOKENG ZONE 8,SEBOKENG,Gauteng,SEBOKENG SONE 8
d525b8e8-f165-46ee-9e19-7836bf705ea8,1984,SMALL FARMS,SEBOKENG,Gauteng,
