id,postal_code,area,city,province,aliases
b70999b8-34d7-4e16-83ac-79d48b5a4195,0107,BATHO PLAZA,SOSHANGUVE,Gauteng,
fc297f3e-283e-450a-8a33-eb05fbe4d267,1949,IRAQ,SOSHANGUVE,Gauteng,
8b2acf54-5898-4629-83a1-0b2f1be79e48,0152,RIETGAT DEPOT,SOSHANGUVE,Gauteng,
07c58062-2c99-4448-8346-e594a1e73551,0152,SOSHANGUVE,SOSHANGUVE,Gauteng,
0b232a5e-015d-48fb-abfc-80b516c15a16,0152,SOSHANGUVE BLOCK A,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK A
59963706-7a73-4cc9-8fcf-4729543b72e8,0152,SOSHANGUVE BLOCK AA,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK AA
be0f87f5-38dd-493a-b57a-c287f459cee1,0152,SOSHANGUVE BLOCK B1,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK B1
5acbb14c-0abb-498f-8e90-694a5b0d468d,0152,SOSHANGUVE BLOCK B2,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK B2
9ce5902c-a934-4675-bf43-0dadefb19fe9,0152,SOSHANGUVE BLOCK BB,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK BB
ef4161f9-d346-48a8-abb6-eeda3bfa0c40,0152,SOSHANGUVE BLOCK CC,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK CC
21df4ae7-98ac-45cd-a263-3705dbe31acf,0152,SOSHANGUVE BLOCK DD,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK DD
9885c39c-917a-4b51-803b-91f680cbeb26,0152,SOSHANGUVE BLOCK F,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK F
be0d82a0-01cf-4f40-8455-4b73f12e4d14,0152,SOSHANGUVE BLOCK F EAST,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK F OOS
cf54432a-e8fa-4f1e-bb5a-7095b284ed0f,0152,SOSHANGUVE BLOCK F WEST,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK F WES
7604cbef-20c1-4f70-9726-1eb229e8617a,0152,SOSHANGUVE BLOCK FF,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK FF
c363b78b-86f7-485f-b6c9-dd945b56e194,0152,SOSHANGUVE BLOCK G,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK G
1affe598-f17e-4bea-9b2a-548b0b1adf85,0152,SOSHANGUVE BLOCK GG,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK GG
0942d599-d8e9-4655-a8e4-9bfd3b143663,0152,SOSHANGUVE BLOCK H,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK H
bc87b1b2-1441-451f-b190-54725572c8ba,0152,SOSHANGUVE BLOCK HH,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK HH
d9be23b1-17b4-442a-aabb-6d1d24949234,0152,SOSHANGUVE BLOCK IA,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK IA
ae3d529a-e55c-4dbb-ba7c-774092720e61,0152,SOSHANGUVE BLOCK JJ,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK JJ
4ebda724-0f44-4a79-8649-eac9ab9163ea,0152,SOSHANGUVE BLOCK K,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK K
a8c3fbf0-3dfb-4a14-a334-b14582286e61,0152,SOSHANGUVE BLOCK KK,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK KK
d7f354bf-ebc8-4537-9445-04afd8478a8f,0152,SOSHANGUVE BLOCK L,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK L
bc474106-948f-47b5-9823-7a0570219987,0152,SOSHANGUVE BLOCK L EXT 2,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK L UIT 2
9b23ebea-0587-4642-9675-72616cb6f9b1,0152,SOSHANGUVE BLOCK L EXT 3,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK L UIT 3
61c0504a-8f1a-4196-9a9c-39aaf69791c8,0152,SOSHANGUVE BLOCK L/KK,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK L/KK
87ca8e26-0c27-4bf3-bea8-e05c4216a770,0152,SOSHANGUVE BLOCK L/VV,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK L/VV
9ec4b30e-39db-414d-b896-32a024fb0e03,0152,SOSHANGUVE BLOCK LL,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK LL
9b76dec0-fe82-4058-bf2b-395469950330,0152,SOSHANGUVE BLOCK M,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK M
f5affd66-f72e-4404-9a11-9693798c7c3c,0152,SOSHANGUVE BLOCK MM,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK MM
77d7323f-b20e-4ddb-b276-0ca419ec7582,0152,SOSHANGUVE BLOCK NN,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK NN
561b5915-7f6d-4a06-a5d8-d7428ca3b908,0152,SOSHANGUVE BLOCK P,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK P
2de27ad9-b6a3-4ee0-8304-b7d64ed493b8,0152,SOSHANGUVE BLOCK PP,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK PP
aa0f7e7c-6c75-4c80-928d-53c363510de8,0152,SOSHANGUVE BLOCK PP EXT 1,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK PP UIT 1
c329e93b-f136-4dc3-91a7-de381633ab69,0152,SOSHANGUVE BLOCK PP2,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK PP2
3cc25951-fc52-4039-8b14-a7daef81fd7b,0152,SOSHANGUVE BLOCK PP3,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK PP3
cc6a08ac-2b7a-4358-8af8-a3144704f348,0152,SOSHANGUVE BLOCK R,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK R
d9e23653-2b25-495d-b215-9ea25eb9537f,0152,SOSHANGUVE BLOCK S,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK S
b230438b-0801-4f70-8131-40f5fad2e2c2,0152,SOSHANGUVE BLOCK SS,SOSHANGUVE,Gauteng,SOSHANGUVE BLOK SS
