id,postal_code,area,city,province,aliases
0dc5c3fe-5587-4398-ac7f-2fb8beb85b9d,1939,ARCON PARK,VEREENIGING,Gauteng,ARCONPARK
eb94bdb8-02aa-49a7-a3bc-507c15953d30,1939,ARCON PARK EXT 1,VEREENIGING,Gauteng,ARCONPARK UIT 1
d4359871-12be-4347-a000-5a0d2ebc4deb,1939,BEACONSFIELD,VEREENIGING,Gauteng,
08139d5e-3a96-40d0-8955-30d3ee019434,1939,BEDWORTH PARK,VEREENIGING,Gauteng,BEDWORTHPARK
4a3ba512-6290-4271-a47f-2df6c03e9a03,1932,DENEYSVILLE,VEREENIGING,Gauteng,
917d7512-1494-47d3-81d3-c3cdbae5bc42,1939,DRAMAVILLE,VEREENIGING,Gauteng,
aecfcbf0-b318-4910-8d28-bb7ffe77bdb3,1939,DUNCANVILLE,VEREENIGING,Gauteng,
f0a75be1-03fc-4238-bd29-b93870a27c8b,1939,DUNCANVILLE EXT 1,VEREENIGING,Gauteng,DUNCANVILLE UIT 1
2c7f368d-3a33-4e42-b0f7-d83f142d25d0,1939,DUNCANVILLE EXT 3,VEREENIGING,Gauteng,DUNCANVILLE UIT 3
c68520f6-4a5e-49d0-ba29-60ef242ac56a,1929,FALCONRIDGE,VEREENIGING,Gauteng,FALCON RIDGE
42d71f97-c0a3-4576-9f19-c98277ede79c,1441,HEIDELBERG,VEREENIGING,Gauteng,
3f193a3d-6d51-411a-8585-2ebf1046c65f,1939,HOMER,VEREENIGING,Gauteng,
8a0257fb-a0aa-4d5f-85f3-b7052190a2e9,1939,LEEUHOF,VEREENIGING,Gauteng,
0d821122-2e24-4f21-878f-63df2cbf26a0,1939,LEEUHOF EXT 1,VEREENIGING,Gauteng,LEEUHOF UIT 1
d3cc43c4-2650-47fd-bfb9-54ef08e4924f,1949,MIDVAAL,VEREENIGING,Gauteng,
140bde6f-79ec-4d46-baa4-f21b177e5bfb,1929,PANFONTEIN,VEREENIGING,Gauteng,
52040546-04d6-4d34-ae96-03f818d42dff,1929,PANORAMA,VEREENIGING,Gauteng,
1df40fb9-bcba-46fb-83bb-fba8d900cfe0,1939,PEACEHAVEN,VEREENIGING,Gauteng,
509eb7bb-9abf-4440-97cc-4556d65c90d7,1939,POWERVILLE,VEREENIGING,Gauteng,
a19dbb95-cd48-4036-807d-fc4bdb3798c7,1929,RISIVILLE,VEREENIGING,Gauteng,
a34c5b66-e80f-4971-bb55-e587232c26ac,1929,RISIVILLE EXT 1,VEREENIGING,Gauteng,RISIVILLE UIT 1
b2936e9a-491f-4fe2-a363-5ac508d93fec,1929,RISIVILLE EXT 2,VEREENIGING,Gauteng,RISIVILLE UIT 2
6df8b8d3-3789-4ae8-8aa6-2e9e20d23e16,1939,ROODTS GARDENS,VEREENIGING,Gauteng,ROODTSTUINE|ROODTS GARDENS AGR HLDGS|ROODTS TUINE LANDBOUHOEWES
32f84445-53a8-471c-9255-a91fe9bc13f8,1939,ROSHNEE,VEREENIGING,Gauteng,
bc411e62-ecfd-4270-8a71-0d927a81ba88,1961,ROTHDENE,VEREENIGING,Gauteng,
