id,postal_code,area,city,province,aliases
1a9f5135-2db4-4494-aeaa-acb406e9acfa,4051,ATHLONE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
7a2f31dc-3d75-427b-adb6-e383fab69f71,4051,AVOCA,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
84c46bf6-41bb-4393-bd56-82e7c82cbac4,4051,AVOCA HILLS,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
7c7a7fff-c684-4903-b77f-ccf23ecaf572,4051,BEACHWOOD,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
9ab7ff53-efa5-4098-8322-c912daa7124a,4051,BLUE RIDGE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
5844e3ad-e432-4fde-b828-5d9fa2b2a11b,4051,BRIARDENE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
cabd1ebc-c5ac-4af2-bbe6-3c4927a379dc,4051,BROADWAY,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
36f9ef40-ed37-46f8-b59f-79144244b594,4051,COROVOCA,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
84cf0944-90e4-4afd-95df-7c58af469c2a,4051,COROVOCA TOWNSHIP,DURBAN NORTH,KwaZulu-Natal,
c21f36a8-4ba3-42b2-8a7c-f0effc5f0a4b,4019,CRANBROOK PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
33f7af1e-b248-4fec-83c9-8b027127c70f,4019,DRAEGER PLACE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
9f07efdd-34f8-4220-bf0d-f803cd43410e,4051,DUFF'S ROAD,DURBAN NORTH,KwaZulu-Natal,DUFFWEG|DURBAN-NOORD|DUFFS ROAD
741a5ed2-5d27-4f2a-ae03-35c637496b41,4051,EFFINGHAM HEIGHTS,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
70f0d7ef-5664-4e12-ab06-ba69c61f4635,4051,ELLIS PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
e2b4b93e-1618-40b0-9978-4ed6508ddaea,4019,FROSTERLEY PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
1e0abbad-144f-48b9-a3c7-3e4045684fa6,4051,GLENHILLS,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
368ddea1-5f69-41ca-b849-d3854fb24cd2,4019,HOLWOOD PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
87e284cf-c9fd-479c-be2b-4f1d4278be94,4021,ILALA RIDGE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
12209394-b918-4369-be40-8461accb6ad2,4319,IZINGA RIDGE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
bbac3df6-c34c-4c2a-b56c-2b8e8ae0ff0b,4051,LA LUCIA,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
1ddad07c-eac4-48b3-8ea3-d8af47fc1a96,4051,MOUNT MORIAH,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
9a714c85-4188-409c-9af5-c943744cd50a,4019,NOLLSWORTH PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
107cc0ca-f83e-44e3-9277-df62de19df7f,4051,PARKHILL,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
aaa5c257-d051-44f3-8a9f-1b849c60bf83,4019,PENCARROW PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
31d190af-1e9b-4d34-bf3b-994d0b8dc424,4051,RIVERSIDE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
6696a189-c586-4c7a-8816-2e9181f207f7,4019,RYDAL VALE PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
96daa09c-2b05-43e6-a820-9ffdb6f9ffa5,4051,SHANVA HILLS,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
6cf4efe8-ebf8-4965-b71a-133a63cb7485,4019,SINEMBE PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
a6e4388a-daf0-4906-998d-0cb7b6d185d5,4051,SPRINGFIELD PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
3216c584-6eb1-47fc-a70e-38e1268c9af0,4051,SPRINGVALE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
c29f3237-78da-4162-bfa2-cd7430efd612,4019,SUNBURY PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
64c8b7e9-95b5-4656-812d-94370c923ed1,4051,SUNNINGDALE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
9a657efa-145b-4764-8bd4-7ea5500581fd,4019,SUNNINGDALE 2,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
9b942b02-7029-45b6-b333-ff45c64554af,4019,SUNNINGDALE CLUSTER 1,DURBAN NORTH,KwaZulu-Natal,
ba3b3d71-65b5-4802-8170-3d978074131e,4019,SUNNINGDALE FERNLEA,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
29fd5ce8-3afa-44b3-8261-167c216a46c6,4051,SUNNINGDALE VILLAGE,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
f1c768b8-03ab-4fba-9cbb-a20507a1ba92,4019,THE GARDENS,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
22c5b9dc-909c-4d28-bc1c-c1fb84506a57,4019,TORSVALE PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
21f32932-dc1c-499e-a048-8f603560d1c7,4051,UMGENI HEIGHTS,DURBAN NORTH,KwaZulu-Natal,UMGENIHOOGTE|DURBAN-NOORD
85119b41-3f0c-4fe0-9347-f14e9b23a0fe,4051,UMGENI PARK,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
fa97dd47-41ed-4684-995f-b51a36a3dfb4,4051,VIRGINIA,DURBAN NORTH,KwaZulu-Natal,DURBAN-NOORD
