id,postal_code,area,city,province,aliases
a279ab4d-6bc2-4b56-a7b6-d6c2928f17e4,4220,BUHLEBUYEZA,HIBBERDENE,KwaZulu-Natal,
14aa5bfd-4063-4390-b599-15561e76454d,4221,CLIFTON PARK,HIBBERDENE,KwaZulu-Natal,
d9cf2e4d-920c-411b-aa4f-8cfc4b6c70a4,4220,HIBBERDENE,HIBBERDENE,KwaZulu-Natal,
b966f663-794d-4d40-a17d-7e3d1dab6f4c,4220,KLOOF END,HIBBERDENE,KwaZulu-Natal,
0fce6d83-12ed-48d0-97c4-f46ccef46f25,4220,LINDELANI,HIBBERDENE,KwaZulu-Natal,
447cadba-755c-4ac4-b98e-ca49d2f25324,4235,PUMULA,HIBBERDENE,KwaZulu-Natal,
56a7e0d6-daf3-4883-bece-5b76e6f0fc4c,4220,PUMULA CAFE,HIBBERDENE,KwaZulu-Natal,
9645a7e2-5215-4690-b004-a38cdd535c10,4220,SPORTS CLUB,HIBBERDENE,KwaZulu-Natal,
bca8cba2-3127-4851-9534-b2851a181828,4200,THUTHUKANI,HIBBERDENE,KwaZulu-Natal,
2cadef19-68d4-4ca3-ae51-7d9d6e6f20c7,4220,TOP SHOP,HIBBERDENE,KwaZulu-Natal,
b5924a92-9df6-416d-b171-afdba4ab2676,4225,UMZUMBE,HIBBERDENE,KwaZulu-Natal,
1c8c9253-58ba-43aa-b35b-9daecc28e43f,4220,WILDER VALLEY,HIBBERDENE,KwaZulu-Natal,
d79cf6ed-6b68-4fbd-ab35-0c8524170a03,4220,WOOD STORE,HIBBERDENE,KwaZulu-Natal,
cf156e6d-fcc0-4eb0-9384-d0b759f0e504,4220,WOODGRANGE ON SEA,HIBBERDENE,KwaZulu-Natal,WOODGRANGE
