id,postal_code,area,city,province,aliases
1456e7b9-9162-4279-b5d7-c77d148e05c6,3370,ACACIAVILLE,LADYSMITH,KwaZulu-Natal,
eb8ccf9e-f427-4d62-87df-eeeb92569ed0,3371,BESTERS,LADYSMITH,KwaZulu-Natal,
55192d15-44d3-4b6c-9bb6-7a3d55e4cdc7,3370,BURFORD,LADYSMITH,KwaZulu-Natal,
bf86c7ca-ccef-4287-af17-cb0f0ec093ca,3370,DOORNHOEK,LADYSMITH,KwaZulu-Natal,
865c921e-5f5b-413f-8cd2-460692a980c4,3379,DRIEFONTEIN,LADYSMITH,KwaZulu-Natal,
b2ddfaa8-e3d9-41ad-a633-1eb603a29f1d,3370,EGERTON,LADYSMITH,KwaZulu-Natal,
a44b908e-bbbe-46d1-b2dd-8ac5612ff616,3383,EKUVUKENI,LADYSMITH,KwaZulu-Natal,
e496557e-43ab-4693-a9a3-8d83e23d16ed,2900,ELANDSLAAGTE,LADYSMITH,KwaZulu-Natal,
413b6327-de1b-4dd2-9433-569520030b45,3381,EZAKHENI,LADYSMITH,KwaZulu-Natal,EZAKHENI
080240e0-aa44-4076-9b8d-78a63467a934,3381,EZAKHENI EXT,LADYSMITH,KwaZulu-Natal,EZAKHENI UIT
974c1409-5c1b-41df-a373-cfd4157ebe7c,3381,EZAKHENI SECTION A,LADYSMITH,KwaZulu-Natal,EZAKHENI SEKSIE A
22702c08-ad8c-4666-9d41-a7cfc9002613,3381,EZAKHENI SECTION B,LADYSMITH,KwaZulu-Natal,EZAKHENI SEKSIE B
fc2f2a66-56ba-4a4d-90ec-98157cca9c44,3381,EZAKHENI SECTION C,LADYSMITH,KwaZulu-Natal,EZAKHENI SEKSIE C
45c0f883-6b40-47dc-90c0-44566209afe7,3381,EZAKHENI SECTION D,LADYSMITH,KwaZulu-Natal,EZAKHENI SEKSIE D
f6df3d65-cc30-4337-b622-0d3a97dc91d6,3381,EZAKHENI SECTION E,LADYSMITH,KwaZulu-Natal,EZAKHENI SEKSIE E
c50dadef-e782-47ad-9b1b-b2458111b0e7,3377,GELUKSBURG,LADYSMITH,KwaZulu-Natal,
2b2131f1-afac-4ccb-bda0-70392420ea2d,3370,HILLSIDE,LADYSMITH,KwaZulu-Natal,
3597070a-4d7d-4e5e-a29a-571bfad16f3f,3370,HOSPITAAL PARK,LADYSMITH,KwaZulu-Natal,HOSPITAALPARK
ea969854-0fc7-43bc-b559-1529be271e34,3370,HYDE PARK,LADYSMITH,KwaZulu-Natal,
a4900432-5db3-48e0-8066-4d7f97f7ba4b,3386,ILLING ROAD,LADYSMITH,KwaZulu-Natal,
00b86617-41f3-439c-a328-d5145a66592e,3387,KLIPBANK,LADYSMITH,KwaZulu-Natal,
8d79647a-c542-4795-b9c0-a071a45983a1,3375,LADY SOUTH,LADYSMITH,KwaZulu-Natal,LADY-SUID
157c197c-6913-4698-9181-d838080d7bfd,3370,LADYSMITH,LADYSMITH,KwaZulu-Natal,
56dd5fa9-1ef0-4336-844d-551e3fef20bd,3370,LEONARDSVILLE,LADYSMITH,KwaZulu-Natal,
80f900c1-b821-424d-8fec-31783192bee0,3360,LYNNWOOD PARK,LADYSMITH,KwaZulu-Natal,
758e5f1c-319f-4f60-868b-f5b50eae30a8,3370,MATIWANE,LADYSMITH,KwaZulu-Natal,
db52b328-ddc5-4714-8741-e9b9ca97c46f,3370,MOBA,LADYSMITH,KwaZulu-Natal,
69c19e7c-8a69-4c93-b90a-284d1cfe0278,3370,MODELKLOOF,LADYSMITH,KwaZulu-Natal,
642cf3ef-0489-40fc-a408-9b3bc91626de,3370,NAMBITI,LADYSMITH,KwaZulu-Natal,
ae9a2214-316a-4ef6-88a5-70734bf8eae6,3378,NGULA,LADYSMITH,KwaZulu-Natal,
4063b99c-bf58-491a-99f2-7fbc9d4473dc,3370,OBSERVATION HILL,LADYSMITH,KwaZulu-Natal,
eed34051-b822-43b9-8e75-cfb19bb25f87,3370,ROSE PARK,LADYSMITH,KwaZulu-Natal,
b0c32f54-1d6b-4ee7-a504-b0605aca79dc,3374,SONDELA,LADYSMITH,KwaZulu-Natal,
a08b5235-46c0-4c1a-ab2e-97add98adecb,3373,STEADVILLE,LADYSMITH,KwaZulu-Natal,
29f4d2bb-21ab-413d-aff5-5826d60367c9,3370,UMKHAMBE GARDENS,LADYSMITH,KwaZulu-Natal,UMKHAMBE TUINE
464d6545-1fcd-4812-84e5-8fb141343ec4,3370,VAN RIEBEECKPARK,LADYSMITH,KwaZulu-Natal,
f31e36cf-1316-426f-9eeb-89bc33a91dcf,3388,WATERSMEET,LADYSMITH,KwaZulu-Natal,
5005ac74-9019-4cca-bfa4-0b5c81c7314d,3384,WEMBEZI,LADYSMITH,KwaZulu-Natal,
f731654e-b542-467f-874a-49a5ad9674ad,3109,ZENZELE,LADYSMITH,KwaZulu-Natal,
252fdbf5-8dbb-467b-9d85-90a3d0eddc3c,3382,ZIBUSE,LADYSMITH,KwaZulu-Natal,
