id,postal_code,area,city,province,aliases
dc33090d-9e44-4017-b54a-48637dbe9aee,4037,ALLEN RISE,MARBLE RAY,KwaZulu-Natal,
3d178bbc-b690-402c-9bcf-56648914d194,4037,BAKERVILLE GARDENS,MARBLE RAY,KwaZulu-Natal,BAKERVILLE
a3f070a2-1e5b-4da2-bdcd-58fa21e843da,4037,BRIARDALE,MARBLE RAY,KwaZulu-Natal,
2ee41e73-22e6-485a-a15e-42717112063f,4037,CASTLE HILL,MARBLE RAY,KwaZulu-Natal,CASTLEHILL
7525abd4-e98d-4980-a351-3097aed80110,4037,CLEARHEIGHTS,MARBLE RAY,KwaZulu-Natal,
85338878-e94b-4f09-b7b8-e5facd5675ea,4037,EARLSFIELD,MARBLE RAY,KwaZulu-Natal,
48d4457f-4526-49a5-b5b6-11b73916cce7,4035,EZIHLABATINI,MARBLE RAY,KwaZulu-Natal,
cb3be959-e30c-49b9-8a1d-9b7a43d86667,4037,FOSA,MARBLE RAY,KwaZulu-Natal,
7267aaf0-0f8c-4faa-b18b-70a6af5c9ef8,4037,HILLGROVE,MARBLE RAY,KwaZulu-Natal,
b6e93038-55c7-4ad1-9613-2536a4379245,4035,KWASHELENI,MARBLE RAY,KwaZulu-Natal,
9206751d-0874-4abd-80fc-584c67c5f2ab,4035,MANCINZA,MARBLE RAY,KwaZulu-Natal,
76d272ef-a1f1-457f-a60d-898d56654c87,4037,NEW DAWN PARK,MARBLE RAY,KwaZulu-Natal,
253e9f9c-227e-4a89-b804-7fa02dcfca2a,4037,NEWLANDS,MARBLE RAY,KwaZulu-Natal,NUWELAND
4b8b40ce-e425-41b8-a090-60133d19424a,4037,NEWLANDS EAST,MARBLE RAY,KwaZulu-Natal,NEWLANDS-OOS
9fe81c43-091a-45dc-aed9-09b9f8920982,4037,NEWLANDS WEST,MARBLE RAY,KwaZulu-Natal,NEWLANDS-WES
2b7fb43e-cd27-435b-a262-fb47a84d4806,4037,PARLOCK,MARBLE RAY,KwaZulu-Natal,
d11c8aeb-6ed8-4452-bfeb-38026a64bc63,4035,PHOLILE,MARBLE RAY,KwaZulu-Natal,
b8305206-d94d-41ab-b85a-2519da92948d,4037,RECREATION,MARBLE RAY,KwaZulu-Natal,
ba79e3c1-73db-4fa3-8a6d-9b656e9dd187,4037,RIVERDENE,MARBLE RAY,KwaZulu-Natal,
6b59b6f6-9e92-4c1e-a871-e83ce6dde867,4035,SAKHISIWE,MARBLE RAY,KwaZulu-Natal,
6f6e37f6-a2e8-48bd-ba86-64b766b3b0a1,4037,SANDALWOOD,MARBLE RAY,KwaZulu-Natal,
26107b09-d250-41e5-a116-efeaed5ef253,4039,SAWFISH CLINIC,MARBLE RAY,KwaZulu-Natal,
d12959d6-7e52-4b79-931a-c57af35e2aa3,4037,VALENCIA GARDENS,MARBLE RAY,KwaZulu-Natal,
ab5023d2-0b8f-4a04-9c68-7c72a47c1190,4037,WESTRICH,MARBLE RAY,KwaZulu-Natal,
