id,postal_code,area,city,province,aliases
fbf8440c-a03b-45a1-9b16-9a06f310a957,2940,AMAJUBA,NEWCASTLE,KwaZulu-Natal,
97f4e7a2-3016-47c4-b574-fe0d9273eff7,2940,AMAJUBA PARK,NEWCASTLE,KwaZulu-Natal,AMAJUBAPARK
8fc419f3-c68a-4435-99a3-b6f3854502a7,2954,ARBOR PARK,NEWCASTLE,KwaZulu-Natal,ARBORPARK
a83f2cef-d6c2-4bec-b99e-7193cde7eeac,2940,AVIARY HILL,NEWCASTLE,KwaZulu-Natal,
a2be7e1e-afe6-4bbf-a335-b637ad7bd0f8,2942,BALLENGEICH,NEWCASTLE,KwaZulu-Natal,
fa0f6ccf-9952-487e-9d56-678a9431e926,2942,BALLI HI HOTEL,NEWCASTLE,KwaZulu-Natal,
ab9963c8-08c4-4538-944f-890019c1f87e,2945,BARRY HERTZOG PARK,NEWCASTLE,KwaZulu-Natal,BARRY HERTZOGPARK|BARRY HERTZOG
4fa26d7f-1866-4b84-90f4-d217991e51d2,2940,CRAWFORD STREET,NEWCASTLE,KwaZulu-Natal,
f0210272-3a55-454f-9186-1e2ff486bf0c,3082,DURNACOL,NEWCASTLE,KwaZulu-Natal,
df4a323c-f1ed-4228-9c83-d8bf3f73e3ec,2959,ENJABULWENI,NEWCASTLE,KwaZulu-Natal,
a1cbe6ee-3a14-4204-9ea3-18b3d37097b0,2954,FAIRLEIGH,NEWCASTLE,KwaZulu-Natal,
173ed803-b278-4910-927c-7697cd90f352,2941,FERNWOOD,NEWCASTLE,KwaZulu-Natal,
7e9a1cf7-f6bc-4faf-91fc-a88ca9cf3925,2953,FERRAX,NEWCASTLE,KwaZulu-Natal,
30ec8f62-00cd-4d48-a854-fe8ec9b2c95d,2940,HILL STREET,NEWCASTLE,KwaZulu-Natal,
4159aa60-78d8-4c04-9478-a04a8774fcd8,2956,HUTTEN HEIGHTS,NEWCASTLE,KwaZulu-Natal,HUTTENHOOGTE
073e6e21-e735-4605-9e86-90e805d7ef1d,2940,INGAGANE,NEWCASTLE,KwaZulu-Natal,
373407a7-a2bb-4634-b34f-16369b5c9f44,2944,INGOGO,NEWCASTLE,KwaZulu-Natal,
42554a37-5cc8-47f3-b425-8768ec4ade73,2950,JACKALPAN,NEWCASTLE,KwaZulu-Natal,
3170eb6a-8c2b-4de6-a2f9-8b02ddecbbe7,2940,KENNETH STREET,NEWCASTLE,KwaZulu-Natal,
71a92d34-2a98-410a-ad03-79507ebc1df7,2940,KILBARCHAN,NEWCASTLE,KwaZulu-Natal,
b825fbf1-48fb-4c2a-a435-bfb90307e446,2958,LENNOXTON,NEWCASTLE,KwaZulu-Natal,
bba53fd7-8b63-4f8c-a4f5-9159c1480103,3019,MANZANA,NEWCASTLE,KwaZulu-Natal,
e64b0ed1-d22a-4346-b46f-5f9cf59f75f9,2970,MEMEL,NEWCASTLE,KwaZulu-Natal,
ce6a8bcc-fa4e-4763-b141-90f476155dd7,2940,MURCHISON STREET,NEWCASTLE,KwaZulu-Natal,
f7a44989-86ed-4367-aa9b-8217738df086,2946,NCANDU,NEWCASTLE,KwaZulu-Natal,
5761d009-7771-40f1-a71c-0130222f6c6c,2940,NCANDU PARK,NEWCASTLE,KwaZulu-Natal,
b8448789-8e17-4b6e-9751-311e04ed899b,2940,NEWCASTLE,NEWCASTLE,KwaZulu-Natal,
e9188015-396a-4089-bf7f-09b8475a16f4,2940,NEWCASTLE INDUSTRIAL AREA,NEWCASTLE,KwaZulu-Natal,NEWCASTLE INDUSTRIELE GEBIED
24e2cecd-da7f-466b-935b-7d54be4b86a1,2940,NORMANDIEN,NEWCASTLE,KwaZulu-Natal,
032a780e-ade1-4121-9e71-86f3da68e39e,2952,OSIZWENI,NEWCASTLE,KwaZulu-Natal,
45f1cc3d-b87f-4c08-89e5-c995365d2f45,2952,OSIZWENI SECTION D,NEWCASTLE,KwaZulu-Natal,OSIZWENI SEKSIE D
e2bf7153-8f77-47fe-94cd-83547195c546,2952,OSIZWENI SECTION E,NEWCASTLE,KwaZulu-Natal,OSIZWENI SEKSIE E
85307007-5038-40f3-be33-51c573b4706d,2952,OSIZWENI WARD 5,NEWCASTLE,KwaZulu-Natal,OSIZWENI WYK 5
693ce66f-fbb5-40a4-b2b8-e81ae2f4ac7a,2952,OSIZWENI WARD 6,NEWCASTLE,KwaZulu-Natal,OSIZWENI WYK 6
d3c5dfca-821d-4634-bce5-334770603bd2,2952,OSIZWENI WARD 8,NEWCASTLE,KwaZulu-Natal,OSIZWENI WYK 8
1b5eb19b-5485-4912-bcaa-6a7e8b09a49c,2952,OSIZWENI WARD 9,NEWCASTLE,KwaZulu-Natal,OSIZWENI WYK 9
4f369a95-96a4-4729-8211-75393f18edfc,2940,PARADISE,NEWCASTLE,KwaZulu-Natal,
2a06d2e8-ec6f-4fe8-af23-11b25be8cf42,2940,PIONEER PARK,NEWCASTLE,KwaZulu-Natal,PIONIERPARK
35b29ef1-8ca0-4b75-903f-c88510e91483,2940,SCHUINSHOOGTE,NEWCASTLE,KwaZulu-Natal,
ef9f466d-92b1-4536-a3c3-798d112abe3a,2940,SIGNAL HILL,NEWCASTLE,KwaZulu-Natal,SEINHEUWEL
c6259b17-c0ff-477c-b4b6-434c1e6265d7,2960,SIZAKANCANE,NEWCASTLE,KwaZulu-Natal,
df251968-a28e-4762-8b2f-c18ad354d877,2940,SMILES ARCADE FACTORY PLAZA,NEWCASTLE,KwaZulu-Natal,
cb8a3d9f-ebf8-4f89-a1bc-1f6e8cb407f9,2940,SUNNYRIDGE,NEWCASTLE,KwaZulu-Natal,
89b94636-9719-456c-99aa-5977347b1d4e,2940,SURAYAVILLE,NEWCASTLE,KwaZulu-Natal,
aae876bf-e6c2-4b0c-8f32-9a4eadb05872,2940,SUTHERLAND STREET,NEWCASTLE,KwaZulu-Natal,
7f45ebc8-a0ef-4e0f-8569-ae51c9555dcc,2980,UTRECHT,NEWCASTLE,KwaZulu-Natal,UTRECHT
7a37611c-049f-44c5-990e-660c038bf983,2940,YORK STREET,NEWCASTLE,KwaZulu-Natal,
