id,postal_code,area,city,province,aliases
7d833855-b205-473a-af23-af60a62336a1,3610,ACORN,PINETOWN,KwaZulu-Natal,
d1ad0419-7cac-4aef-baa9-060c00f7f4ec,3610,ALBANY,PINETOWN,KwaZulu-Natal,
2dc46fae-2baa-4a1e-84ff-5b7fb36c7dbf,3610,ALEXANDER PARK,PINETOWN,KwaZulu-Natal,ALEXANDERPARK
88813401-1ff2-4442-8526-6c8e727545c3,3610,ALVERSTONE,PINETOWN,KwaZulu-Natal,
f5765ca4-2292-40e9-adff-0f3cbba02dd5,3610,ASHLEY,PINETOWN,KwaZulu-Natal,
2d14a6e5-c194-40ab-83e1-ebd2cb7b0fcc,3605,ASHWOOD,PINETOWN,KwaZulu-Natal,
73d4ccb5-f977-4bf9-b2f6-09723d1725b5,3626,AUGUSTA COUNTRY ESTATE,PINETOWN,KwaZulu-Natal,AUGUSTA COUNTRY LANDGOED
4fbb176b-862b-465c-a992-d7a9226cd550,3610,BERKSHIRE DOWNS,PINETOWN,KwaZulu-Natal,
1084b8f9-8f79-4404-82cd-093744b6cd57,3610,CAVERSHAM GLEN,PINETOWN,KwaZulu-Natal,
b037c9e8-4a95-49df-b9ff-73f6d099f2b0,3624,CIRCLE GARDENS,PINETOWN,KwaZulu-Natal,
f2ff0e77-36ef-42b2-8af0-a3604223e9d8,3610,CLERMONT,PINETOWN,KwaZulu-Natal,
d53cc9f5-5890-470c-931e-64ec117780a7,3610,CLERNAVILLE,PINETOWN,KwaZulu-Natal,
4bf0fe67-96e1-4d68-8644-f1f5a2574d11,3607,COFFEE FARM,PINETOWN,KwaZulu-Natal,
e915a898-a347-43cc-8d35-e1ea35bc626b,3610,COWIE'S HILL,PINETOWN,KwaZulu-Natal,
1919a0bc-624b-4698-9ffe-f969cc6c01e5,3610,COWIE'S HILL PARK,PINETOWN,KwaZulu-Natal,
642fa4a4-d338-4a29-852e-c82c284ce7b1,3610,DASSENHOEK,PINETOWN,KwaZulu-Natal,
61d608c8-bad0-49f5-b8a3-5b43c41d57de,3626,DRUMMOND,PINETOWN,KwaZulu-Natal,
cc4ef660-fcee-4b69-a93a-d3af740223ed,3610,EMMAUS,PINETOWN,KwaZulu-Natal,EMAUS
d4f8212b-babf-445d-a6f4-e2b81b51b03a,3609,EMSHININI,PINETOWN,KwaZulu-Natal,
b0ab0ee2-fda1-4a07-8e34-19fd7473f881,3610,ENSIZWAKAZI,PINETOWN,KwaZulu-Natal,
885d8f35-e8f4-4afb-a393-1b8e570067da,3610,EVERTON,PINETOWN,KwaZulu-Natal,
3fd2aeca-6293-4f3b-ba6a-ab9b9a94a22b,3610,FALCON PARK,PINETOWN,KwaZulu-Natal,
2512e777-9b02-49bd-853e-738671bbc9e7,3610,FARNINGHAM RIDGE,PINETOWN,KwaZulu-Natal,
