id,postal_code,area,city,province,aliases
fe2d2ac5-03c5-40bd-8b12-9f085a0b4a02,3993,BHAMBANANA,PONGOLA,KwaZulu-Natal,
ec5b01b4-4209-4a64-b4a5-dd340480964e,3171,BIZABONKE,PONGOLA,KwaZulu-Natal,
37d0f220-8621-4d9c-967d-ba4a6877d74c,3990,GOLELA,PONGOLA,KwaZulu-Natal,
4c4292bb-8349-444e-bf09-8f54f7550427,3170,KWA MPOPOLI,PONGOLA,KwaZulu-Natal,
9c071499-3d63-4cc7-9d0d-8cd3b0be2842,3170,KWA SHOBA,PONGOLA,KwaZulu-Natal,
c2ba6811-a957-4a92-92a2-77f5e266fa69,3886,KWADLANGEZWA,PONGOLA,KwaZulu-Natal,
30f583cf-7a85-4a26-aca4-e25568af21e5,3992,KWASKHEMELELE,PONGOLA,KwaZulu-Natal,
d41a2276-4107-48ee-968d-6e0e087e58f9,3160,MAGUDU,PONGOLA,KwaZulu-Natal,
304a2a8b-0c66-4c52-b8e5-3d0cb233a009,3170,NCOTSHANE,PONGOLA,KwaZulu-Natal,
67e77890-daea-470b-a79c-08124622cde5,3170,NSILIGWANE,PONGOLA,KwaZulu-Natal,
a2f388fe-dbaa-4a9b-8caf-70efd3e8582b,3170,PONGOLA,PONGOLA,KwaZulu-Natal,
d5592152-ff84-42ac-a442-6d29d28e86be,3170,SIMDLAGENTSHA,PONGOLA,KwaZulu-Natal,
