id,postal_code,area,city,province,aliases
6ca66725-fd04-437f-bad0-ebc103a2420a,4251,AIKEN STREET,PORT SHEPSTONE,KwaZulu-Natal,AIKENSTRAAT
16f82528-379a-4d1e-8f0e-38ab52b223ae,4240,ALBERTSVILLE,PORT SHEPSTONE,KwaZulu-Natal,
cee2e41a-dc5b-465b-9616-2d782852eedc,4240,BEACH FRONT,PORT SHEPSTONE,KwaZulu-Natal,
091c98ba-f603-4cf7-b4b8-f03007b93734,4240,BOBOYI,PORT SHEPSTONE,KwaZulu-Natal,
9cf01b8b-9532-4845-b908-2fd4139d504b,4240,CRESCENT STREET,PORT SHEPSTONE,KwaZulu-Natal,
15dd4212-270e-4b3a-9444-35aa84e3d2b4,4240,DAFELENI,PORT SHEPSTONE,KwaZulu-Natal,
5dede5b9-d908-45c1-9f81-1102d5716861,4240,DAIRY ROAD,PORT SHEPSTONE,KwaZulu-Natal,
ac002452-e1a6-474a-83f9-f51a27bf6d36,4240,DEEPVALE ROAD,PORT SHEPSTONE,KwaZulu-Natal,
3877802c-2cb6-460e-b991-697778d3c7a6,4247,DWESHULA,PORT SHEPSTONE,KwaZulu-Natal,
bcf25b47-58f8-4fc8-a4bd-942ed93716eb,4240,ESCOMBE STREET,PORT SHEPSTONE,KwaZulu-Natal,
b16b8763-a0da-42e6-9b14-f1ff037dedfd,4240,FLOWER FOUNDATION,PORT SHEPSTONE,KwaZulu-Natal,
afa0032c-12cb-4273-b966-454133fce9a8,4249,GAMALAKHE,PORT SHEPSTONE,KwaZulu-Natal,
10a37399-4bea-48be-a047-ce91b0e4d3c3,4779,HERBERT'S PRIDE,PORT SHEPSTONE,KwaZulu-Natal,
522f39d2-c0b6-4475-b5a1-d67ff2d35209,4284,HIBISCUS,PORT SHEPSTONE,KwaZulu-Natal,
c69242ed-3304-4606-b4b8-842e9dc2d464,4240,HIBISCUS ROAD,PORT SHEPSTONE,KwaZulu-Natal,
ccbcc762-d2db-426f-9e1f-bb7ed09eaa26,4260,IZINGOLWENI,PORT SHEPSTONE,KwaZulu-Natal,
12f003a2-3552-465a-beac-d5be85d32c3e,4242,IZOTSHA,PORT SHEPSTONE,KwaZulu-Natal,
c5338aa2-7097-4e3f-a588-2618111b2d53,4240,KING HAAKON DRIVE,PORT SHEPSTONE,KwaZulu-Natal,
3cd8f6ab-b3de-491a-9f47-e39d42944149,4240,KING HAAKON ROAD,PORT SHEPSTONE,KwaZulu-Natal,
5f63e2c9-2cf8-45f4-8aa9-23b80b4da7a7,4782,KINIRA DRIFT,PORT SHEPSTONE,KwaZulu-Natal,KINIRADRIF
eef20f90-b936-4a1f-ad25-52164657ece0,4783,KINIRA POORT,PORT SHEPSTONE,KwaZulu-Natal,KINIRAPOORT
298ae209-5fa2-4466-a861-469a9b678ce3,4240,KWA TATA,PORT SHEPSTONE,KwaZulu-Natal,
ea457b28-d0d7-43f7-80b0-a2f2eec0236e,4240,KWASITHOLE,PORT SHEPSTONE,KwaZulu-Natal,
34dfce37-84cf-435e-8f86-8cdbaa134fa9,4785,LAHLANGUBO,PORT SHEPSTONE,KwaZulu-Natal,
4eac560b-8a49-4601-a05f-d2f62d736ccd,4787,LUZI,PORT SHEPSTONE,KwaZulu-Natal,
8415b5aa-a525-4dbb-ae39-39c2963a563e,4240,MADLALA,PORT SHEPSTONE,KwaZulu-Natal,
4fd5de55-30a3-49ce-8d2b-d70cc71ca7d8,4240,MAGOG,PORT SHEPSTONE,KwaZulu-Natal,
8f7ec983-8a47-4f8c-bf61-d7f7429bc188,4256,MANTHINTA,PORT SHEPSTONE,KwaZulu-Natal,
a7827d92-2a0b-40b6-afeb-11234ba33fe7,4252,MARBURG,PORT SHEPSTONE,KwaZulu-Natal,
11c58fbf-6e7c-4ef4-9511-3c227d07c382,4240,MARBURG EXT 13,PORT SHEPSTONE,KwaZulu-Natal,MARBURG UIT 13
76348cd4-f91a-4e63-bcaf-9b610dc4409b,4240,MARBURG EXT 14,PORT SHEPSTONE,KwaZulu-Natal,MARBURG UIT 14
6ebbc3af-4946-4a49-acdc-41fc05d0ddaa,4240,MARBURG EXT 18,PORT SHEPSTONE,KwaZulu-Natal,MARBURG UIT 18
