id,postal_code,area,city,province,aliases
99ba478e-a3e0-4e8a-b12a-d949b4f55372,3900,ALTON,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
8e78da90-1fed-406c-b0b6-4365b2a49d47,3900,ALTON INDUSTRIAL,RICHARDS BAY,KwaZulu-Natal,ALTON INDUSTRIEEL|RICHARDSBAAI
13f5875a-f682-4620-9bbd-8829ec09d401,3900,AQUADENE,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI|AQUADEN CENTRE|AQUADEN SENTRUM
2bcf5b0f-0803-4fd1-b2f6-3f5d16449894,3904,ARBEX,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
62932dee-3208-41e4-bf95-da7e37c837b0,3900,ARBORETUM,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
0845353a-ee08-408b-9a1d-e955719b81b5,3900,ARBORETUM EXT,RICHARDS BAY,KwaZulu-Natal,ARBORETUM UIT|RICHARDSBAAI
0571ae9b-8e54-44e9-a9aa-697e829d9451,3900,ARBORETUM EXT 11,RICHARDS BAY,KwaZulu-Natal,ARBORETUM UIT 11|RICHARDSBAAI
ac9340aa-a251-49f8-9c50-579cd2498133,3900,ARBORETUM EXT 7,RICHARDS BAY,KwaZulu-Natal,ARBORETUM UIT 7|RICHARDSBAAI
8662adb4-fc73-4ace-bec9-a4174a19fd98,3900,BIRDSWOOD,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
f5b2099d-75d5-4368-8584-ff04884d12c6,3900,BIRDSWOOD EXT 26,RICHARDS BAY,KwaZulu-Natal,BIRDSWOOD UIT 26|RICHARDSBAAI
44fbbb0e-3cef-4774-accf-30e0e916b869,3903,BOTTLEBRUSH,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
1e3b3d9e-0a39-4dd5-99d5-0a077137271f,3900,BRACKENHAM,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
4581183b-c94f-4ab5-bb2b-9572607bf402,3900,BRACKENHAM EXT 27,RICHARDS BAY,KwaZulu-Natal,BRACKENHAM UIT 27
3788d79d-9938-47b6-b12e-e1711b290073,3900,BRACKENHAM EXT 29,RICHARDS BAY,KwaZulu-Natal,BRACKENHAM UIT 29|RICHARDSBAAI
63df93e4-a1ff-408b-92d6-f2614aabc18b,3900,BRACKENHAM EXT 33,RICHARDS BAY,KwaZulu-Natal,BRACKENHAM UIT 33|RICHARDSBAAI
9d9c905e-7926-4d87-8b3a-5ed27cf2cd35,3880,EMPANGENI,RICHARDS BAY,KwaZulu-Natal,
d3d2f53b-6a2d-4321-9212-ac8b74e81470,3905,ENYOKENI,RICHARDS BAY,KwaZulu-Natal,
ce63dcc0-2fd2-41aa-8dd3-083ddf16aa49,3887,ESIKHALENI,RICHARDS BAY,KwaZulu-Natal,
5f9f0fd7-f7f6-49fb-876c-fafc788a065b,3887,ESIKHAWINI,RICHARDS BAY,KwaZulu-Natal,ESIKHAWINI
fd6bacc8-2a74-4501-8ecf-9a778f6ddbfb,3887,ESIKHAWINI J1,RICHARDS BAY,KwaZulu-Natal,ESIKHAWINI J1
6a647bf5-ae75-4a79-8571-67e089fa8d59,3887,ESIKHAWINI SECTION H,RICHARDS BAY,KwaZulu-Natal,ESIKHAWINI SEKSIE H
d52c7267-0da6-4bd9-9c66-f95e7ef1d0c0,3887,ESIKHAWINI SECTION J,RICHARDS BAY,KwaZulu-Natal,ESIKHAWINI SEKSIE J
d93c7fb9-2a98-49b3-ada9-3f7cdd7fbe4f,3900,ESSENWOOD,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
ea6e9070-6e4e-4cf7-ab2a-2e7aeb0435c1,3973,KWA NDABA,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
3b7399d1-dda7-4fb6-b57c-3a3333877e08,3891,KWA-BIYELA,RICHARDS BAY,KwaZulu-Natal,
a45c55dc-a152-4424-aa17-01e58451cd29,3892,KWA-MALANDELA,RICHARDS BAY,KwaZulu-Natal,
3c409dd4-503e-461c-ac26-17dc8d76cd26,3901,MEER EN SEE,RICHARDS BAY,KwaZulu-Natal,
f48bcd2f-0918-42ec-bdc8-c20fc8e3647a,3935,MTUBATUBA,RICHARDS BAY,KwaZulu-Natal,
2897cc3d-61d7-45df-b882-298cebe559ed,3900,RICHARDS BAY,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
7f033e80-b910-4f64-a9f2-3ffb3d16f51e,3900,SALIGNA,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
0c8613a3-3d05-43fb-9afc-4ed82052d29d,3900,VELD AND VLEI,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
34a0b718-a66c-4904-b212-00ddd9784f0d,3900,VELD AND VLEI EXT 14,RICHARDS BAY,KwaZulu-Natal,VELD EN VLEI UIT 14|RICHARDSBAAI
d187e6c4-a484-43ef-b64b-5928bff3c9b7,3902,WATERBERRY WOOD,RICHARDS BAY,KwaZulu-Natal,RICHARDSBAAI
8803d354-b7a4-4063-8daf-1afb9dec21cf,3900,WILDENWEIDE,RICHARDS BAY,KwaZulu-Natal,WILDENWEIDE|RICHARDSBAAI
45715537-78ee-4451-b6fd-4cef8bbffe48,3900,WILDENWEIDE EXT 17,RICHARDS BAY,KwaZulu-Natal,WILDENWEIDE UIT 17|RICHARDSBAAI
