id,postal_code,area,city,province,aliases
e6b02e73-c94d-4434-83e8-bac0a7a75bd9,4319,BURNSIDE,UMHLANGA ROCKS,KwaZulu-Natal,
0fff4e71-9a70-46b7-b422-034d8b727b32,4319,GATEWAY,UMHLANGA ROCKS,KwaZulu-Natal,
89931fb7-615f-4b34-b11a-264ebd35d899,4319,GATEWAY,UMHLANGA ROCKS,KwaZulu-Natal,
d60f116b-e679-4004-9484-39ccc1c8ffc1,4319,HERRWOOD PARK,UMHLANGA ROCKS,KwaZulu-Natal,
37e34216-742b-4be6-bad8-78f31f3d8a6d,4319,PRESTONDALE,UMHLANGA ROCKS,KwaZulu-Natal,
2c31fc12-7df0-46a0-848f-073d1535b61e,4319,ROLLING HILLS,UMHLANGA ROCKS,KwaZulu-Natal,
403de8e8-4884-414f-8206-4ca6914e0552,4319,SOMERSET PARK,UMHLANGA ROCKS,KwaZulu-Natal,
61d0f132-7525-4966-8244-54d56859ca16,4319,SOMERSET VALLEY ESTATE,UMHLANGA ROCKS,KwaZulu-Natal,SOMERSET VALLEY LANDGOED
430cbaa0-5140-4fd7-a584-ffb6c0422eac,4021,THE SQUARE,UMHLANGA ROCKS,KwaZulu-Natal,
720447f8-6f18-430e-ac83-c39bb0e93da6,4319,UMDLOTI BEACH,UMHLANGA ROCKS,KwaZulu-Natal,
75c6d942-9b8e-4220-b978-2bc2d9646848,4319,UMHLANGA MANORS,UMHLANGA ROCKS,KwaZulu-Natal,
30400723-b3a4-4f9f-97eb-2c522d1d002d,4319,UMHLANGA RIDGE,UMHLANGA ROCKS,KwaZulu-Natal,UMHLANGARIF
391289d7-0887-4f77-a923-72dcb11e85db,4319,WESTRIDGE,UMHLANGA ROCKS,KwaZulu-Natal,
