id,postal_code,area,city,province,aliases
9a0c9b33-175f-42eb-ab35-c3aa43ee3402,3629,ATHOLL HEIGHTS,WESTVILLE,KwaZulu-Natal,ATHOLL HOOGTE
8b4c6672-e30c-45d4-b955-9f405fd3e624,3629,BEREA WEST,WESTVILLE,KwaZulu-Natal,BEREA-WES
2c2ee00c-47d4-4901-9ebb-cab19ef2a45b,3629,BEVERLEY HILLS,WESTVILLE,KwaZulu-Natal,
80acdfb9-e194-45db-a642-55a1d5828695,3629,BLUE HEIGHTS,WESTVILLE,KwaZulu-Natal,
c12d3ac8-1689-404b-bcd0-472fb908d628,3629,CHILTERN HILLS,WESTVILLE,KwaZulu-Natal,
02ae1e0c-1793-4731-aa7d-359c1093be0f,3629,DAWN CREST,WESTVILLE,KwaZulu-Natal,DAWNCREST
f9471276-285a-461c-9c31-d8711c384192,3629,DAWNCLIFFE,WESTVILLE,KwaZulu-Natal,
5300ac43-e7f4-4393-936a-fb1a345fa9c5,3631,WANDSBECK,WESTVILLE,KwaZulu-Natal,
6b99ee90-a119-45ac-ac85-9e3fab6ae5b3,3634,WESTVILLE EXT 22,WESTVILLE,KwaZulu-Natal,WESTVILLE UIT 22
870ec267-390b-4160-adea-f7f59a459845,3629,WESTVILLE NORTH,WESTVILLE,KwaZulu-Natal,WESTVILLE-NOORD
e3afbb98-96d7-436e-8c76-31c0f2b95db0,3634,WESTVILLE PRISON,WESTVILLE,KwaZulu-Natal,
340155c2-c38d-46d3-895c-b0e2aeb424a2,3635,WESTWAY OFFICE PARK,WESTVILLE,KwaZulu-Natal,
40088fad-8e86-45b1-aa16-89ef8e35fafc,3633,WESTWOOD,WESTVILLE,KwaZulu-Natal,
