id,postal_code,area,city,province,aliases
edd43615-b9e5-435e-8943-ee13e285fd72,0884,ABEL,POLOKWANE,Limpopo,
4832de12-2d0b-41ad-b9fa-13e0770d8cfe,0712,ADDNEY,POLOKWANE,Limpopo,
dc9e218f-9b49-4989-b64d-b3cb485a853c,0780,AMBERGATE,POLOKWANE,Limpopo,
ed316c1d-53e8-450f-8090-8f35759d80c4,0699,ANNADALE,POLOKWANE,Limpopo,
6ab057f5-9ea8-473f-a91f-705a4badcf2c,0739,APEL,POLOKWANE,Limpopo,
f6c05bd6-fe49-4cc3-af85-77946eeb656a,0749,ATOK,POLOKWANE,Limpopo,
d28fcab8-f18f-41a4-a634-7e5c4f69f1ee,0716,BABIRWA,POLOKWANE,Limpopo,
40a01a8f-b3e7-4685-8bcb-dca444f0d71d,0746,BAKONE,POLOKWANE,Limpopo,
9c1700b6-7433-4b99-847d-8a0e58402326,0782,BALOPA,POLOKWANE,Limpopo,
07efdcb4-bc7e-4d85-8d7a-5d5b68c58f0c,0800,BANDELIERKOP,POLOKWANE,Limpopo,
b07cd1a2-afc7-405a-863f-6ee915a77e7e,0699,BENDOR,POLOKWANE,Limpopo,
3b72fa87-0043-43c0-80f2-320351a98e12,0699,BENDOR EXT 100,POLOKWANE,Limpopo,BENDOR UIT 100|BENDOR PARK EXT 100|BENDORPARK UIT 100
4feca711-a0e2-42e8-a20b-49700ad69384,0699,BENDOR PARK,POLOKWANE,Limpopo,BENDORPARK
f92efbb3-ee0b-40dd-95ca-9c3844a72c80,0699,BENDOR PARK EXT 1,POLOKWANE,Limpopo,BENDORPARK UIT 1
950a64aa-f243-49b7-a707-e5898e260db5,0699,BENDOR PARK EXT 17,POLOKWANE,Limpopo,BENDORPARK UIT 17
4e34b32f-6860-4794-8d07-5fd32248024d,0699,BENDOR PARK EXT 21,POLOKWANE,Limpopo,BENDORPARK UIT 21
be0c9f68-4bdb-4565-8f58-0998841bc02f,0699,BENDOR PARK EXT 23,POLOKWANE,Limpopo,BENDORPARK UIT 23
f4915337-10ee-45ff-a953-121335419c12,0699,BENDOR PARK EXT 26,POLOKWANE,Limpopo,BENDORPARK UIT 26
