id,postal_code,area,city,province,aliases
7b6db77a-c1ae-4a1e-b5aa-5b5dcd0c9015,1392,LULEKANI,PHALABORWA,Limpopo,BA-PHALABORWA
82c1101d-66a0-4745-b31c-d64dd2fd7210,1390,MAKHUSWANE,PHALABORWA,Limpopo,BA-PHALABORWA
f7654f64-77b3-4aac-8f34-861bd545318f,1396,MASEKE,PHALABORWA,Limpopo,BA-PHALABORWA
6e902600-833f-43c9-873b-22c6953c2253,1395,MASHISHIMALE,PHALABORWA,Limpopo,BA-PHALABORWA
f3391aa5-7073-4896-a753-4f7eac69f1ed,1391,NAMAKGALE,PHALABORWA,Limpopo,BA-PHALABORWA
63f03e5b-c6d0-4bb1-b4b4-dcfe880f7e40,1391,NAMAKGALE ZONE A,PHALABORWA,Limpopo,NAMAKGALE SONE A|BA-PHALABORWA
cabc0633-b674-4c74-9772-2f3dfd22db03,1391,NAMAKGALE ZONE B,PHALABORWA,Limpopo,NAMAKGALE SONE B|BA-PHALABORWA
b758dc35-71fc-477f-b781-6a43f2f7e3ce,1391,NAMAKGALE ZONE C,PHALABORWA,Limpopo,NAMAKGALE SONE C|BA-PHALABORWA
00529a79-9e16-4f9f-af51-83a50f88a987,1391,NAMAKGALE ZONE E,PHALABORWA,Limpopo,NAMAKGALE SONE E|BA-PHALABORWA
b44dc983-38d9-4be9-a607-599762ee2152,1393,PATAMEDI,PHALABORWA,Limpopo,BA-PHALABORWA
30005350-bb2f-4f01-997d-fbfd29788499,1389,PHALABORWA,PHALABORWA,Limpopo,PHALABORWA HEAVY IND SITES|BA-PHALABORWA
42312594-a086-4da4-a22b-8b3e4c9cdb56,1394,SELWANA,PHALABORWA,Limpopo,BA-PHALABORWA
