id,postal_code,area,city,province,aliases
cca3f9cd-49e2-424c-aca0-ef49cbac13b0,0909,ALLDAYS,LOUIS TRICHARDT,Limpopo,
45ef7e85-cfab-4334-b2cb-87731c655c8b,0954,BRAAMBOS MILITARY BASE,LOUIS TRICHARDT,Limpopo,
953399f5-c648-48b1-be48-6138f8f4033e,0960,BUNGENI,LOUIS TRICHARDT,Limpopo,
155448d7-2b77-4eb5-b78b-fb3f07c690d8,0923,BUYSDORP,LOUIS TRICHARDT,Limpopo,
becccfe8-39f1-4c4b-9926-68882c0f0894,0960,ELIM HOSPITAL,LOUIS TRICHARDT,Limpopo,ELIM HOSPITAAL
ee1e817b-a91f-4ac9-a360-78ea8ee4b7f4,0920,ELTI VILLAS,LOUIS TRICHARDT,Limpopo,
94331150-d5c9-45b8-9518-c68f591eddcb,0920,ELTI VILLAS EXT 1,LOUIS TRICHARDT,Limpopo,ELTI VILLAS UIT 1
34ca4166-4fe9-4a82-b94c-1b9f1ff24727,0937,FUMANI,LOUIS TRICHARDT,Limpopo,
47bf52d4-6352-4991-9875-83dc8da93786,0940,KUTAMA,LOUIS TRICHARDT,Limpopo,KUTAMA VILLAGE
5412697a-4898-4cbf-9991-80c757710334,0939,MABETHA MAMADI,LOUIS TRICHARDT,Limpopo,
1c54ef2c-50c5-4664-ab6d-28bcb0b913b4,0934,MARA,LOUIS TRICHARDT,Limpopo,
8fda607e-3ecc-417e-a4a9-9f4246d4e5aa,0942,MASHAMBA,LOUIS TRICHARDT,Limpopo,
45b1f5a9-15ae-4302-8eb1-29a67327f13a,0943,MASHAU,LOUIS TRICHARDT,Limpopo,
a9247a90-99e5-45ec-a0ce-b13512afee26,0917,MBOKOTA,LOUIS TRICHARDT,Limpopo,
6adfa9b5-ac17-492b-bb36-5b705d1d0439,0925,MOPANE,LOUIS TRICHARDT,Limpopo,
075c72bb-a302-4b8c-b35c-14a3e4d24b02,0948,MUNZHEDZI,LOUIS TRICHARDT,Limpopo,MUNDZHEDZI
672aa3aa-7fb3-42b9-b91f-d911a5ac226b,0949,MUWAWENI,LOUIS TRICHARDT,Limpopo,MUWAWENI VILLAGE
9afd5b91-e4d2-47ca-991e-a9246e5bb072,0957,SIFAHLA,LOUIS TRICHARDT,Limpopo,
c836e7e0-6c6c-451b-95e6-4928c2a334d4,0921,SINTHUMULE,LOUIS TRICHARDT,Limpopo,
51ebe9f8-078b-4e7c-a59d-224ccb43bdf0,0901,TSHIPISE,LOUIS TRICHARDT,Limpopo,
115ea0af-6a0c-4281-8a6c-ffbb4d74f09f,0935,VALDEZIA,LOUIS TRICHARDT,Limpopo,
db07194b-76c9-41b9-b014-193b9c607cce,0924,VIVO,LOUIS TRICHARDT,Limpopo,
709653ab-4923-4650-abfb-546c80ab217e,0905,WATERPOORT,LOUIS TRICHARDT,Limpopo,
