id,postal_code,area,city,province,aliases
1d104d04-8f16-4e20-9604-a16a5e28f3d2,2210,BOTLENG,DELMAS,Mpumalanga,
f280c1c2-bb30-4413-b676-295fdcaa0361,2210,BOTLENG EXT 1,DELMAS,Mpumalanga,BOTLENG UIT 1
89d2199a-a1ea-43d9-9adb-21aecd417615,2210,BOTLENG EXT 2,DELMAS,Mpumalanga,BOTLENG UIT 2
17fe466f-f415-4573-8405-18615fb3f0c1,2210,BOTLENG EXT 3,DELMAS,Mpumalanga,BOTLENG UIT 3
a56400bd-ff48-495b-abfe-a62cd3292ba5,2210,BOTLENG EXT 4,DELMAS,Mpumalanga,BOTLENG UIT 4
f131d606-f1bc-4436-b59e-b586580d942c,2210,BOTLENG EXT 5,DELMAS,Mpumalanga,BOTLENG UIT 5
c369f061-4493-4730-9283-7d609f48643d,2210,BOTLENG EXT 6,DELMAS,Mpumalanga,BOTLENG UIT 6
0c50c679-64d3-4734-b7ef-a2cb77ccc972,2210,DELMAS EXT 1,DELMAS,Mpumalanga,DELMAS UIT 1
6c41c160-d950-4e21-8ebd-4400f94c1b9c,2210,DELMAS EXT 14,DELMAS,Mpumalanga,DELMAS UIT 14
6341f8da-327e-4879-b827-a3faf2a6c151,2210,DELMAS EXT 2,DELMAS,Mpumalanga,DELMAS UIT 2
147c8346-a72b-4877-a911-9f1b9fc31d4b,2210,DELMAS EXT 3,DELMAS,Mpumalanga,DELMAS UIT 3
b667aba5-edfe-47a1-b5ca-a3bb131d43b5,2210,DELMAS EXT 4,DELMAS,Mpumalanga,DELMAS UIT 4
f641563f-9621-4d24-9441-0c9f9183a35b,2211,ELOFF,DELMAS,Mpumalanga,
e4cccd63-3bfb-4d27-b368-5770ed0170d8,2213,GREENWORLD,DELMAS,Mpumalanga,
2435d099-256e-4095-9f56-082c9bd3ba16,2210,MANDELA SQUATER CAMP,DELMAS,Mpumalanga,
