id,postal_code,area,city,province,aliases
da9a9cbb-39b3-4017-8c6d-c9dd3766f25c,1215,DAANTJIE,KANYAMAZANE,Mpumalanga,
b58b1dff-7884-4b69-8b0f-627989c27d3f,1214,KANYAMAZANE,KANYAMAZANE,Mpumalanga,
be993d75-60ab-4b1d-b724-7aa50a198aa6,1214,KANYAMAZANE EXT,KANYAMAZANE,Mpumalanga,KANYAMAZANE UIT
1283ab38-456a-4f09-8fc1-9a5f05f1c951,1214,KANYAMAZANE EXT 4,KANYAMAZANE,Mpumalanga,KANYAMAZANE UIT 4
526bbb08-142a-4162-9cc5-f26460ee7e1d,1214,KANYAMAZANE EXT 5,KANYAMAZANE,Mpumalanga,KANYAMAZANE UIT 5
7e176ebd-9258-4037-a5ab-652d808154fa,1214,KANYAMAZANE EXT 6,KANYAMAZANE,Mpumalanga,KANYAMAZANE UIT 6
545eb356-6bff-405c-b33d-607f1cfe2774,1214,KANYAMAZANE PARK,KANYAMAZANE,Mpumalanga,
86a36c17-0eba-423c-9f0c-2edcca70f5cf,1214,LEKAZI,KANYAMAZANE,Mpumalanga,
158b6826-eb87-436c-a354-7223e828581f,1214,LEKAZI EXT,KANYAMAZANE,Mpumalanga,LEKAZI UIT
7cd83d87-860c-46e0-9575-686d3be8001d,1217,LUPHISA,KANYAMAZANE,Mpumalanga,
5e2d6faf-9ddc-4c14-837e-a888d4c91f7a,1215,MSOGWABA,KANYAMAZANE,Mpumalanga,
5ff0fc9f-f553-4158-9a01-4245f9f80349,1214,PIENAAR,KANYAMAZANE,Mpumalanga,
f6ab1232-a957-4f4b-b0ef-0d00a6c5a883,1216,SIBUYILE,KANYAMAZANE,Mpumalanga,
31c74377-439c-4604-b2bf-48c8d38cb672,1214,TEKWANE SOUTH,KANYAMAZANE,Mpumalanga,TEKWANE-SUID
