id,postal_code,area,city,province,aliases
3ec462b9-74a9-45b5-b838-5ae9675b4a1e,0469,BUTHI,SIYABUSWA,Mpumalanga,
eea97cab-bdcb-4cd2-8afc-6c5f69ab8396,0472,GUGULETU,SIYABUSWA,Mpumalanga,
f7518b05-c881-44e5-845a-edc7f84d818d,0472,KWA PHAHLA,SIYABUSWA,Mpumalanga,
80946afd-4fa2-45b9-91df-bd1231f7bc0f,1030,MAGOLOGOLO,SIYABUSWA,Mpumalanga,
2a9896a8-0de9-4e64-acaa-1fdb17af1c8a,0494,MAKOMETSANE,SIYABUSWA,Mpumalanga,
b88842a8-c3c8-4e95-b323-1f418a821b52,0475,MATJHIRINI,SIYABUSWA,Mpumalanga,
24475d80-98b6-4886-aa3c-3a2d1833953c,0462,MTHAMBOTHINI,SIYABUSWA,Mpumalanga,
9ffa337e-2f20-4f66-9c0d-1deb4cc90440,0495,RAMOKGELETSANE,SIYABUSWA,Mpumalanga,
f71d879e-82ad-4db3-a427-fa9b339afb2d,0472,SUNSET SUPERMARKET,SIYABUSWA,Mpumalanga,
68c4ebfe-fc8a-4575-afe2-266e224bbb37,0472,THABAND VILLAGE,SIYABUSWA,Mpumalanga,
2898013b-80a4-4afe-be28-6ebc55fab0f5,0493,TWO LINE,SIYABUSWA,Mpumalanga,
5ba8bb44-fda2-4fd2-a2b7-7c538c7eafd4,0477,WALKRAAL B,SIYABUSWA,Mpumalanga,
8d7d81d6-b8b4-419a-a9b5-d6a9922dd47e,0477,WATERVAL A,SIYABUSWA,Mpumalanga,
9934593b-f0ae-45d0-9c84-cc1aac6a58e8,0472,WELTEVREDE,SIYABUSWA,Mpumalanga,
