id,postal_code,area,city,province,aliases
546e1c1c-ea49-442d-ac03-b2cb2b84b65c,2574,JOUBERTON EXT 1,JOUBERTON,North West,JOUBERTON UIT 1
c9e82962-3a97-4003-8716-8c3151efe6dc,2574,JOUBERTON EXT 10,JOUBERTON,North West,JOUBERTON UIT 10
410121f0-453c-4041-b8d3-6a9fff7b21ad,2574,JOUBERTON EXT 11,JOUBERTON,North West,JOUBERTON UIT 11
3e42b13e-ff49-4789-8d13-7556055e55c9,2574,JOUBERTON EXT 12,JOUBERTON,North West,JOUBERTON UIT 12
b190b982-0f1c-4a10-89ad-e32e111f914e,2574,JOUBERTON EXT 13,JOUBERTON,North West,JOUBERTON UIT 13
fb6170ee-a3c9-42ea-a7b5-ecd61b0ca3d5,2574,JOUBERTON EXT 14,JOUBERTON,North West,JOUBERTON UIT 14
92cb44b5-2bab-4ac9-9c3c-c288ded455ce,2574,JOUBERTON EXT 15,JOUBERTON,North West,JOUBERTON UIT 15
8a11c41c-b787-4255-b9d7-0eadda4d46db,2574,JOUBERTON EXT 16,JOUBERTON,North West,JOUBERTON UIT 16
2225e062-487c-4856-8bc6-65fe192809b4,2574,JOUBERTON EXT 18,JOUBERTON,North West,JOUBERTON UIT 18
6406c781-57c4-468c-a664-85e22d5465ef,2574,JOUBERTON EXT 2,JOUBERTON,North West,JOUBERTON UIT 2
7eee5e1b-625c-4f8b-9ee7-8c3cb57d8591,2574,JOUBERTON EXT 20,JOUBERTON,North West,JOUBERTON UIT 20
0ad5ac2e-23b5-4e25-9bb6-4ae341e89346,2574,JOUBERTON EXT 21,JOUBERTON,North West,JOUBERTON UIT 21
a4bd5c4e-aec8-4d7d-95c6-76ab88458f04,2574,JOUBERTON EXT 22,JOUBERTON,North West,JOUBERTON UIT 22
b850df3d-f4f5-46a8-b713-b91d4cfada98,2574,JOUBERTON EXT 23,JOUBERTON,North West,JOUBERTON UIT 23
d487f21d-8b0d-4066-81d6-ca6ca775e2e5,2574,JOUBERTON EXT 24,JOUBERTON,North West,JOUBERTON UIT 24
0fc3ad0e-ed60-48a8-9cfb-b91b232441c6,2573,JOUBERTON EXT 3,JOUBERTON,North West,JOUBERTON UIT 3
283b7845-8c56-49d5-a2e9-ecf71b6cb926,2574,JOUBERTON EXT 4,JOUBERTON,North West,JOUBERTON UIT 4
e62f69c3-d08e-4793-8c42-729beeafdf1a,2574,JOUBERTON EXT 7,JOUBERTON,North West,JOUBERTON UIT 7
32f1e095-8027-44c1-98be-fed6728c5e4d,2574,JOUBERTON EXT 8,JOUBERTON,North West,JOUBERTON UIT 8
066955fd-72fe-4aa5-a58d-53b841a25d26,2574,JOUBERTON TSP,JOUBERTON,North West,JOUBERTON DGD
bd4e66bf-3ef6-4e60-b3c2-1e5cfdb7ac23,2574,JOUBERTON WEST EXT 10,JOUBERTON,North West,JOUBERTON-WES UIT 10
af11412a-69ff-44c4-a320-241877c9d2c1,2574,JOUBERTON WEST EXT 7,JOUBERTON,North West,JOUBERTON-WES UIT 7
ac44c79c-6850-4487-a8ae-0bd4a9ae8e5e,2574,SAKHROL,JOUBERTON,North West,
