id,postal_code,area,city,province,aliases
61c5e09e-b12c-4801-b81d-da769b42cf2e,0336,BALEEMA,RUSTENBURG,North West,
b8fc1527-1624-4145-bdce-08cb051f47b3,0349,BAPHALANE,RUSTENBURG,North West,
a4c12062-c0a5-4dae-bdeb-e11d3c8dda22,0337,BAPO II,RUSTENBURG,North West,
470bdc86-c996-4180-8e34-6db72689a682,0338,BARATHEO,RUSTENBURG,North West,
d6ffe975-ffdd-42e1-b719-4dcd96e1f837,0292,BLESKOP,RUSTENBURG,North West,
928ae788-2a0e-47fb-bab3-31e21a18fcf5,0309,BOITEKONG,RUSTENBURG,North West,
62fb7468-5a46-4044-a955-f1700cb5c474,0308,BOITEKONG EXT 12,RUSTENBURG,North West,BOITEKONG UIT 12
026df18b-4331-4f56-bf08-8d81d76c19a1,0334,BOONS,RUSTENBURG,North West,
b3d52bc5-a91a-4923-8196-ce823f47a9a5,0299,BOSCHDAL,RUSTENBURG,North West,BOSCHDAL
16dcbe6a-149f-49d9-a8db-356c39634143,0323,BOSCHFONTEIN,RUSTENBURG,North West,
80788ea8-121b-4be8-abe2-2fc54d6f0bb0,0301,BOSHOEK,RUSTENBURG,North West,
25e92cc1-f571-4e5d-8028-4a3559f95d1d,0299,CASHAN,RUSTENBURG,North West,
4871b066-ef37-448d-a3e9-44f1522a4cc6,0299,CASHAN EXT 1,RUSTENBURG,North West,CASHAN UIT 1
3db56fcb-1a08-4b3a-9f8e-f79c5a8aadd8,0299,CASHAN EXT 13,RUSTENBURG,North West,CASHAN UIT 13
d9230156-d158-4ee8-a497-032964da2715,0299,CASHAN EXT 19,RUSTENBURG,North West,CASHAN UIT 19
1f2e05b5-5a42-4e47-9cde-4a93261e469d,0299,CASHAN EXT 2,RUSTENBURG,North West,CASHAN UIT 2
8134c331-3111-4f53-a80c-d86e5f3ac9dd,0299,CASHAN EXT 20,RUSTENBURG,North West,CASHAN UIT 20
5c86d48b-748d-441b-bfc5-6f930bd05545,0299,CASHAN EXT 21,RUSTENBURG,North West,CASHAN UIT 21
0ad70abb-4ba2-4400-b00f-43d7ddd46a44,0299,CASHAN EXT 3,RUSTENBURG,North West,CASHAN UIT 3
c4b47044-0a84-48a0-b980-96d924aa3a2e,0299,CASHAN EXT 33,RUSTENBURG,North West,CASHAN UIT 33
2dd108b0-4c23-4cb3-b4b5-78458e332422,0299,CASHAN EXT 4,RUSTENBURG,North West,CASHAN UIT 4
0e684f52-08e7-4b42-80a2-0d3dbcbf02d7,0299,CASHAN EXT 5,RUSTENBURG,North West,CASHAN UIT 5
b8df5042-643d-43f7-a0c0-0a3e9a063eff,0299,CASHAN EXT 6,RUSTENBURG,North West,CASHAN UIT 6
14230156-b59e-4c81-817a-bf17e3000d62,0310,CHANENG,RUSTENBURG,North West,
d862488a-36f9-4d5d-b67a-bf7edd044cdc,0280,DAMDORYN,RUSTENBURG,North West,
e433e670-a3e3-4871-b159-efd20b275068,0347,DERBY,RUSTENBURG,North West,
fcb592c5-8617-4a5f-a77b-684c9878b146,0299,EAST END,RUSTENBURG,North West,OOS-EINDE
05c2a372-2abd-49d4-b1db-e600b14962e0,0307,ENTABENI,RUSTENBURG,North West,NTABENI
7a8a0d50-ae11-42b6-94f4-a5a810a11352,0299,FOX LAKE,RUSTENBURG,North West,
2172f646-465b-4869-a697-859010bb83ed,0299,FREEDOM PARK,RUSTENBURG,North West,FREEDOMPARK
6abcb73b-682c-4514-8008-1d22d4ec1b9d,0299,FREEDOM PARK EXT 2,RUSTENBURG,North West,FREEDOMPARK UIT 2
ed073883-ddb5-4028-ba8d-46954bda1702,0308,FREEDOM PARK PHASE 1,RUSTENBURG,North West,FREEDOMPARK FASE 1
9f0fac9e-6543-457e-8858-a089b312ca4a,0308,FREEDOM PARK PHASE 2,RUSTENBURG,North West,FREEDOMPARK FASE 2
552d37a0-29f2-400a-8c86-ee230167e68f,0299,GEELHOUTPARK,RUSTENBURG,North West,GEELHOUTPARK
21d4f692-88cc-465f-bf71-563c7e3a2a58,0299,GEELHOUTPARK EXT 1,RUSTENBURG,North West,GEELHOUTPARK UIT 1
5abf5449-755d-45df-bb56-8f282ce5784d,0299,GEELHOUTPARK EXT 13,RUSTENBURG,North West,GEELHOUTPARK UIT 13
2f75ba3a-0de3-4486-953e-f977d0801138,0299,GEELHOUTPARK EXT 14,RUSTENBURG,North West,GEELHOUTPARK UIT 14
5874e246-b813-45ea-80e6-533a696d902b,0299,GEELHOUTPARK EXT 4,RUSTENBURG,North West,GEELHOUTPARK UIT 4
ae25b2f5-2859-4faa-9265-c5ac107d3c4b,0299,GEELHOUTPARK EXT 6,RUSTENBURG,North West,GEELHOUTPARK UIT 6
3504a30c-6fe4-4746-8c48-f5d32d230fe4,0299,GEELHOUTPARK EXT 9,RUSTENBURG,North West,GEELHOUTPARK UIT 9
33b2a91f-0563-4916-a421-42d9300b43b8,0216,HARTBEESPOORT,RUSTENBURG,North West,
af05cd28-ef13-4d64-96e6-697054d078d7,0299,HEX RIVER LIFESTYLE ESTATE,RUSTENBURG,North West,HEXRIVIER LEEFSTYL LANDGOED
bf00e876-826e-4378-bf78-12e43516abfd,0340,KAMEELBOOM,RUSTENBURG,North West,
72d81922-1dcc-4344-bf20-29a30bf05d15,0299,KARLIENPARK,RUSTENBURG,North West,
e635f928-b9c5-47fb-bc5e-532726558447,0299,KLOOFSIG,RUSTENBURG,North West,
b9b06830-8126-417b-88a7-9eb6b11b3cdf,0299,KLOOFTUINE,RUSTENBURG,North West,
c5e69d11-1833-4c14-b1cf-9edd892b0499,0389,KOMMISSIEDRIF,RUSTENBURG,North West,
af21690a-b931-4263-b946-f9e10eb74870,0341,KRAALHOEK,RUSTENBURG,North West,
9d06724e-6068-4c18-83d5-5bc97fc08b71,0350,KROONDAL,RUSTENBURG,North West,
e80604e7-3236-46a2-8545-b37dff488ae7,0316,LEDIG,RUSTENBURG,North West,
05f0055e-043a-429e-a0fc-ba737ef9880b,0299,LEFARAGATLHA,RUSTENBURG,North West,
07187b90-dc5b-4cb0-81ec-685a1b7852bd,0264,LETLHABILE SECTION,RUSTENBURG,North West,LETLHABILE SEKSIE
fc1c0163-426c-4a70-a2b4-87e619ebbf4b,0322,LUKA,RUSTENBURG,North West,
36bdcb36-89d3-4a49-bcba-1a5f095978cb,0346,MAANHAARRAND,RUSTENBURG,North West,
5b4f37aa-2cba-4886-82a7-1c5d0c167aca,0354,MABELE-A-PODI,RUSTENBURG,North West,
b49e64d3-1813-4329-b7da-2e3552021597,0313,MABESKRAAL,RUSTENBURG,North West,
3662c6b3-a785-4cfc-878e-ea2df70bd0bc,0364,MABODISA,RUSTENBURG,North West,
9e14e971-7f58-40cb-be85-dd3ab859a97b,0365,MAILE,RUSTENBURG,North West,
c0a79967-f3eb-48fa-9c14-112bc4d63153,0359,MAJAKANENG,RUSTENBURG,North West,
7aa44fb2-3e94-4a55-96f2-5891d5ede04d,0736,MALEMATI ZONE 3,RUSTENBURG,North West,MALEMATI SONE 3
196902e1-d4df-41f5-bb2f-84f1390e7ed4,0339,MANTSERRE,RUSTENBURG,North West,
18c13e39-735a-4018-8c41-0a812827eff6,0366,MAOLOGANE,RUSTENBURG,North West,
76fc8452-2ee6-4866-8184-c503f38270eb,0378,MARAPALLO,RUSTENBURG,North West,
794871b6-a610-42f3-8ee4-8c3b2093441e,0367,MATLAMETLO,RUSTENBURG,North West,
e7f8be39-62c5-492c-af69-e8bfa4a91b83,0299,MERITING,RUSTENBURG,North West,
1929b153-85c3-4ccb-ac48-bb6e42a6e3e2,0299,MERITING EXT 1,RUSTENBURG,North West,MERITING UIT 1
0255f1f8-6e81-4783-ac6b-2e3d0ed1f2e7,0308,MERITING EXT 2,RUSTENBURG,North West,MERITING UIT 2
1b30a2e6-a836-4feb-a9a2-71ef7e060397,0351,MODDERKUIL,RUSTENBURG,North West,
69ac5df5-cc42-42eb-81a1-0a75c483404f,0300,MODIKOE,RUSTENBURG,North West,
