id,postal_code,area,city,province,aliases
49a7b614-a76c-45b7-8082-9290261575fc,2713,BOIKUTSONG,VENTERSDORP,North West,
75c0ae4e-5886-420f-9d20-8cce440feb65,2714,GAMOTLATLA,VENTERSDORP,North West,
cdd32944-0f7f-4af3-ac9b-83a84b64bd75,2712,MAKOKSKRAAL,VENTERSDORP,North West,
d8947ad2-3e8e-4957-bd24-9dd9ae01b866,2710,TSHING,VENTERSDORP,North West,
7bfdf66d-04ec-46b1-b407-145154d6e1e8,2710,TSHING TSP,VENTERSDORP,North West,TSHING DGD
5da9f7d4-d938-4d84-839b-ffc4beb1b755,2710,TSHING TSP EXT 1,VENTERSDORP,North West,TSHING DGD UIT 1
c316eb57-3472-4858-8c6a-dc0b07588d8c,2710,TSHING TSP EXT 2,VENTERSDORP,North West,TSHING DGD UIT 2
5fbd93fa-817c-45a6-9fbe-552ebfd75aa9,2710,TSHING TSP EXT 3,VENTERSDORP,North West,TSHING DGD UIT 3
25e51012-f1e1-4afe-a1a8-c7f9a238cec0,2710,TSHING TSP EXT 4,VENTERSDORP,North West,TSHING DGD UIT 4
09ac789a-4a59-4fa1-8676-4a32c0a31a90,2710,TSHING TSP EXT 5,VENTERSDORP,North West,TSHING DGD UIT 5
1aea2532-c2bf-4e02-993b-4a2707330199,2710,VENTERSDORP,VENTERSDORP,North West,
4902a637-cf71-45a0-92b1-b4112a3fb493,2710,VENTERSDORP EXT 2,VENTERSDORP,North West,VENTERSDORP UIT 2
54d3a853-c397-472a-aab3-fa949a6bec94,2710,VENTERSDORP EXT 4,VENTERSDORP,North West,VENTERSDORP UIT 4
