id,postal_code,area,city,province,aliases
bf212242-d57b-4d37-8630-cd2def44df3e,8660,AKASIA PARK,KEIMOES,Northern Cape,AKASIAPARK
aad7aca9-df8f-4d31-9790-8dd09d375411,8860,CURRIE CAMP,KEIMOES,Northern Cape,
ab2da7e9-b189-43fd-83a9-f6d2fd419eb1,8861,FRIERSDALE,KEIMOES,Northern Cape,
bbf1ce48-4954-4e45-a9d7-8214b5c04297,8860,GARDENIA,KEIMOES,Northern Cape,
fd7698c9-9113-46f2-9e09-7fa34d164b37,8860,KEIMOES,KEIMOES,Northern Cape,
d445535f-b66a-4697-9275-52021abc6e72,8860,KEIMOES EXT 6,KEIMOES,Northern Cape,KEIMOES UIT 6
54c36e4e-8b4e-4b70-8208-e671611429dc,8860,KEIMOES EXT 7,KEIMOES,Northern Cape,KEIMOES UIT 7
23b3cf79-6642-4cd3-90b0-e94a82d1a267,8860,KEIMOES EXT 8,KEIMOES,Northern Cape,KEIMOES UIT 8
1a6933ff-3427-4b6b-8a74-9faa19640ab6,8862,NEILERSDRIF,KEIMOES,Northern Cape,
166c19b1-8691-4ab4-9bfd-bd2b58ff61d3,8860,ROOISAND,KEIMOES,Northern Cape,
