id,postal_code,area,city,province,aliases
44a73008-2ca5-4cc6-a665-e5284fe7ce51,8470,BLIKFONTEIN,KURUMAN,Northern Cape,
c0888767-95e3-4753-946f-618068bd29d2,8463,DIBENG,KURUMAN,Northern Cape,
0bbdc4bd-37f4-4cdb-92ae-bdf76e47e4c7,8466,FRYLINCKSPAN,KURUMAN,Northern Cape,
09f87f2f-75a5-4df5-ae5b-a96eb6dd0eae,8461,GA-TLHOSE,KURUMAN,Northern Cape,
85607fde-6beb-4f4d-9462-d817264aaf4b,8627,GLENRED,KURUMAN,Northern Cape,
565a61b1-d7c0-426d-a93b-d966ff3186cb,8460,KURUMAN,KURUMAN,Northern Cape,
268eee9f-7731-4478-b790-c1d018e31c44,8462,KURUMAN CENTRAL,KURUMAN,Northern Cape,
c8750c0c-61ba-493c-b047-8efef519b72a,8474,MOTHIBISTAT,KURUMAN,Northern Cape,
4801f590-aeee-43f7-8626-a8fdba54dacd,8465,SEODING,KURUMAN,Northern Cape,
aa9bcdf3-760f-472a-9c35-b8a2c2b5901c,8460,WRENCHVILLE,KURUMAN,Northern Cape,
