id,postal_code,area,city,province,aliases
55de6019-e2a7-49cb-972b-b28c3ef937af,7353,ARENDSDALE,ATLANTIS,Western Cape,KAAPSTAD
0320fa02-8d9c-4ff4-969a-04c158cc0d4f,7354,ATTAWAY,ATLANTIS,Western Cape,KAAPSTAD
0278e800-5959-4cc0-b5c9-16f11e3e3679,7349,AVONDALE,ATLANTIS,Western Cape,KAAPSTAD
f24a923a-28cb-4fdf-9948-d9f20470abfe,7349,BEACON HILL,ATLANTIS,Western Cape,KAAPSTAD
27b949a2-83f6-46c4-9669-6e9621114473,7354,CHATSWORTH,ATLANTIS,Western Cape,KAAPSTAD
8f0e30cd-758c-4695-b373-a284a889c6f9,7349,DASSENBERG,ATLANTIS,Western Cape,
83bd3c7e-9b61-4a72-ad0d-c235b6d0232c,7348,KATZENBERG,ATLANTIS,Western Cape,KAAPSTAD
41b17f56-ba09-4496-b414-6bb62815b197,7358,KLEIN DASSENBERG,ATLANTIS,Western Cape,KAAPSTAD
22bf9a21-2b8b-4fb0-a89a-52040c735d5a,7348,PELLA MISSIONARY STATION,ATLANTIS,Western Cape,PELLA SENDING STASIE
06677731-28b4-4b35-bb11-b3deeb679670,7304,PHILADELPHIA,ATLANTIS,Western Cape,
89d73990-3d8e-4782-91be-6338ed823cb1,7349,PROTEA PARK,ATLANTIS,Western Cape,KAAPSTAD
ea441d9d-7585-4a38-80bd-b636c7ab9171,7353,RIVERLANDS,ATLANTIS,Western Cape,KAAPSTAD
468aec2c-e68e-4452-9536-57f878003f38,7349,ROBINVALE,ATLANTIS,Western Cape,KAAPSTAD
b6e240d7-13d0-40a0-862d-12903b2df6e0,7349,SAXONSEA,ATLANTIS,Western Cape,KAAPSTAD|SAXON SEA
2267c89c-3405-41f0-aabd-1dfc61e69d10,7349,SAXONSEA EXT 13,ATLANTIS,Western Cape,SAXONSEA UIT 13|KAAPSTAD
