id,postal_code,area,city,province,aliases
74992c2e-1249-4a9b-844a-5f9503a214d6,6970,BEAUFORT WEST,BEAUFORT WEST,Western Cape,BEAUFORT-WES
28ed48fe-77ba-4037-91cd-3467bb9800e7,6970,ESSOPVILLE,BEAUFORT WEST,Western Cape,BEAUFORT-WES
0513dca5-a670-465b-ab2a-02c8ff7fe84e,6970,HILLSIDE,BEAUFORT WEST,Western Cape,BEAUFORT-WES
e467ff08-41a1-497e-af58-f2e7e582b1d1,6970,HILLSIDE 2,BEAUFORT WEST,Western Cape,HILLSIDE 2|BEAUFORT-WES
460c5ef6-57e2-44e2-8d8e-6ad55e4e1bf5,6970,HOOY VLAKTE,BEAUFORT WEST,Western Cape,
48929382-756a-491a-95db-03496f426815,6970,HOSPITAL HILL,BEAUFORT WEST,Western Cape,HOSPITAALHEUWEL|BEAUFORT-WES
eba44e91-bc10-4b3d-a073-b0569387705e,6970,HOSPITAL HILL EXT 1,BEAUFORT WEST,Western Cape,HOSPITAALHEUWEL UIT 1|BEAUFORT-WES
47c75f3b-10e5-4b51-a5ff-23ccca850ae0,6970,KWA MANDLENKOSI,BEAUFORT WEST,Western Cape,BEAUFORT-WES
45bd2f14-fc38-4bd3-8a9b-b36d436b8bc4,6950,LEEU-GAMKA,BEAUFORT WEST,Western Cape,BEAUFORT-WES
0ce678a9-93db-4be9-9736-df64aa1d7a83,6985,LOXTON,BEAUFORT WEST,Western Cape,BEAUFORT-WES
90550766-ae0d-4b47-a011-aa81b90c218f,6940,MERWEVILLE,BEAUFORT WEST,Western Cape,BEAUFORT-WES
48018eea-e543-41ee-a87f-72f430a179bc,6995,MURRAYSBURG,BEAUFORT WEST,Western Cape,
194919f9-336c-438e-9054-7093dfd0e8a2,6973,NELSPOORT,BEAUFORT WEST,Western Cape,BEAUFORT-WES
0ce26366-a3eb-4d2d-a219-aa9e52a4739d,6970,NEWLANDS,BEAUFORT WEST,Western Cape,NUWELAND|BEAUFORT-WES
660d2b84-531e-4a6d-9583-541318e21a1b,6970,NEWLANDS EXT 5,BEAUFORT WEST,Western Cape,NUWELAND UIT 5|BEAUFORT-WES
0b39f10e-6220-414d-938e-9d18894235ea,6970,NEWTOWN,BEAUFORT WEST,Western Cape,
774fef77-0780-4fc5-9267-e3d8c2267456,6970,NIEUVELD,BEAUFORT WEST,Western Cape,
8d7d6ca2-482a-4f02-8d20-bd0e508ef780,6970,NIEUVELD PARK,BEAUFORT WEST,Western Cape,NIEUVELDPARK|BEAUFORT-WES
998ba1bf-fde0-4368-b3dd-fda5dbc5fa00,6970,PADDAVLEI,BEAUFORT WEST,Western Cape,BEAUFORT-WES
8932dd48-2170-485a-a3e4-464ca8ef0b19,6930,PRINCE ALBERT,BEAUFORT WEST,Western Cape,PRINS ALBERT
37bd3d06-49e3-4c60-966b-e427753698fa,6931,PRINCE ALBERT ROAD,BEAUFORT WEST,Western Cape,PRINS ALBERTWEG
db5ea28b-dddc-41d0-9288-2872072d4093,6970,PRINCE VALLEY,BEAUFORT WEST,Western Cape,BEAUFORT-WES
9165848c-4401-4ac0-8daa-0511677ea387,6970,RUSTDENE,BEAUFORT WEST,Western Cape,BEAUFORT-WES
61c6b80d-f61a-4d18-bbfe-bfa94aef6116,6970,SIDESAVIVA,BEAUFORT WEST,Western Cape,BEAUFORT-WES
50f851e7-a495-478c-86b5-0aca14051ce2,6970,TOEKOMSRUS,BEAUFORT WEST,Western Cape,
e5889879-9f51-4353-9a67-baf5696129a9,6970,TOEKOMSRUS 2,BEAUFORT WEST,Western Cape,BEAUFORT-WES
