id,postal_code,area,city,province,aliases
89b3bfad-f226-4688-bbfb-6bdc3bc2d8df,7764,ATHLONE,CAPE TOWN,Western Cape,KAAPSTAD
6371b5af-c5e2-4087-8637-59c88b2a7223,7764,ATHLONE INDUSTRIA 1,CAPE TOWN,Western Cape,KAAPSTAD
79bfa826-caae-41d8-8c94-9d90885ffaa7,7764,ATHLONE INDUSTRIA 2,CAPE TOWN,Western Cape,KAAPSTAD
309d6939-4367-458e-9013-3b1c2a267cfe,8005,BAKOVEN,CAPE TOWN,Western Cape,KAAPSTAD
a92a4a7b-f2a6-4b91-9bb4-580f3af4d13c,8005,BANTRY BAY,CAPE TOWN,Western Cape,BANTRYBAAI|KAAPSTAD
2533c05d-fab4-46f1-a708-a2977268f6a2,7530,BELLVILLE,CAPE TOWN,Western Cape,KAAPSTAD
bdf328dd-6f0f-4b05-9387-2602ee9a70f7,7945,BERGVLIET,CAPE TOWN,Western Cape,KAAPSTAD
83af92de-de79-4422-b605-1cee7c725540,7441,BOTHASIG,CAPE TOWN,Western Cape,KAAPSTAD
a9000449-ebf0-403f-94a0-8813a66075c7,7560,BRACKENFELL,CAPE TOWN,Western Cape,KAAPSTAD
e8f9a077-244c-44fd-a190-6f003817bb5b,7905,CALEDON SQUARE,CAPE TOWN,Western Cape,CALEDONPLEIN
df15b5a5-dcce-4014-8e7d-919f844d8365,8005,CAMPS BAY,CAPE TOWN,Western Cape,KAMPSBAAI|KAAPSTAD
7f5ff205-5923-4546-b5f1-3c9f5c86099c,8004,CAPE MAIL SPEED SERVICES NETWORK,CAPE TOWN,Western Cape,
4bed244f-856b-4856-ab68-b318477d11b0,8001,CAPE TOWN,CAPE TOWN,Western Cape,KAAPSTAD
33057c13-fcb4-4e57-a46d-029caa351791,7525,CAPE TOWN INTERNATIONAL AIRPORT,CAPE TOWN,Western Cape,KAAPSTAD INTERNASIONALE LUGHAWE|KAAPSTAD|CAPE TOWN INT AIRPORT|KAAPSTAD INT LUGHAWE
67e3eaa3-7b3c-450f-9a6d-e77552ffcf36,8003,CAPEMAIL,CAPE TOWN,Western Cape,KAAPSTAD|CAPE MAIL
e717a8ed-f6a0-47ec-bd68-58540d07a4e2,7945,CAPRICORN SQUARE,CAPE TOWN,Western Cape,CAPRICORNPLEIN
9a7b4a34-8f31-42f5-ad60-077c51abaac8,8001,CENTRAL,CAPE TOWN,Western Cape,SENTRAAL|KAAPSTAD
03014dcd-d595-4e6c-8875-4163d7c6179d,7708,CLAREMONT,CAPE TOWN,Western Cape,KAAPSTAD
e015a30a-a267-4541-a8bb-8eeecdb4f729,8005,CLIFTON,CAPE TOWN,Western Cape,KAAPSTAD
c0696bdc-8ce4-40a4-b50b-ec242edefde4,8017,COMPETITION MAIL,CAPE TOWN,Western Cape,KAAPSTAD
04ceaf73-908e-4183-aaa3-425d40afe684,7806,CONSTANTIA,CAPE TOWN,Western Cape,KAAPSTAD
70c3b028-874f-403d-a7dc-56d4fe0eb249,8001,DE WATERKANT,CAPE TOWN,Western Cape,KAAPSTAD
de4da1d2-cbb7-4658-9b22-2478808d142a,8001,DEVIL'S PEAK EST,CAPE TOWN,Western Cape,DEVIL'S PEAK LGD|KAAPSTAD|DEVILS PEAK
c1242d06-7af5-4842-b676-453dea570a75,7800,DIEP RIVER,CAPE TOWN,Western Cape,DIEP RIVIER|KAAPSTAD
28ab019b-c814-4e65-a2f1-ea5654a6fb2b,7550,DURBANVILLE,CAPE TOWN,Western Cape,KAAPSTAD
0287507b-88de-4a76-85b7-6a79a6d9b78d,7441,EDGEMEAD,CAPE TOWN,Western Cape,KAAPSTAD
47ecdc74-3037-4e90-9c94-de8930173b02,7100,EERSTE RIVER,CAPE TOWN,Western Cape,EERSTERIVIER|KAAPSTAD
4760a524-5abd-441b-bba0-4a281535b1d2,7975,FISH HOEK,CAPE TOWN,Western Cape,VISHOEK|KAAPSTAD
5244d8ed-3b89-4e7c-b04b-afbcae9c0d95,8001,FORESHORE,CAPE TOWN,Western Cape,KAAPSTAD
cabdb0b8-e33e-454b-be2b-6fceefb49de2,8005,FRESNAYE,CAPE TOWN,Western Cape,KAAPSTAD
d66777dc-02b8-4f89-bd65-c87808000cb4,8001,GARDENS,CAPE TOWN,Western Cape,TUINE|KAAPSTAD
876eca65-433c-488e-93b6-7147e82c25cd,7764,GATESVILLE,CAPE TOWN,Western Cape,KAAPSTAD
cb2675d0-dbc9-4e9b-96af-3e79abd97b42,8005,GRANGER BAY,CAPE TOWN,Western Cape,GRANGERBAAI|KAAPSTAD|GRANGOR BAY|GRANGORBAAI
49eab939-4c6d-48e8-9d40-31d020a5d19b,7941,GRASSY PARK,CAPE TOWN,Western Cape,KAAPSTAD
1acb1914-8db2-4617-9f45-d65bfb9dde0c,8005,GREEN POINT,CAPE TOWN,Western Cape,GROENPUNT|KAAPSTAD|GREENPOINT
7e546a58-b069-423e-b439-e07455b3fbce,7925,GROOTE SCHUUR,CAPE TOWN,Western Cape,KAAPSTAD|GROOTE SCHUUR HOSPITAL
31d874c4-3004-4c5f-b47b-6a42ab84652f,7750,GUGULETU,CAPE TOWN,Western Cape,KAAPSTAD
73803582-08e3-4617-b53d-62ab216c9301,7753,GUGULETU MALL,CAPE TOWN,Western Cape,
9f97b57d-3335-40c9-965a-83fd34cf2283,7753,GUGULETU SQUARE,CAPE TOWN,Western Cape,GUGULETUPLEIN|KAAPSTAD
1e61fd3f-c207-444b-b166-f01854c60785,7780,HANOVER PARK,CAPE TOWN,Western Cape,HANOVERPARK|KAAPSTAD
5f51c55d-4635-4605-8a5a-f6760fbe27f6,8001,HIGGOVALE,CAPE TOWN,Western Cape,KAAPSTAD
877331c4-2d2f-4a87-b571-570ee2a8a69b,8001,HIGH CAPE,CAPE TOWN,Western Cape,BO-KAAP|KAAPSTAD
8da93c17-6f00-4ada-a8fb-5b0f3b2feb0a,8001,HIGHLANDS EST,CAPE TOWN,Western Cape,HIGHLANDS LGD|KAAPSTAD
8cd3bbb1-2293-4cab-89ab-02be242ed066,7806,HOUT BAY,CAPE TOWN,Western Cape,HOUTBAAI|KAAPSTAD
66e2132a-7cfe-4c64-b861-0e1206f94a57,8024,I.C.G. (PTY) LTD,CAPE TOWN,Western Cape,I.C.G. (EDMS) BPK
8835ea54-0524-4692-9274-e88c785fd987,7708,KENILWORTH,CAPE TOWN,Western Cape,KAAPSTAD
001c2d5d-725a-47f9-bf8a-7c2606f5a2b3,7784,KHAYELITSHA,CAPE TOWN,Western Cape,KAAPSTAD
1ffd5ff0-9903-45a0-a06c-d44e77480619,7792,KHAYELITSHA MALL,CAPE TOWN,Western Cape,
0d03046e-8cfb-4702-a9bb-0f67e1e61267,8008,KLOOF STREET,CAPE TOWN,Western Cape,KLOOFSTRAAT|KAAPSTAD
2f2de8e0-47a6-4d8f-b94a-5848b2ed93b9,8001,KLOOFNEK,CAPE TOWN,Western Cape,KAAPSTAD
68cd4b32-ee3f-48fe-ab42-0887b07d9436,7455,LANGA,CAPE TOWN,Western Cape,KAAPSTAD
bdb298d1-31d4-4db6-a982-ad05ae9338a6,7455,LANGA ZONE 1,CAPE TOWN,Western Cape,LANGA SONE 1|KAAPSTAD
02bc88b7-3499-41cf-9373-4a100d73b931,7455,LANGA ZONE 10,CAPE TOWN,Western Cape,LANGA SONE 10|KAAPSTAD
9ee6a58f-528b-462c-b43a-7a228894a174,7455,LANGA ZONE 11,CAPE TOWN,Western Cape,LANGA SONE 11|KAAPSTAD
df457365-9329-4673-b88b-8be204bb98e8,7455,LANGA ZONE 12,CAPE TOWN,Western Cape,LANGA SONE 12|KAAPSTAD
29817d4a-0373-4059-a6c6-015c8dc84643,7455,LANGA ZONE 13,CAPE TOWN,Western Cape,LANGA SONE 13|KAAPSTAD
643ac6dd-077d-463f-bcfb-fcc37188a564,7455,LANGA ZONE 14,CAPE TOWN,Western Cape,LANGA SONE 14|KAAPSTAD
54e24004-7fde-4d4f-b7a4-e0fea77ea295,7455,LANGA ZONE 15,CAPE TOWN,Western Cape,LANGA SONE 15|KAAPSTAD
78aa4a0d-ac3b-4ab5-98df-53952823ef19,7455,LANGA ZONE 16,CAPE TOWN,Western Cape,LANGA SONE 16|KAAPSTAD
976bdec6-9206-4f3a-a72b-31b724f1434a,7455,LANGA ZONE 17,CAPE TOWN,Western Cape,LANGA SONE 17|KAAPSTAD
ebf35d85-d524-42f4-90d1-4da7afc78687,7455,LANGA ZONE 18,CAPE TOWN,Western Cape,LANGA SONE 18|KAAPSTAD
40d0782b-0c92-4047-81e6-6a410e512bb5,7455,LANGA ZONE 19,CAPE TOWN,Western Cape,LANGA SONE 19|KAAPSTAD
a4e0c98f-7412-421a-861d-95064fb5554a,7455,LANGA ZONE 2,CAPE TOWN,Western Cape,LANGA SONE 2|KAAPSTAD
eba9a379-21d5-4d88-9de6-98487f1e6aaf,7455,LANGA ZONE 20,CAPE TOWN,Western Cape,LANGA SONE 20|KAAPSTAD
aac3ae96-bcd2-4242-82e3-d9d11b248636,7455,LANGA ZONE 21,CAPE TOWN,Western Cape,LANGA SONE 21|KAAPSTAD
680d6c4d-b1ed-46b8-86ea-afbb0724f2df,7455,LANGA ZONE 22,CAPE TOWN,Western Cape,LANGA SONE 22|KAAPSTAD
88e9d4a5-0326-4770-8a2f-6e13463cbd5e,7455,LANGA ZONE 23,CAPE TOWN,Western Cape,LANGA SONE 23|KAAPSTAD
c8ee32cb-8f3b-4d34-9371-5c358a182969,7455,LANGA ZONE 24,CAPE TOWN,Western Cape,LANGA SONE 24|KAAPSTAD
c78a800e-8176-456c-9fc7-e858f63521cb,7455,LANGA ZONE 25,CAPE TOWN,Western Cape,LANGA SONE 25|KAAPSTAD
d431aa84-6407-4822-96b9-a2f4a39f9467,7455,LANGA ZONE 26,CAPE TOWN,Western Cape,LANGA SONE 26|KAAPSTAD
f167f991-0452-43c5-883d-473328284bd4,7455,LANGA ZONE 27,CAPE TOWN,Western Cape,LANGA SONE 27|KAAPSTAD
ac056e74-21fd-4851-809a-5df1428631e7,7455,LANGA ZONE 28,CAPE TOWN,Western Cape,LANGA SONE 28|KAAPSTAD
1bb08dab-5d20-4844-b59f-bbdd6aa4216f,7455,LANGA ZONE 29,CAPE TOWN,Western Cape,LANGA SONE 29|KAAPSTAD
708557f3-063e-4ac3-b161-7243bf2b6a6d,7455,LANGA ZONE 3,CAPE TOWN,Western Cape,LANGA SONE 3|KAAPSTAD
117765a5-b90d-4bc2-ab38-372472a23075,7455,LANGA ZONE 4,CAPE TOWN,Western Cape,LANGA SONE 4|KAAPSTAD
d98fcf51-f893-4a90-8edb-17a218d03448,7455,LANGA ZONE 5,CAPE TOWN,Western Cape,LANGA SONE 5|KAAPSTAD
