id,postal_code,area,city,province,aliases
73debaec-6254-4868-b3ec-cfb2660bae5e,7764,BONTHEUWEL,GATESVILLE,Western Cape,BONTEHEUWEL
fa74f2b7-29e1-4f18-aaa8-5b23c2e471eb,7764,BRIDGETOWN,GATESVILLE,Western Cape,
d200f071-3c9f-4448-9a57-1c6e9613c75d,7764,DOORNHOOGTE,GATESVILLE,Western Cape,
2efb848d-7b52-493e-880a-da01da7e8322,7780,HAMPTON EST,GATESVILLE,Western Cape,HAMPTON LGD
4bcaf91a-1b3a-4c97-9d7e-b5aeb8495b9e,7764,MANENBERG,GATESVILLE,Western Cape,
757a97a0-70a0-46d8-806c-0f465d857f7e,7764,NETREG,GATESVILLE,Western Cape,
2052cb9e-2e8e-45b9-a0e0-6022531c0791,7764,NEWFIELDS,GATESVILLE,Western Cape,
3551f106-8077-400d-b556-d94872ec9a1e,7764,RYLANDS EST,GATESVILLE,Western Cape,RYLANDS LGD
e84a4d21-4520-4231-b33f-e86c506b1764,7764,RYLANDS EST EXT 3,GATESVILLE,Western Cape,RYLANDS LGD UIT 3
ae7cf018-fa47-477b-a8f7-8caa94045f7f,7764,RYLANDS EST EXT 5,GATESVILLE,Western Cape,RYLANDS LGD UIT 5
10642a7b-1ccf-43dd-bb3c-6335c43c656d,7764,SURWELL,GATESVILLE,Western Cape,
