id,postal_code,area,city,province,aliases
521a1c8c-94f6-458b-b8f0-f884250f580b,7580,AMANDELRUG,KUILS RIVER,Western Cape,KUILSRIVIER
690a2a4e-0962-4273-b331-2d015258e483,7580,AMANDELSIG,KUILS RIVER,Western Cape,KUILSRIVIER
6db5565a-911c-44fd-9bb4-e9f5abcfd798,7580,BENNO PARK,KUILS RIVER,Western Cape,BENNOPARK|KUILSRIVIER
7fa86f1d-4a64-4caf-8e25-7d7873cf3a67,7580,BLACKHEATH,KUILS RIVER,Western Cape,KUILSRIVIER
a5d257a6-0903-42ac-913c-fba2430f577f,7580,BLACKHEATH EXT 6,KUILS RIVER,Western Cape,BLACKHEATH UIT 6|KUILSRIVIER
6433f6da-61a9-4512-b038-af55089bb5b0,7580,BOSONIA,KUILS RIVER,Western Cape,KUILSRIVIER
b7e43119-e6f3-4d8c-8748-0b558c2988ca,7580,BRANDWAG,KUILS RIVER,Western Cape,KUILSRIVIER
92f4a089-ce7a-4599-988a-4f20584b8704,7580,BRANDWOOD,KUILS RIVER,Western Cape,KUILSRIVIER
30955caa-b333-497b-baea-c006149bf78e,7580,CAMELOT,KUILS RIVER,Western Cape,KUILSRIVIER
149fe599-bb3d-4a32-b960-e1eb19a4682e,7580,DANARAND,KUILS RIVER,Western Cape,KUILSRIVIER
6056d0ba-2f57-4832-a870-cb58a9f38299,7580,DE KUILEN,KUILS RIVER,Western Cape,KUILSRIVIER
060c8d65-9dd5-453d-adfa-00275b49a711,7580,DELRO VILLAGE,KUILS RIVER,Western Cape,KUILSRIVIER
dfd52b01-df81-47cd-a1b5-8f3ad010ab13,7580,DELROPARK,KUILS RIVER,Western Cape,KUILSRIVIER
ce4a1d96-d468-43cc-a75e-25bea6af177d,7580,DES HAMPTON,KUILS RIVER,Western Cape,KUILSRIVIER
452b3127-6bd9-4c24-bf46-44d6622398b2,7580,DIE OEWERS,KUILS RIVER,Western Cape,KUILSRIVIER
72b9c81f-dd09-46a7-9852-0eeece9d20e5,7580,DIEPWATER,KUILS RIVER,Western Cape,KUILSRIVIER
32d17e3c-86ec-42c9-bf6e-2b8469bb2933,7580,DROSTDY PARK,KUILS RIVER,Western Cape,KUILSRIVIER
321afb2a-7ab5-496d-8ee5-0f9fc6178849,7580,ELIM,KUILS RIVER,Western Cape,KUILSRIVIER
54fe2c54-eede-41bb-9a4e-263ef947393d,7580,GREENFIELD,KUILS RIVER,Western Cape,KUILSRIVIER
812d858b-0ee8-4245-88f9-08dbb7a5cc25,7580,HAGLEY,KUILS RIVER,Western Cape,KUILSRIVIER
c9b7dc0a-2589-45e5-b258-f512ddf29b78,7580,HIGHBURY,KUILS RIVER,Western Cape,KUILSRIVIER
f1d930d6-40e8-4c92-853d-230c10623d95,7580,HIGHGATE,KUILS RIVER,Western Cape,KUILSRIVIER
d79a6a23-167a-43c8-a767-24363f6d070b,7580,HINDLE PARK,KUILS RIVER,Western Cape,KUILSRIVIER
a333099d-5417-46e3-be83-726cf6249ceb,7580,JAGTERSHOF,KUILS RIVER,Western Cape,KUILSRIVIER
323addbf-2495-4f99-a04e-a7b4bd2501ea,7580,JAKARANDAS,KUILS RIVER,Western Cape,KUILSRIVIER
ae2e6f1d-891e-4ae4-ab60-2d86f77ad21b,7580,KLIPDAM,KUILS RIVER,Western Cape,KUILSRIVIER
7d8db537-9465-4631-b158-fce73691f972,7580,KLOOFZICHT,KUILS RIVER,Western Cape,KUILSRIVIER
fe2fd05e-4661-43b4-9b9b-a4838ccd4f41,7580,KUILS RIVER,KUILS RIVER,Western Cape,KUILSRIVIER
d663f5b8-d870-40d5-8960-a0cd199c124a,7580,MABILLE PARK,KUILS RIVER,Western Cape,KUILSRIVIER|MIBILLE PARK
aed920b7-4bc2-4181-9273-8bea1fd7682c,7580,MARINDA PARK,KUILS RIVER,Western Cape,KUILSRIVIER
ee8a9807-dd6b-4203-9820-188536dda4e1,7580,MIKRO PARK,KUILS RIVER,Western Cape,KUILSRIVIER
25cb0af7-124c-463f-9aec-89941a115d87,7580,NIEUW NOOIENSFONTEIN,KUILS RIVER,Western Cape,KUILSRIVIER
9c59bc4a-3925-4b89-a4d8-2ef4e329abbc,7580,NOOIENSFONTEIN,KUILS RIVER,Western Cape,KUILSRIVIER
ddbc7d2c-d448-4aec-a6db-220f51209f6b,7580,OAKDENE,KUILS RIVER,Western Cape,KUILSRIVIER
fcb20dce-756f-4f6e-9056-d4957c537b51,7580,PERREIRA,KUILS RIVER,Western Cape,KUILSRIVIER
8ddfd9c4-65e6-4462-99a1-964a47681fd5,7580,PIONEER PARK,KUILS RIVER,Western Cape,PIONIERPARK|KUILSRIVIER
19b2a426-e89d-49f7-82b5-2e2279c62359,7580,ROTTERDAM,KUILS RIVER,Western Cape,KUILSRIVIER
a56b9174-1d22-4fcf-91d5-83d97a38f0ad,7580,SAREPTA,KUILS RIVER,Western Cape,KUILSRIVIER
67f9f6d3-b6dc-454d-9d58-8f86c2c94417,7580,SAXENBURG PARK,KUILS RIVER,Western Cape,KUILSRIVIER
02ec6da3-ce3c-40ec-8f42-943af35308c2,7580,SILVER OAKS,KUILS RIVER,Western Cape,KUILSRIVIER
99083d29-faf8-4459-af6a-f8118781e051,7580,SILVERSANDS,KUILS RIVER,Western Cape,KUILSRIVIER
208ba66a-3cc2-474e-b44d-4078461c5c20,7580,SONNEKUIL,KUILS RIVER,Western Cape,KUILSRIVIER
32788fbf-b8c7-4fc7-b164-a15657d07668,7580,ST DUMAS,KUILS RIVER,Western Cape,KUILSRIVIER|ST DUMA
ef4f3960-1806-48b0-9401-cbb51f3dca3e,7580,SUNBIRD PARK,KUILS RIVER,Western Cape,KUILSRIVIER
2efc86c1-fb7f-4c9d-b2bd-9332fa4ca430,7580,VOELVLEI,KUILS RIVER,Western Cape,KUILSRIVIER
a13c5cf6-6e57-43f8-90b7-2102b1d09b79,7580,WEMBLY PARK,KUILS RIVER,Western Cape,KUILSRIVIER
b14990f0-0bb2-4cda-96d7-20308ac5ec54,7580,ZEVENWACHT COUNTRY EST,KUILS RIVER,Western Cape,ZEVENWACHT COUNTRY LGD|KUILSRIVIER
d52f4406-15b1-42b5-bfa0-cd01aafafe76,7580,ZEVENWACHT VILLAGE,KUILS RIVER,Western Cape,KUILSRIVIER
eff3ac57-d562-44fd-8db4-a2f1ea2742ad,7580,ZEVENZICHT,KUILS RIVER,Western Cape,KUILSRIVIER
