id,postal_code,area,city,province,aliases
466be118-8cbb-44d5-b59a-f0037266f207,7780,ASCOT VILLAGE,LANSDOWNE,Western Cape,
9dbfdf45-3914-4948-a4c7-024de36cee3d,7780,BELTHORNE EST,LANSDOWNE,Western Cape,BELTHORNE LGD
7c8ad988-fa89-4d83-971f-45b6012c4f47,7780,BLOMVLEI EST,LANSDOWNE,Western Cape,BLOMVLEI LGD
51b1bb14-fbc8-4947-aa36-25b1ab94a4a8,7780,CRAWFORD,LANSDOWNE,Western Cape,
e39849b4-616e-44ad-8b20-4aac44d0af12,7764,ELWYN PARK,LANSDOWNE,Western Cape,
7d3046bf-6e34-4738-9a6d-2eb0254982dd,7780,FREEDOM PARK,LANSDOWNE,Western Cape,
5207044b-6ef8-4068-b0ff-94da1a93cfec,7780,GARLANDALE EST,LANSDOWNE,Western Cape,GARLANDALE LGD
80f203a4-697f-46d4-8b7f-30e4459f4ebe,7780,GREEN PEACE VILLAGE,LANSDOWNE,Western Cape,
1a7a7d53-9df8-4952-bdfe-c68a3e4ef13f,7780,GROENVLEI,LANSDOWNE,Western Cape,
5e097201-eb54-4a1c-a2f7-0ac6283c8449,7780,HEATHERLEY EST,LANSDOWNE,Western Cape,HEATHERLEY LGD
3ab4c579-2094-492b-b7c0-9f5ba88cc8ac,7780,KENILWORTH EXT,LANSDOWNE,Western Cape,KENILWORTH UIT
4b1def16-a55e-4d1a-9d98-79c7ec636567,7780,KENWYN,LANSDOWNE,Western Cape,
0dfb1e70-2823-4974-92fd-ef5e2f21d08c,7780,KLEIN TURF HALL EST,LANSDOWNE,Western Cape,KLEIN TURF HALL LGD
b0683449-0f13-4afa-8c25-f8a51b9bd8c7,7764,LINCOLN EST,LANSDOWNE,Western Cape,LINCOLN LGD
0b08c33d-02b8-4415-b845-13aeaeea9e82,7780,MAYFIELD VILLAGE,LANSDOWNE,Western Cape,
0c4f32f4-932e-409e-806d-d8aab1326286,7780,MOUNT VIEW,LANSDOWNE,Western Cape,
70307673-f755-48f8-be63-60e48668ad33,7780,NERISSA EST,LANSDOWNE,Western Cape,NERISSA LGD
b68a5d27-55ed-4439-bcbc-1671a723a3cc,7780,NEWFIELDS,LANSDOWNE,Western Cape,
d3aa40ed-81dc-40a4-bf42-2357660b02ad,7780,OLIVINE EST,LANSDOWNE,Western Cape,OLIVINE LGD
fedd5494-2a2f-43f8-83c1-ed3911b81b2a,7780,PENLYN EST,LANSDOWNE,Western Cape,PENLYN LGD
2960cf65-ecbf-484f-bfc6-e3480927c88c,7780,PINATI EST,LANSDOWNE,Western Cape,PINATI LGD
d30be772-cfca-4be2-acc6-55c57a9f1b26,7780,PORTIA EST,LANSDOWNE,Western Cape,PORTIA LGD
21746b66-4c1b-4f0c-87a9-c94af8f9a2a8,7780,RIVERSIDE PARK,LANSDOWNE,Western Cape,
19c9f8c5-046b-4880-b855-b65c8e831a62,7780,RONDEBOSCH EAST,LANSDOWNE,Western Cape,RONDEBOSCH-OOS
ade7c80c-93b2-4afa-a2f2-906a35cc9a4d,7780,SIERRA PARK,LANSDOWNE,Western Cape,
c2f198d5-b8c0-4282-a36f-6c20b5bcafe3,7780,TURFHALL PARK,LANSDOWNE,Western Cape,TURF HALL PARK
e1efce9d-503c-4f38-9e9e-aa232c8e4ede,7780,WETTON,LANSDOWNE,Western Cape,
7d571500-d71b-442c-bf12-969ef919e792,7780,WETTON PARK,LANSDOWNE,Western Cape,
03885c95-f699-46c4-9745-d5e67dff892f,7780,WHEATFIELD EST,LANSDOWNE,Western Cape,WHEATFIELD LGD
83adddbd-982d-459f-9ef1-d9a486ca52b9,7780,WOODLANDS PARK,LANSDOWNE,Western Cape,
536d5f8c-40ed-44f3-8327-0680be66b8fe,7780,YORKSHIRE EST,LANSDOWNE,Western Cape,YORKSHIRE LGD
fb3f9b9f-4f3f-4275-9803-383d39ed43aa,7700,YOUNGSFIELD,LANSDOWNE,Western Cape,YOUNGSFIELD QUARTERS
