id,postal_code,area,city,province,aliases
525344ed-0706-4d60-88f9-8627da904300,7405,BROOKLYN,MAITLAND,Western Cape,
5d9d51e3-ed1d-4448-b85f-bd08da75b94e,7405,FACTRETON,MAITLAND,Western Cape,
f33caeda-a2a1-4070-a5a5-0a11be389464,7405,GARDEN VILLAGE,MAITLAND,Western Cape,
4d00f17b-61e2-4ce7-8338-e9d012a74f54,7405,HOWARD HAMLET,MAITLAND,Western Cape,
eb3ed237-f9f9-4ce0-a849-05331cdfcec8,7405,KENSINGTON,MAITLAND,Western Cape,
b9f763fe-092a-4af0-8881-c2992e90b24d,7405,MAITLAND GARDEN VILLAGE,MAITLAND,Western Cape,MAITLAND TUINDORP
cd32c114-f077-45a9-a257-f631e1865174,7451,MUTUALPARK,MAITLAND,Western Cape,
3318d701-0883-442a-a9fb-4b0719d82a5f,7405,NDABENI,MAITLAND,Western Cape,
94115c4c-0cca-4ced-9b5c-36d1e134eac0,7405,OUDE MOLEN VILLAGE,MAITLAND,Western Cape,
fe6739f1-761d-4e8d-b23c-bf610f077d90,7405,RUGBY,MAITLAND,Western Cape,
